日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-07-16,17.05,17.19,14.37,15.51,7615823,0.51,3.4
2020-07-17,15.37,17.9,15.37,16.7,1036764,1.19,7.67
2020-07-20,16.13,17.18,16.09,17.0,424949,0.3,1.8
2020-07-21,16.9,17.3,16.6001,16.83,301527,-0.17,-1.0
2020-07-22,16.85,17.205,16.4,16.5,100493,-0.33,-1.96
2020-07-23,16.79,16.795,15.5,16.24,176009,-0.26,-1.58
2020-07-24,16.16,16.16,15.5,16.02,168780,-0.22,-1.35
2020-07-27,15.74,16.47,15.7,15.72,85162,-0.3,-1.87
2020-07-28,15.7,16.0374,15.0,15.27,117607,-0.45,-2.86
2020-07-29,15.315,15.815,15.2251,15.65,98390,0.38,2.49
2020-07-30,15.35,15.99,15.11,15.33,13616,-0.32,-2.04
2020-07-31,15.19,15.79,15.05,15.6,76273,0.27,1.76
2020-08-03,15.56,16.35,15.35,16.12,168660,0.52,3.33
2020-08-04,16.12,16.76,15.9601,16.23,62060,0.11,0.68
2020-08-05,16.05,16.6,16.05,16.32,26698,0.09,0.55
2020-08-06,16.45,16.55,16.2,16.39,190985,0.07,0.43
2020-08-07,16.35,16.71,15.55,16.4,80471,0.01,0.06
2020-08-10,16.2,16.7301,16.2,16.55,81594,0.15,0.91
2020-08-11,16.47,17.16,16.2854,16.92,106848,0.37,2.24
2020-08-12,16.88,17.5,16.62,17.08,177646,0.16,0.95
2020-08-13,17.1,17.31,16.5,16.7,77420,-0.38,-2.22
2020-08-14,17.0,17.48,16.02,16.49,209265,-0.21,-1.26
2020-08-17,16.54,16.61,15.4,15.79,105992,-0.7,-4.24
2020-08-18,15.63,16.99,15.62,16.56,91218,0.77,4.88
2020-08-19,16.98,17.335,16.13,16.76,150147,0.2,1.21
2020-08-20,16.56,17.08,15.6101,16.76,81062,0.0,0.0
2020-08-21,16.69,16.76,15.95,16.64,111481,-0.12,-0.72
2020-08-24,16.78,17.32,16.24,17.06,57559,0.42,2.52
2020-08-25,17.01,17.33,16.43,16.7,86713,-0.36,-2.11
2020-08-26,16.76,17.2,16.21,16.34,87389,-0.36,-2.16
2020-08-27,16.52,16.9925,16.23,16.8,133373,0.46,2.82
2020-08-28,17.35,17.35,15.4,16.16,225194,-0.64,-3.81
2020-08-31,15.97,16.36,15.4,15.65,141292,-0.51,-3.16
2020-09-01,15.65,16.065,15.1401,15.56,160938,-0.09,-0.58
2020-09-02,15.49,15.73,14.86,14.99,148581,-0.57,-3.66
2020-09-03,15.06,15.06,13.46,13.61,222150,-1.38,-9.21
2020-09-04,13.76,13.84,12.89,13.5,196530,-0.11,-0.81
2020-09-08,13.38,15.6,13.265,14.25,145879,0.75,5.56
2020-09-09,14.25,15.35,14.25,14.92,129040,0.67,4.7
2020-09-10,15.06,15.59,14.58,14.94,123615,0.02,0.13
2020-09-11,15.05,15.78,14.275,15.12,88192,0.18,1.2
2020-09-14,15.21,15.46,13.76,13.85,126276,-1.27,-8.4
2020-09-15,13.77,14.19,13.09,13.41,174677,-0.44,-3.18
2020-09-16,13.38,13.75,12.23,12.47,271672,-0.94,-7.01
2020-09-17,12.22,12.5199,11.68,12.28,355533,-0.19,-1.52
2020-09-18,12.32,13.245,12.0,12.15,1704104,-0.13,-1.06
2020-09-21,12.13,12.51,11.91,12.31,149453,0.16,1.32
2020-09-22,12.17,12.67,12.06,12.28,106226,-0.03,-0.24
2020-09-23,12.06,12.42,11.81,12.03,105280,-0.25,-2.04
2020-09-24,12.07,12.63,11.79,12.11,102179,0.08,0.67
2020-09-25,12.09,12.39,11.97,12.26,214777,0.15,1.24
2020-09-28,12.39,12.89,12.39,12.78,37219,0.52,4.24
2020-09-29,12.82,14.43,12.82,14.33,142456,1.55,12.13
2020-09-30,14.48,15.68,14.43,15.25,141503,0.92,6.42
2020-10-01,15.4,15.4,14.56,15.35,153514,0.1,0.66
2020-10-02,15.17,15.17,14.29,15.05,73911,-0.3,-1.95
2020-10-05,15.14,15.46,13.98,15.11,54379,0.06,0.4
2020-10-06,15.24,15.49,14.23,15.45,145940,0.34,2.25
2020-10-07,15.43,15.45,14.68,15.19,75663,-0.26,-1.68
2020-10-08,15.25,15.25,14.24,14.71,68180,-0.48,-3.16
2020-10-09,14.79,14.85,14.25,14.68,69720,-0.03,-0.2
2020-10-12,14.59,14.91,14.195,14.73,85550,0.05,0.34
2020-10-13,14.6,15.09,14.08,14.33,87325,-0.4,-2.72
2020-10-14,13.935,14.41,13.935,13.94,20293,-0.39,-2.72
2020-10-15,13.82,14.77,13.575,14.26,34190,0.32,2.3
2020-10-16,14.06,14.1,13.58,13.7,30968,-0.56,-3.93
2020-10-19,14.565,15.2,13.15,13.28,21386,-0.42,-3.07
2020-10-20,13.45,13.645,12.5,13.19,73171,-0.09,-0.68
2020-10-21,13.06,14.135,12.75,13.79,55534,0.6,4.55
2020-10-22,13.64,13.72,12.5,13.0,95197,-0.79,-5.73
2020-10-23,12.58,13.84,12.58,13.38,70494,0.38,2.92
2020-10-26,13.25,13.57,12.3,12.81,35167,-0.57,-4.26
2020-10-27,12.96,13.455,12.06,12.39,23206,-0.42,-3.28
2020-10-28,12.06,12.73,11.2,12.14,63186,-0.25,-2.02
2020-10-29,12.04,12.16,11.11,11.3,71852,-0.84,-6.92
2020-10-30,11.06,11.72,10.52,10.85,181618,-0.45,-3.98
2020-11-02,10.97,11.3,10.437,10.59,89820,-0.26,-2.4
2020-11-03,10.7,11.5,10.45,10.53,60318,-0.06,-0.57
2020-11-04,10.38,11.36,10.34,10.74,34106,0.21,1.99
2020-11-05,10.79,11.28,10.54,10.54,45776,-0.2,-1.86
2020-11-06,10.6,11.66,9.9,10.11,43203,-0.43,-4.08
2020-11-09,11.32,11.6,10.48,10.58,89503,0.47,4.65
2020-11-10,10.79,11.08,10.5,10.71,112132,0.13,1.23
2020-11-11,10.74,11.04,10.74,10.92,148071,0.21,1.96
2020-11-12,11.0,11.03,10.28,10.71,88985,-0.21,-1.9231
2020-11-13,11.35,13.6,11.19,13.09,381415,2.38,22.2222
