日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2005-07-15,4.0787,4.2023,4.0787,4.2023,23900,0.0,0.0
2005-07-18,4.2023,5.2405,4.2023,5.0674,19600,1.0034,24.69
2005-07-19,5.0922,5.1416,5.018,5.1268,9400,-0.1036,-1.98
2005-07-20,5.1416,5.1416,5.018,5.1416,4600,0.0,0.0
2005-07-21,5.1416,5.1663,5.0922,5.1663,9900,0.0298,0.58
2005-07-22,5.0922,5.1663,4.9488,5.1663,7000,0.0,0.0
2005-07-25,5.1663,5.191,5.1663,5.1663,1100,0.0221,0.43
2005-07-26,5.1861,5.1861,5.0922,5.0922,2000,-0.0965,-1.86
2005-07-27,5.1663,5.191,5.0724,5.1416,8000,0.0954,1.89
2005-07-28,5.1416,5.1416,5.0427,5.1416,4900,-0.0519,-1.0
2005-07-29,5.1416,5.1416,5.0427,5.0674,3800,0.0,0.0
2005-08-01,5.0674,5.0674,4.845,4.9438,2300,-0.0722,-1.44
2005-08-02,5.0526,5.0526,4.9933,4.9933,3000,-0.0145,-0.29
2005-08-03,5.018,5.0674,5.018,5.0674,2700,0.0147,0.29
2005-08-04,5.0427,5.0625,4.9686,5.0625,12400,0.0,0.0
2005-08-05,4.9686,4.9686,4.9686,4.9686,200,-0.0962,-1.9
2005-08-08,4.9933,4.9933,4.845,4.9142,7900,-0.0516,-1.04
2005-08-09,4.8647,4.9438,4.8202,4.9438,4500,0.0295,0.6
2005-08-10,4.9438,4.9438,4.7065,4.9191,1800,0.0,0.0
2005-08-11,3.2778,3.2975,3.1393,3.2778,2700,-0.0198,-0.6
2005-08-12,4.8697,4.8796,4.8697,4.8697,1900,-0.0368,-0.75
2005-08-15,4.8697,4.9191,4.6967,4.9191,2000,0.0371,0.76
2005-08-16,4.8202,4.845,4.7214,4.8005,6900,-0.0736,-1.51
2005-08-17,4.7955,4.845,4.6967,4.845,2400,0.0,0.0
2005-08-19,4.7461,4.845,4.6522,4.756,3000,0.0,0.0
2005-08-24,4.7609,4.7955,4.7609,4.7955,400,0.0447,0.94
2005-08-25,4.7955,4.7955,4.7955,4.7955,200,0.0,0.0
2005-08-26,4.845,4.845,4.845,4.845,200,0.0446,0.93
2005-08-29,4.8944,4.8944,4.8944,4.8944,300,0.0518,1.07
2005-08-30,4.8202,4.8697,4.8202,4.8697,1800,-0.022,-0.45
2005-09-01,4.8202,4.8202,4.8202,4.8202,200,-0.0521,-1.07
2005-09-02,4.8252,4.8252,4.8252,4.8252,800,0.0072,0.15
2005-09-06,4.6967,4.8944,4.6967,4.8944,4400,0.0666,1.38
2005-09-07,4.8944,4.8944,4.7955,4.845,2500,-0.0519,-1.06
2005-09-09,4.8202,4.8944,4.8202,4.8944,2000,0.0518,1.07
2005-09-12,4.8944,4.8944,4.8944,4.8944,1400,0.0,0.0
2005-09-15,4.8993,4.8993,4.8993,4.8993,2000,0.0073,0.15
2005-09-16,4.7955,4.9438,4.7955,4.845,2500,-0.0593,-1.21
2005-09-19,4.8499,4.8697,4.8499,4.8697,500,0.0295,0.61
2005-09-20,4.8697,4.8944,4.8697,4.8944,400,0.0224,0.46
2005-09-21,4.8944,4.8944,4.8944,4.8944,300,0.0,0.0
2005-09-22,4.8944,4.8944,4.8944,4.8944,300,0.0,0.0
2005-09-23,4.8944,4.9438,4.8944,4.8944,1200,0.0,0.0
2005-09-27,4.8845,4.8845,4.8845,4.8845,600,-0.0073,-0.15
2005-09-28,4.845,5.0674,4.7461,5.0674,3000,0.178,3.64
2005-09-30,5.0674,5.0674,5.0674,5.0674,1100,0.0,0.0
2005-10-03,5.0674,5.0922,4.9191,5.0922,3200,0.0299,0.59
2005-10-05,4.9488,4.9686,4.9488,4.9686,7500,-0.1258,-2.47
2005-10-07,4.9438,4.9438,4.9438,4.9438,800,-0.0223,-0.45
2005-10-11,4.8746,4.8746,4.8746,4.8746,1000,-0.0742,-1.5
2005-10-12,4.8944,4.8944,4.8944,4.8944,300,0.0224,0.46
2005-10-13,4.8647,4.8647,4.8647,4.8647,300,-0.0299,-0.61
2005-10-17,4.8697,4.8697,4.8697,4.8697,200,0.0073,0.15
2005-10-18,4.9933,4.9933,4.9933,4.9933,200,0.1189,2.44
2005-10-19,5.0674,5.0674,5.0674,5.0674,300,0.0744,1.49
2005-10-20,5.1169,5.1169,5.1169,5.1169,1300,0.0517,1.02
2005-10-21,5.1663,5.1663,4.9488,4.9488,600,0.0495,1.01
2005-10-24,4.9438,4.9438,4.9438,4.9438,500,-0.2221,-4.3
2005-10-25,4.9438,4.9438,4.8697,4.8697,3400,0.0,0.0
2005-10-26,4.8697,4.8697,4.8697,4.8697,100,-0.0742,-1.5
2005-10-27,4.8499,4.8499,4.8499,4.8499,4000,-0.0224,-0.46
2005-11-02,4.8549,4.8549,4.7708,4.7708,1000,0.0071,0.15
2005-11-08,4.7955,4.7955,4.7955,4.7955,100,0.0295,0.62
2005-11-11,4.8944,4.8944,4.845,4.8944,900,0.0964,2.01
2005-11-14,4.9933,4.9933,4.8944,4.929,4600,0.0372,0.76
2005-11-15,4.9191,4.9191,4.8598,4.9191,1500,-0.0148,-0.3
2005-11-16,4.9191,4.9933,4.9191,4.9933,1100,0.0743,1.51
2005-11-17,4.9438,4.9933,4.9438,4.9933,500,0.0,0.0
2005-11-21,4.9933,4.9933,4.9438,4.9686,700,0.0,0.0
2005-11-22,4.9438,4.9438,4.9438,4.9438,300,-0.0444,-0.89
2005-11-25,4.845,4.8944,4.845,4.8944,700,-0.0519,-1.05
2005-11-29,4.8549,4.8944,4.8499,4.8944,3500,0.0,0.0
2005-11-30,4.9191,4.9191,4.9191,4.9191,500,0.022,0.45
2005-12-01,4.9438,4.9438,4.929,4.9438,5100,0.0295,0.6
2005-12-02,4.929,4.9389,4.929,4.9389,3000,-0.0074,-0.15
2005-12-09,4.9241,4.9389,4.845,4.8944,24900,-0.0444,-0.9
2005-12-12,4.9438,4.9438,4.9438,4.9438,3000,0.0519,1.06
2005-12-13,4.8944,4.9438,4.8697,4.9438,2000,0.0,0.0
2005-12-14,4.8944,4.9438,4.8944,4.9438,4100,0.0,0.0
2005-12-15,4.9438,4.9438,4.9438,4.9438,2000,0.0,0.0
2005-12-16,4.845,4.9933,4.7955,4.9438,19300,0.0,0.0
2005-12-19,4.9438,4.9438,4.9389,4.9438,6100,0.0,0.0
2005-12-21,4.9438,4.9438,4.929,4.9438,11900,0.0,0.0
2005-12-22,4.9438,5.018,4.9438,5.018,500,0.0742,1.5
2005-12-23,5.018,5.0674,5.018,5.0674,2000,0.0447,0.89
2005-12-27,5.018,5.2158,5.018,5.2158,5200,0.1485,2.93
2005-12-28,5.1169,5.2899,5.0229,5.0378,8200,0.0705,1.42
2005-12-29,5.191,5.191,5.0674,5.0674,7700,-0.0939,-1.82
2005-12-30,5.0427,5.0674,5.0427,5.0674,25900,-0.1262,-2.43
2006-01-03,5.0526,5.0526,5.0378,5.0526,5900,-0.0147,-0.29
2006-01-04,5.0328,5.0477,5.0328,5.0477,800,0.0,0.0
2006-01-05,5.0526,5.0526,5.0477,5.0477,2000,0.0,0.0
2006-01-06,5.0526,5.0526,5.0526,5.0526,1000,0.0,0.0
2006-01-09,5.0674,5.0674,5.0674,5.0674,400,0.0147,0.29
2006-01-11,5.0922,5.1169,5.0427,5.0427,800,0.0509,1.02
