日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2000-08-08,1.3547,1.3597,1.3396,1.3447,536000,-0.0294,-2.14
2000-08-21,1.1991,1.1991,1.1339,1.154,308100,-0.0604,-4.97
2000-08-22,1.154,1.1891,1.144,1.144,214900,-0.0098,-0.85
2000-08-23,1.1489,1.164,1.1339,1.154,314300,0.0098,0.86
2000-08-24,1.144,1.144,1.1188,1.1239,501900,-0.0302,-2.62
2000-08-25,1.1038,1.1038,1.0436,1.0737,637300,-0.0502,-4.47
2000-08-28,1.0737,1.1239,1.0737,1.1239,102300,0.0501,4.67
2000-08-29,1.1038,1.1038,1.0586,1.0586,235700,-0.0651,-5.79
2000-08-30,1.0838,1.0887,1.0687,1.0787,1184000,0.02,1.89
2000-08-31,1.0787,1.0887,1.0737,1.0787,196400,0.0,0.0
2000-09-01,1.0838,1.1339,1.0838,1.1339,1070700,0.0553,5.13
2000-09-05,1.1389,1.159,1.1389,1.154,151100,0.02,1.76
2000-09-06,1.154,1.154,1.1239,1.144,370200,-0.0098,-0.85
2000-09-07,1.0988,1.1038,1.0887,1.0988,232000,-0.0455,-3.98
2000-09-08,1.0838,1.0838,1.0586,1.0586,128900,-0.04,-3.64
2000-09-11,1.0436,1.0486,1.0336,1.0336,173400,-0.0251,-2.37
2000-09-12,1.0436,1.0887,1.0436,1.0637,331300,0.0302,2.92
2000-09-13,1.0486,1.0537,1.0436,1.0486,53400,-0.0153,-1.44
2000-09-14,1.0285,1.0737,1.0285,1.0687,242200,0.0203,1.94
2000-09-15,1.0687,1.0687,1.0537,1.0637,125600,-0.0051,-0.48
2000-09-18,0.9734,1.0035,0.9633,0.9633,265900,-0.1004,-9.44
2000-09-19,0.9734,0.9884,0.9633,0.9834,224000,0.02,2.08
2000-09-20,1.0236,1.0336,0.9934,1.0085,521000,0.0251,2.55
2000-09-21,0.9984,0.9984,0.9433,0.9433,499900,-0.0647,-6.42
2000-09-22,0.873,0.873,0.8128,0.8128,858900,-0.1305,-13.83
2000-09-25,0.8479,0.8479,0.7977,0.7977,597200,-0.0157,-1.93
2000-09-26,0.8429,0.8429,0.8028,0.8128,1836000,0.0157,1.97
2000-09-27,0.8178,0.8229,0.8178,0.8229,223100,0.0094,1.16
2000-09-28,0.8479,0.878,0.8479,0.878,449300,0.0553,6.72
2000-09-29,0.878,0.8931,0.873,0.8831,153700,0.0051,0.58
2000-10-02,0.9031,0.9081,0.888,0.8931,270300,0.0106,1.2
2000-10-03,0.8931,0.9132,0.8931,0.8981,104300,0.0043,0.48
2000-10-04,0.8931,0.8981,0.8831,0.8931,212600,-0.0043,-0.48
2000-10-05,0.8931,0.8981,0.8831,0.8981,224500,0.0043,0.48
2000-10-06,0.9232,0.9382,0.9232,0.9332,580200,0.0353,3.93
2000-10-09,0.9282,0.9382,0.9282,0.9332,106800,0.0,0.0
2000-10-10,1.0035,1.0135,0.9884,1.0085,381500,0.0753,8.07
2000-10-11,0.9834,0.9834,0.9583,0.9633,618500,0.1283,15.36
2000-10-12,0.9583,0.9633,0.9232,0.9232,267800,-0.0403,-4.18
2000-10-13,0.9332,0.9633,0.9282,0.9583,350400,0.0357,3.87
2000-10-16,0.9734,0.9834,0.9683,0.9734,252600,0.0146,1.52
2000-10-17,0.9633,0.9633,0.9482,0.9482,241900,-0.0247,-2.54
2000-10-18,0.9031,0.9031,0.853,0.888,490800,-0.0604,-6.37
2000-10-19,0.8831,0.9031,0.873,0.8831,183800,-0.0055,-0.62
2000-10-20,0.8831,0.8831,0.8429,0.853,294000,-0.0296,-3.35
2000-10-23,0.8429,0.8479,0.8278,0.8479,109900,-0.0052,-0.61
2000-10-24,0.863,0.873,0.8479,0.853,202800,0.0052,0.61
2000-10-25,0.8429,0.8479,0.8329,0.8329,240000,-0.0201,-2.36
2000-10-26,0.8329,0.8379,0.8229,0.8379,31600,0.0048,0.58
2000-10-27,0.8429,0.873,0.8379,0.873,286300,0.0353,4.22
2000-10-30,0.8831,0.8831,0.868,0.868,241700,-0.0052,-0.59
2000-10-31,0.868,0.8831,0.863,0.878,49800,0.0101,1.16
2000-11-01,0.8931,0.9031,0.888,0.8931,97000,0.0146,1.66
2000-11-02,0.9132,0.9533,0.9081,0.9382,204600,0.0458,5.13
2000-11-03,0.9433,0.9533,0.9433,0.9482,102000,0.01,1.07
2000-11-06,0.9181,0.9181,0.8981,0.9031,193600,-0.0458,-4.83
2000-11-07,0.878,0.8831,0.878,0.878,85700,-0.0246,-2.73
2000-11-08,0.8329,0.873,0.8329,0.8479,621500,-0.0302,-3.44
2000-11-09,0.8479,0.873,0.8479,0.873,247900,0.0253,2.99
2000-11-10,0.868,0.873,0.853,0.863,539100,-0.01,-1.15
2000-11-13,0.8229,0.8429,0.8229,0.8329,778700,-0.0302,-3.5
2000-11-14,0.8429,0.8479,0.8379,0.8429,6400,0.0101,1.21
2000-11-15,0.8479,0.8479,0.7927,0.7927,316700,-0.0503,-5.97
2000-11-16,0.7877,0.7927,0.7877,0.7877,68000,-0.0052,-0.66
2000-11-17,0.7927,0.7927,0.7626,0.7727,94200,-0.015,-1.9
2000-11-20,0.7275,0.7325,0.7174,0.7225,100500,-0.0503,-6.51
2000-11-21,0.7125,0.7375,0.7074,0.7375,292400,0.0156,2.16
2000-11-22,0.7626,0.7626,0.7225,0.7375,407000,0.0,0.0
2000-11-23,1.5269,1.5269,1.5269,1.5269,0,-0.2978,-16.32
2000-11-24,0.7375,0.7375,0.7325,0.7375,8000,0.1204,19.51
2000-11-27,0.7275,0.7275,0.7125,0.7125,42400,-0.0257,-3.48
2000-11-28,0.6623,0.6623,0.572,0.6021,533700,-0.11,-15.45
2000-11-29,0.6071,0.6071,0.5469,0.5569,389300,-0.0451,-7.49
2000-11-30,0.5118,0.5218,0.4817,0.4967,717900,-0.0604,-10.84
