日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,3.6937,3.7196,3.653,3.7196,181690,0.0,0.0
1995-01-04,3.7308,3.7715,3.7048,3.7715,357127,0.0517,1.39
1995-01-05,3.7715,3.8012,3.7604,3.7863,413753,0.0147,0.39
1995-01-06,3.7863,3.7863,3.7456,3.7604,374146,-0.0257,-0.68
1995-01-09,3.7493,3.7604,3.7196,3.7308,237274,-0.0297,-0.79
1995-01-10,3.7493,3.8123,3.7308,3.7308,516580,0.0,0.0
1995-01-11,3.7715,3.7715,3.7308,3.7604,480103,0.0295,0.79
1995-01-12,3.7493,3.8271,3.7456,3.8123,418964,0.0519,1.38
1995-01-13,3.8123,3.9308,3.8123,3.8938,1036294,0.0816,2.14
1995-01-16,3.9086,4.0123,3.8938,3.9975,633654,0.1036,2.66
1995-01-17,4.0271,4.0642,4.0271,4.0271,877876,0.0296,0.74
1995-01-18,4.0271,4.0271,3.9456,4.0271,478022,0.0,0.0
1995-01-19,4.0123,4.0123,3.9197,3.9456,472811,-0.0813,-2.02
1995-01-20,3.9345,3.9716,3.9197,3.9716,325166,0.026,0.66
1995-01-23,3.9197,3.9975,3.9197,3.9975,330030,0.0258,0.65
1995-01-24,3.9975,4.0383,3.9716,4.0383,244917,0.0408,1.02
1995-01-25,4.0383,4.1309,4.0383,4.1198,489139,0.0816,2.02
1995-01-26,4.1049,4.1605,4.1049,4.1457,800062,0.026,0.63
1995-01-27,4.1457,4.1865,4.1457,4.1716,247345,0.0261,0.63
1995-01-30,4.1865,4.1976,4.1605,4.1865,276530,0.015,0.36
1995-01-31,4.1716,4.1716,4.1309,4.1605,170226,-0.026,-0.62
1995-02-01,4.1865,4.2643,4.1716,4.2531,770533,0.0928,2.23
1995-02-02,4.2531,4.3865,4.1716,4.3865,1010583,0.1335,3.14
1995-02-03,4.3606,4.3865,4.2939,4.3458,879613,-0.0408,-0.93
1995-02-06,4.3458,4.4273,4.3198,4.3865,872665,0.0408,0.94
1995-02-07,4.3458,4.4124,4.3458,4.3976,847305,0.011,0.25
1995-02-08,4.4124,4.4124,4.3606,4.3717,607950,-0.0259,-0.59
1995-02-09,4.3458,4.4384,4.3309,4.4384,509983,0.0669,1.53
1995-02-10,4.4421,4.4532,4.3458,4.3606,1365629,-0.0777,-1.75
1995-02-13,4.3458,4.4124,4.3458,4.4124,234842,0.0519,1.19
1995-02-14,4.4421,4.4532,4.4124,4.4384,147294,0.026,0.59
