日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-10-27,69.65,69.65,67.39,67.53,33921,-3.89,-5.45
2015-10-28,68.88,68.88,67.79,68.49,57174,0.96,1.42
2015-10-29,67.88,67.88,65.04,65.74,130577,-2.75,-4.02
2015-10-30,65.32,66.65,65.14,66.49,43725,0.75,1.14
2015-11-02,66.23,67.18,66.23,67.14,384759,0.65,0.98
2015-11-03,67.36,67.8,66.88,67.74,107036,0.6,0.89
2015-11-04,67.93,68.47,67.25,67.93,47441,0.19,0.28
2015-11-05,68.07,70.94,67.22,68.95,57842,1.02,1.5
2015-11-06,68.26,68.26,67.93,68.21,2215,-0.74,-1.07
2015-11-09,68.45,69.26,67.16,67.55,8216,-0.66,-0.97
2015-11-10,66.83,66.83,64.9,65.9,36522,-1.65,-2.44
2015-11-11,65.81,66.09,65.77,65.81,51311,-0.09,-0.14
2015-11-12,65.5,66.9,65.28,66.65,58242,0.84,1.28
2015-11-13,67.93,68.04,67.58,68.04,27797,1.39,2.09
2015-11-16,66.71,66.71,66.27,66.66,15696,-1.38,-2.03
2015-11-17,66.54,67.2,66.54,66.971,51871,0.31,0.47
2015-11-18,65.66,65.7,64.86,65.41,38740,-1.56,-2.33
2015-11-19,65.99,66.45,65.599,66.45,118630,1.04,1.59
2015-11-20,66.45,67.3,66.44,67.27,79198,0.82,1.23
2015-11-23,67.147,67.33,66.57,66.72,93256,-0.55,-0.82
2015-11-24,67.04,67.26,66.96,67.17,5452,0.45,0.67
2015-11-25,66.98,66.98,64.99,64.99,32350,-2.18,-3.25
2015-11-27,64.24,64.48,63.85,64.25,40102,-0.05,-0.08
2015-11-30,64.3,64.3,61.76,61.76,85678,-2.49,-3.88
2015-12-01,61.73,63.32,61.67,63.32,203556,1.56,2.53
2015-12-02,63.18,63.33,62.52,62.57,10168,-0.75,-1.18
2015-12-03,62.57,62.57,60.335,60.82,65905,-1.75,-2.8
2015-12-04,60.94,62.07,57.32,57.32,75132,-3.5,-5.75
2015-12-07,60.65,64.68,60.65,63.61,60210,6.29,10.97
2015-12-08,64.235,64.63,63.63,64.16,45230,0.55,0.86
2015-12-09,64.06,64.06,62.55,62.85,5732,-1.31,-2.04
2015-12-10,63.5,63.5,63.2,63.33,121693,0.48,0.76
2015-12-11,62.855,62.855,62.69,62.79,343548,-0.54,-0.85
2015-12-14,63.18,63.59,58.97,58.97,32217,-3.82,-6.08
2015-12-15,63.44,66.21,63.44,66.16,41498,7.19,12.19
2015-12-16,66.14,67.61,66.14,67.6,53461,1.44,2.18
2015-12-17,67.37,68.4,67.37,67.51,88379,-0.09,-0.13
2015-12-18,66.88,67.309,65.38,65.97,37506,-1.54,-2.28
2015-12-21,66.54,67.41,65.755,67.2,1880,1.23,1.86
2015-12-22,66.92,67.74,66.92,67.74,1735,0.54,0.8
2015-12-23,68.0,69.11,68.0,69.11,1712,1.37,2.02
2015-12-24,68.79,68.79,68.44,68.44,1077,-0.67,-0.97
2015-12-28,66.78,68.59,66.73,68.45,1495,0.01,0.01
2015-12-29,68.96,69.26,68.78,68.944,1760,0.49,0.72
2015-12-30,68.49,68.73,68.37,68.37,10305,-0.57,-0.83
2015-12-31,67.53,67.71,67.5,67.71,605,-0.66,-0.97
2016-01-04,66.78,67.04,66.72,66.9,5507,-0.81,-1.2
2016-01-05,67.79,69.38,67.79,69.32,56025,2.42,3.62
2016-01-06,68.45,69.08,68.45,69.08,66487,-0.24,-0.35
2016-01-07,68.65,69.6,68.65,68.82,2583,0.52,0.75
2016-01-08,69.5,69.51,68.82,68.87,58382,-0.73,-1.05
2016-01-11,68.7,68.71,67.96,68.57,11574,-0.3,-0.44
2016-01-12,68.22,68.97,68.22,68.97,836,0.4,0.58
2016-01-13,68.21,69.04,67.2,67.2,119453,-1.77,-2.57
2016-01-14,67.28,68.25,66.02,68.02,8401,0.82,1.22
2016-01-15,65.92,67.36,64.31,65.65,20284,-2.37,-3.48
2016-01-19,66.34,66.34,65.22,65.54,29541,-0.11,-0.17
2016-01-20,64.7,65.14,62.4,64.99,128710,-0.55,-0.84
2016-01-21,65.26,65.26,64.27,64.45,242587,-0.54,-0.83
2016-01-22,65.1,66.0,65.1,65.63,188747,1.18,1.83
2016-01-25,66.09,66.96,65.55,65.62,192837,-0.01,-0.02
2016-01-26,66.81,68.12,66.41,67.96,7474,2.34,3.57
2016-01-27,67.54,67.924,66.51,66.51,4867,-1.45,-2.13
2016-01-28,66.96,67.03,66.47,66.87,12850,0.36,0.54
2016-01-29,67.58,69.02,67.58,69.02,2663,2.15,3.22
2016-02-01,69.4,69.95,68.01,69.95,37627,0.93,1.35
2016-02-02,69.14,68.89,67.458,67.97,263987,-1.98,-2.83
2016-02-03,68.61,68.61,64.84,66.33,10273,-1.64,-2.41
2016-02-04,66.44,67.32,66.25,66.54,173131,0.21,0.32
2016-02-05,67.16,67.16,61.98,62.53,75050,-4.01,-6.03
2016-02-08,61.93,61.93,59.41,60.06,87154,-2.47,-3.95
2016-02-09,59.91,60.59,58.82,59.93,153939,-0.13,-0.22
2016-02-10,59.71,60.67,59.71,60.67,188228,0.74,1.23
2016-02-11,59.63,60.885,59.06,60.145,116632,-0.53,-0.87
2016-02-12,60.85,62.11,60.4,61.62,101807,1.48,2.45
2016-02-16,62.34,63.79,61.93,63.78,176332,2.16,3.51
2016-02-17,65.69,66.5,63.22,64.18,199129,0.4,0.63
2016-02-18,64.78,64.78,63.751,64.08,70858,-0.1,-0.16
2016-02-19,63.62,63.62,61.57,61.57,113583,-2.51,-3.92
2016-02-22,63.04,63.04,62.56,62.93,14978,1.36,2.21
2016-02-23,63.06,63.85,63.06,63.35,64480,0.42,0.67
2016-02-24,63.19,64.399,63.19,64.26,25350,0.91,1.44
2016-02-25,64.89,66.79,64.89,66.79,129300,2.53,3.94
2016-02-26,66.1,66.1,64.2,64.85,46036,-1.25,-1.89
2016-02-29,65.14,65.407,64.07,64.07,25386,0.56,0.86
2016-03-01,64.53,66.66,64.5,66.57,28133,2.5,3.9
2016-03-02,66.02,66.8,65.26,66.8,8629,0.23,0.35
2016-03-03,66.93,68.57,66.93,67.07,3655,0.27,0.4
2016-03-04,66.2,66.81,66.05,66.12,11611,-0.95,-1.42
2016-03-07,65.46,67.16,65.46,66.55,27172,0.43,0.65
2016-03-08,67.06,67.06,66.79,66.98,20809,0.43,0.65
2016-03-09,67.25,68.04,65.92,65.98,10877,-1.0,-1.49
2016-03-10,65.7,65.7,64.95,64.95,2507,-1.03,-1.56
2016-03-11,65.13,65.53,60.58,60.58,21199,-4.37,-6.73
2016-03-14,61.53,65.11,61.53,64.43,11004,3.85,6.36
2016-03-15,63.64,64.05,63.05,63.67,5694,-0.76,-1.18
2016-03-16,63.61,64.47,63.61,64.46,3957,0.79,1.24
2016-03-17,64.72,64.72,64.25,64.46,56227,0.0,0.0
2016-03-18,64.74,65.23,63.88,63.88,4578,-0.58,-0.9
2016-03-21,64.85,64.97,64.555,64.64,96328,0.76,1.19
2016-03-22,64.53,66.88,63.73,64.51,24442,-0.13,-0.2
2016-03-23,63.59,64.32,63.35,64.11,3591,-0.4,-0.62
2016-03-24,64.11,66.62,63.28,64.3,66028,0.19,0.3
2016-03-28,63.91,64.84,63.91,64.24,75422,-0.06,-0.09
2016-03-29,65.01,66.54,65.01,66.51,133093,2.27,3.53
2016-03-30,67.0,67.0,66.09,66.34,83620,-0.17,-0.26
2016-03-31,66.5,66.5,65.77,66.2,184511,-0.14,-0.21
2016-04-01,65.94,67.9,65.86,67.63,98495,1.43,2.16
2016-04-04,67.94,68.472,67.43,68.22,8231,0.59,0.87
2016-04-05,67.76,68.21,67.27,67.29,7055,-0.93,-1.36
2016-04-06,67.55,67.59,67.2,67.45,4853,0.16,0.24
2016-04-07,66.73,67.05,66.47,67.05,215129,-0.4,-0.59
2016-04-08,67.15,67.15,66.55,66.8,54745,-0.25,-0.37
2016-04-11,66.86,66.931,66.56,66.85,96682,0.05,0.07
2016-04-12,66.82,67.22,66.56,67.22,5683,0.37,0.55
2016-04-13,67.41,68.97,66.85,68.97,11210,1.75,2.6
2016-04-14,67.03,68.28,66.97,68.28,9738,-0.69,-1.0
2016-04-15,67.46,68.59,67.46,68.59,331301,0.31,0.45
2016-04-18,67.69,68.23,67.39,67.79,10036,-0.8,-1.17
2016-04-19,67.77,68.72,67.72,68.72,32866,0.93,1.37
2016-04-20,68.92,69.9,68.92,69.2,58754,0.48,0.7
2016-04-21,69.48,69.68,68.78,69.21,39655,0.01,0.01
2016-04-22,69.242,70.29,69.14,69.36,9299,0.15,0.22
2016-04-25,69.79,70.68,69.79,70.57,6472,1.21,1.74
2016-04-26,71.38,71.9,67.79,68.02,365847,-2.55,-3.61
2016-04-27,68.77,69.03,68.34,68.38,532621,0.36,0.53
2016-04-28,68.77,69.01,68.68,68.91,524051,0.53,0.78
2016-04-29,68.66,68.66,66.695,67.81,510656,-1.1,-1.6
2016-05-02,68.415,69.08,68.15,68.97,256950,1.16,1.71
2016-05-03,68.79,68.79,68.27,68.49,3567,-0.48,-0.7
2016-05-04,68.38,68.66,67.61,67.61,336206,-0.88,-1.28
2016-05-05,67.53,68.19,67.36,67.79,53247,0.18,0.27
2016-05-06,67.68,68.67,67.51,68.08,6551,0.29,0.43
2016-05-09,68.18,68.93,68.18,68.86,4515,0.78,1.15
2016-05-10,69.25,70.27,69.25,70.27,165887,1.41,2.05
2016-05-11,70.37,70.47,69.915,70.27,58272,0.0,0.0
2016-05-12,70.389,70.5,69.74,70.13,11640,-0.14,-0.2
2016-05-13,71.1,71.1,69.96,69.96,161945,-0.17,-0.24
2016-05-16,69.78,70.31,69.55,69.94,111187,-0.02,-0.03
2016-05-17,69.65,71.16,69.65,70.1,20091,0.16,0.23
2016-05-18,69.84,70.72,69.59,70.16,54730,0.06,0.09
2016-05-19,69.58,70.25,69.17,70.25,220392,0.09,0.13
2016-05-20,71.52,72.12,71.48,71.57,144724,1.32,1.88
