日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-04-21,24.72,24.94,24.72,24.88,397243,0.18,0.73
2015-04-22,24.88,24.9,24.82,24.88,426074,0.0,0.0
2015-04-23,24.88,25.05,24.87,25.05,424170,0.17,0.68
2015-04-24,25.0,25.05,24.96,25.0,177988,-0.05,-0.2
2015-04-27,25.0,25.02,24.9,24.92,96401,-0.08,-0.32
2015-04-28,24.93,24.99,24.87,24.93,67374,0.01,0.04
2015-04-29,24.93,24.99,24.77,24.8,112874,-0.13,-0.52
2015-04-30,24.78,24.8,24.5,24.61,135339,-0.19,-0.77
2015-05-01,24.65,24.73,24.57,24.6,42482,-0.01,-0.04
2015-05-04,24.65,24.87,24.65,24.67,22764,0.07,0.28
2015-05-05,24.75,24.78,24.52,24.6,38700,-0.07,-0.29
2015-05-06,24.53,24.6,24.27,24.35,57401,-0.25,-1.01
2015-05-07,24.35,24.35,24.13,24.28,53172,-0.07,-0.29
2015-05-08,24.45,24.48,24.3,24.33,14140,0.05,0.21
2015-05-11,24.48,24.48,24.21,24.21,44215,-0.12,-0.49
2015-05-12,24.13,24.25,24.07,24.18,10800,-0.03,-0.12
2015-05-13,24.25,24.34,24.1,24.34,57827,0.16,0.66
2015-05-14,24.37,24.54,24.37,24.5,75282,0.16,0.66
2015-05-15,24.4,24.53,24.4,24.46,44410,-0.04,-0.15
2015-05-18,24.46,24.55,24.45,24.53,32170,0.07,0.27
2015-05-19,24.5,24.5,24.13,24.25,14658,-0.28,-1.14
2015-05-20,24.25,24.42,24.25,24.42,11852,0.17,0.7
2015-05-21,24.34,24.55,24.34,24.55,21834,0.13,0.53
2015-05-22,24.41,24.64,24.41,24.62,14438,0.07,0.27
2015-05-26,24.55,24.55,24.4,24.55,39114,-0.07,-0.27
2015-05-27,24.49,24.54,24.38,24.54,8403,-0.01,-0.04
2015-05-28,24.4,24.59,24.36,24.36,19987,-0.18,-0.73
2015-05-29,24.54,24.54,24.35,24.46,12706,0.1,0.41
2015-06-01,24.51,24.52,24.38,24.4,33154,-0.06,-0.25
2015-06-02,24.45,24.45,24.08,24.3,37800,-0.1,-0.41
2015-06-03,24.36,24.4,24.3,24.35,28650,0.05,0.21
2015-06-04,24.35,24.35,24.17,24.2,15843,-0.15,-0.62
2015-06-05,24.15,24.34,24.05,24.14,37569,-0.06,-0.25
2015-06-08,24.13,24.2,24.07,24.1,33402,-0.04,-0.17
2015-06-09,24.1,24.22,23.82,24.0,35828,-0.1,-0.41
2015-06-10,24.08,24.08,23.85,23.98,14203,-0.02,-0.08
2015-06-11,23.98,24.08,23.77,23.85,27935,-0.13,-0.54
2015-06-12,23.77,24.04,23.77,23.9,24384,0.05,0.21
2015-06-15,23.85,23.95,23.85,23.9,13014,0.0,0.0
2015-06-16,23.83,24.04,23.7,23.91,59615,0.01,0.04
2015-06-17,23.95,23.95,23.81,23.87,3250,-0.04,-0.17
2015-06-18,23.94,23.95,23.75,23.95,24900,0.08,0.34
2015-06-19,23.77,23.9,23.56,23.75,30220,-0.2,-0.84
2015-06-22,23.66,23.9,23.6,23.6,14351,-0.15,-0.63
2015-06-23,23.73,23.8,23.65,23.7,9457,0.1,0.42
2015-06-24,23.66,23.89,23.66,23.85,14448,0.15,0.63
2015-06-25,23.8,23.83,23.65,23.7,12806,-0.15,-0.63
2015-06-26,23.65,23.7,23.11,23.48,16552,-0.22,-0.93
2015-06-29,23.26,23.49,22.82,22.92,29598,-0.56,-2.39
2015-06-30,22.95,23.25,22.9,23.05,32014,0.13,0.57
2015-07-01,23.04,23.55,23.04,23.36,15762,0.31,1.34
2015-07-02,23.59,23.87,23.55,23.75,23174,0.39,1.67
2015-07-06,23.89,24.05,23.7,24.04,59897,0.29,1.22
2015-07-07,24.05,24.08,23.54,23.84,72150,-0.2,-0.83
2015-07-08,23.56,23.66,23.14,23.38,51174,-0.46,-1.93
2015-07-09,23.4,23.84,23.4,23.8,50534,0.42,1.8
2015-07-10,23.95,24.19,23.8,24.1,50704,0.27,1.13
2015-07-13,24.1,24.22,23.9,24.12,49626,0.02,0.08
2015-07-14,24.17,24.3,24.01,24.11,29581,-0.01,-0.04
2015-07-15,24.06,24.32,24.04,24.14,70717,0.03,0.12
2015-07-16,24.2,24.25,24.01,24.14,45556,0.0,0.0
2015-07-17,24.18,24.2,23.76,23.93,66843,-0.21,-0.87
2015-07-20,23.67,23.78,23.46,23.68,35284,-0.25,-1.04
2015-07-21,23.58,23.58,23.2,23.28,36289,-0.4,-1.69
2015-07-22,23.18,23.18,21.85,21.96,99676,-1.32,-5.67
2015-07-23,22.01,22.16,21.66,21.84,53660,-0.12,-0.55
2015-07-24,22.0,22.09,21.71,21.75,18289,-0.09,-0.41
2015-07-27,21.72,21.8,20.15,20.17,101509,-1.58,-7.26
2015-07-28,20.51,21.46,20.51,21.41,25911,1.24,6.15
2015-07-29,21.79,21.8,21.5,21.6,11602,0.19,0.89
2015-07-30,21.85,21.85,21.5,21.6,4850,0.0,0.0
2015-07-31,21.82,21.85,20.75,21.15,20520,-0.45,-2.08
2015-08-03,21.23,21.35,21.11,21.22,11672,0.07,0.33
2015-08-04,21.02,21.25,20.75,20.95,16180,-0.27,-1.27
2015-08-05,21.2,21.45,21.1,21.3,19386,0.35,1.67
2015-08-06,20.8,20.8,19.65,20.12,39592,-0.5,-2.43
2015-08-07,20.12,20.3,19.85,19.91,34485,-0.21,-1.04
2015-08-10,19.99,20.58,19.9,20.58,35136,0.67,3.37
2015-08-11,20.4,20.54,20.15,20.53,21719,-0.05,-0.24
2015-08-12,20.54,20.54,20.35,20.46,13089,-0.07,-0.34
2015-08-13,20.5,20.5,20.21,20.3,14018,-0.16,-0.78
2015-08-14,20.47,20.55,20.25,20.48,14874,0.18,0.89
2015-08-17,20.42,20.44,20.14,20.33,41254,-0.15,-0.73
2015-08-18,20.34,20.34,20.0,20.33,30796,0.0,0.0
2015-08-19,20.2,20.24,20.15,20.2,11107,-0.13,-0.64
2015-08-20,20.15,20.34,20.05,20.3,41692,0.1,0.5
2015-08-21,20.3,20.35,19.72,19.73,49371,-0.57,-2.81
2015-08-24,19.0,19.64,18.44,18.88,44908,-0.85,-4.31
2015-08-25,19.01,19.01,18.61,18.8,15521,-0.08,-0.42
2015-08-26,18.95,18.95,17.97,18.07,26442,-0.73,-3.88
2015-08-27,18.19,19.0,18.14,18.8,42305,0.73,4.04
2015-08-28,18.8,19.13,18.8,18.98,18772,0.18,0.96
2015-08-31,18.82,19.47,18.82,19.27,16685,0.29,1.53
2015-09-01,19.14,19.24,19.0,19.14,5218,-0.13,-0.67
2015-09-02,19.25,19.65,19.25,19.62,9913,0.48,2.51
2015-09-03,19.7,19.95,19.7,19.93,16899,0.31,1.58
2015-09-04,19.81,20.0,19.69,19.98,16899,0.05,0.25
2015-09-08,19.71,19.99,19.65,19.86,15065,-0.12,-0.6
2015-09-09,19.86,19.95,19.55,19.55,6692,-0.31,-1.56
2015-09-10,19.66,20.04,19.66,20.04,8798,0.49,2.51
2015-09-11,20.0,20.0,19.57,19.69,4922,-0.35,-1.75
2015-09-14,19.7,19.73,19.13,19.4,15555,-0.29,-1.47
2015-09-15,19.43,19.54,19.15,19.5,19706,0.1,0.52
2015-09-16,19.78,19.81,19.5,19.68,9251,0.18,0.92
2015-09-17,19.7,19.88,19.59,19.65,8612,-0.03,-0.15
2015-09-18,19.6,19.9,19.6,19.71,2808,0.06,0.31
2015-09-21,19.9,19.95,19.7,19.88,6523,0.17,0.86
2015-09-22,19.47,19.72,19.47,19.69,4292,-0.19,-0.96
2015-09-23,19.33,19.66,19.33,19.55,3930,-0.14,-0.71
2015-09-24,19.29,19.29,18.52,18.68,21992,-0.87,-4.45
2015-09-25,18.79,19.09,18.78,19.07,3411,0.39,2.09
2015-09-28,18.81,18.81,17.65,17.65,22205,-1.42,-7.45
2015-09-29,17.7,17.8,17.02,17.16,19850,-0.49,-2.78
2015-09-30,17.18,17.5,17.13,17.24,9118,0.08,0.47
2015-10-01,17.29,17.55,17.0,17.25,7510,0.01,0.06
2015-10-02,17.32,18.0,17.15,18.0,23997,0.75,4.35
2015-10-05,17.99,19.25,17.99,19.14,42446,1.14,6.33
2015-10-06,19.4,19.87,19.4,19.63,16246,0.49,2.56
2015-10-07,19.82,19.83,19.4,19.52,36902,-0.11,-0.56
2015-10-08,19.55,19.9,19.5,19.87,9770,0.35,1.79
2015-10-09,19.6,19.88,19.6,19.75,10215,-0.12,-0.6
2015-10-12,19.72,19.89,19.5,19.68,4250,-0.07,-0.35
2015-10-13,19.56,19.8,19.56,19.62,4244,-0.06,-0.3
2015-10-14,19.6,19.75,19.36,19.44,9521,-0.18,-0.92
2015-10-15,19.66,19.69,19.5,19.69,9116,0.25,1.29
2015-10-16,19.85,20.21,19.75,20.16,28452,0.47,2.39
2015-10-19,20.0,20.45,20.0,20.31,10620,0.15,0.74
2015-10-20,20.45,20.81,20.31,20.76,20680,0.45,2.22
2015-10-21,20.59,20.74,20.35,20.59,31853,-0.17,-0.82
2015-10-22,20.63,20.78,20.3,20.4,25625,-0.19,-0.92
2015-10-23,20.6,20.75,20.42,20.7,12662,0.3,1.47
2015-10-26,20.89,21.17,20.79,21.17,14190,0.47,2.27
2015-10-27,20.91,21.1,20.81,20.81,7880,-0.36,-1.7
2015-10-28,20.73,21.15,20.48,20.94,24599,0.13,0.62
2015-10-29,20.95,21.0,20.63,20.92,18978,-0.02,-0.1
2015-10-30,20.83,21.37,20.83,21.14,30281,0.22,1.05
2015-11-02,21.31,21.74,21.16,21.74,42206,0.6,2.84
2015-11-03,21.57,21.83,21.27,21.76,27652,0.02,0.09
2015-11-04,21.31,21.34,20.85,20.86,9558,-0.37,-1.74
2015-11-05,21.09,21.09,20.6,20.97,10018,0.11,0.53
2015-11-06,20.9,20.9,20.07,20.47,10600,-0.5,-2.37
2015-11-09,20.45,21.35,20.08,21.33,143981,0.86,4.19
2015-11-10,21.15,21.21,20.78,21.1,28244,-0.23,-1.08
2015-11-11,21.1,21.14,20.36,20.67,18430,-0.43,-2.04
2015-11-12,20.38,20.38,19.86,19.9,56679,-0.77,-3.73
2015-11-13,19.9,19.99,19.33,19.6,63595,-0.3,-1.51
2015-11-16,19.89,20.39,19.4,19.79,49324,0.19,0.97
2015-11-17,19.51,19.75,19.04,19.21,31773,-0.58,-2.92
2015-11-18,19.62,19.7,18.22,18.49,47319,-0.72,-3.76
2015-11-19,18.56,18.56,17.31,17.91,42244,-0.58,-3.14
2015-11-20,17.7,17.91,15.62,16.41,201042,-1.5,-8.38
2015-11-23,16.3,17.37,16.3,17.05,64090,0.64,3.9
2015-11-24,17.35,17.88,17.35,17.67,17639,0.62,3.64
2015-11-25,17.56,17.89,17.55,17.88,6420,0.21,1.19
2015-11-27,17.75,18.5,17.75,18.19,22326,0.31,1.73
2015-11-30,18.11,19.5,18.07,18.58,54224,0.39,2.14
2015-12-01,18.99,18.99,18.28,18.37,9466,-0.21,-1.13
2015-12-02,18.11,18.11,17.26,17.67,31015,-0.7,-3.81
2015-12-03,17.36,17.84,17.03,17.41,20141,-0.26,-1.47
2015-12-04,17.2,17.72,17.03,17.08,29056,-0.33,-1.9
2015-12-07,16.45,16.5,14.87,15.09,121257,-1.99,-11.65
2015-12-08,14.45,16.0,14.45,15.33,37700,0.24,1.59
2015-12-09,15.74,16.74,15.54,15.63,46217,0.3,1.96
2015-12-10,16.04,16.04,15.54,15.74,25722,0.11,0.7
2015-12-11,15.62,15.91,14.73,14.88,41686,-0.86,-5.46
2015-12-14,14.88,15.01,14.2,14.55,53261,-0.33,-2.22
2015-12-15,14.8,14.98,14.35,14.9,45519,0.35,2.41
2015-12-16,15.0,15.52,14.97,15.15,21829,0.25,1.68
2015-12-17,14.02,14.44,12.31,12.85,315009,-2.3,-15.18
2015-12-18,12.85,14.34,12.71,14.33,112772,1.48,11.52
2015-12-21,14.33,14.5,13.5,13.97,117887,-0.36,-2.51
2015-12-22,14.02,14.48,13.63,14.3,90460,0.33,2.36
2015-12-23,14.34,15.69,14.34,15.59,50735,1.29,9.02
2015-12-24,15.32,16.28,15.32,16.07,22734,0.48,3.08
2015-12-28,15.25,15.99,14.64,15.82,57235,-0.25,-1.56
2015-12-29,15.65,16.75,15.65,16.43,111000,0.61,3.86
2015-12-30,16.74,16.74,16.49,16.49,18574,0.06,0.37
2015-12-31,16.32,17.24,16.3,17.12,33247,0.63,3.82
2016-01-04,17.0,17.6,16.75,17.57,24461,0.45,2.63
2016-01-05,18.12,18.12,17.02,17.52,20759,-0.05,-0.28
2016-01-06,17.4,17.4,16.26,16.43,67769,-1.09,-6.22
2016-01-07,16.05,16.35,15.15,15.26,38501,-1.17,-7.12
2016-01-08,15.52,16.98,14.53,15.08,55532,-0.18,-1.18
2016-01-11,15.1,15.1,13.33,13.76,87501,-1.32,-8.75
2016-01-12,14.0,14.5,12.44,13.12,70338,-0.64,-4.65
2016-01-13,13.16,13.6,12.02,12.73,71098,-0.39,-2.97
2016-01-14,12.5,13.15,11.9,13.13,44959,0.4,3.14
2016-01-15,12.76,12.86,12.0,12.57,23402,-0.56,-4.27
2016-01-19,13.0,13.0,11.25,11.42,27155,-1.15,-9.15
2016-01-20,11.0,11.02,9.08,10.5,116063,-0.92,-8.06
2016-01-21,10.6,12.48,10.24,11.88,31873,1.38,13.14
2016-01-22,12.77,13.3,12.41,13.16,36719,1.28,10.77
2016-01-25,12.94,13.56,12.44,12.47,17338,-0.69,-5.24
2016-01-26,12.71,13.59,12.51,13.55,32949,1.08,8.66
2016-01-27,13.88,13.88,13.4,13.4,11419,-0.15,-1.11
2016-01-28,13.84,14.1,13.6,13.79,18631,0.39,2.91
2016-01-29,14.0,15.2,14.0,14.25,45470,0.46,3.34
2016-02-01,14.08,14.49,14.0,14.31,13071,0.06,0.42
2016-02-02,14.1,14.46,14.0,14.29,7348,-0.02,-0.14
2016-02-03,14.09,14.09,13.44,14.02,14895,0.26,1.9
2016-02-04,14.5,14.65,13.95,14.0,2857,-0.02,-0.14
2016-02-05,14.1,14.1,13.19,13.37,9480,-0.63,-4.5
2016-02-08,13.25,13.57,12.55,13.3,96105,-0.07,-0.52
2016-02-09,13.29,13.85,12.21,12.41,47184,-0.89,-6.69
2016-02-10,12.48,12.79,11.6,11.6,36165,-0.81,-6.53
2016-02-11,11.55,11.55,10.18,11.16,38656,-0.44,-3.79
2016-02-12,11.7,12.1,11.18,11.96,38324,0.8,7.17
2016-02-16,13.0,13.08,12.2,12.87,25921,0.91,7.61
