日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2004-07-23,1360332217860.9146,1361568883513.5154,1249032309126.8398,1310865591756.8813,2917241,0.0,0.0
2004-07-26,1335598904808.898,1335598904808.898,1256452303042.4448,1283658947399.663,601890,-27267265222.542,-2.08
2004-07-27,1273765622178.8564,1304682263493.8772,1261398965652.848,1261398965652.848,852641,-22206372347.4043,-1.73
2004-07-28,1273765622178.8564,1335598904808.898,1273765622178.8564,1330652242198.4946,411450,69250931933.5457,5.49
2004-07-29,1332507240677.396,1391248859175.9353,1329415576545.8938,1383828865260.3303,661501,60224020439.3545,4.55
2004-07-30,1390012193523.3345,1428348828753.9604,1390012193523.3345,1415982172227.952,471724,24763689001.4321,1.78
2004-08-02,1422165500490.956,1462975467026.7837,1403615515701.9436,1406088847007.1453,371508,-9912005970.8459,-0.7
2004-08-03,1419692169185.7546,1425875497448.7585,1391248859175.9353,1409798843964.948,178720,3655971468.4907,0.26
2004-08-04,1409798843964.948,1409798843964.948,1378882202649.927,1396195521786.3386,58650,-13533397626.3621,-0.96
2004-08-05,1397432187438.9397,1397432187438.9397,1310865591756.8813,1357858886555.713,242300,-38397037923.1692,-2.75
2004-08-06,1347965561334.9062,1349202226987.507,1310865591756.8813,1347965561334.9062,59200,-9912509920.1619,-0.73
2004-08-09,1347965561334.9062,1352912223945.3096,1335598904808.898,1335598904808.898,5490,-12401604687.3657,-0.92
2004-08-10,1347965561334.9062,1386302196565.5322,1347965561334.9062,1373935540039.5237,82700,38331826576.3918,2.87
2004-08-11,1366515546123.919,1385065530912.9312,1366515546123.919,1382592199607.7295,56719,8655799321.8013,0.63
2004-08-12,1382468533042.4695,1382468533042.4695,1317048920019.8855,1354148889597.9104,113975,-28482200455.0918,-2.06
2004-08-13,1366391879558.6587,1366391879558.6587,1355385555250.5115,1358971885643.0537,10300,4874749689.4331,0.36
2004-08-16,1360332217860.9146,1360332217860.9146,1346728895682.3054,1359095552208.3137,112400,135895965.6243,0.01
2004-08-17,1323355914848.15,1391248859175.9353,1323355914848.15,1366515546123.919,526489,7474724518.8281,0.55
2004-08-18,1365278880471.3179,1378882202649.927,1365155213906.0579,1365155213906.0579,51700,-1366521735.6416,-0.1
2004-08-19,1364042214818.717,1365278880471.3179,1356622220903.112,1360332217860.9146,62810,-4777885361.2776,-0.35
2004-08-20,1364042214818.717,1364042214818.717,1350438892640.108,1355385555250.5115,203900,-4897017261.0417,-0.36
2004-08-23,1347965561334.9062,1356622220903.112,1299735600883.4739,1340545567419.3013,88464,-14772972080.5483,-1.09
2004-08-24,1391248859175.9353,1391248859175.9353,1307155594799.0789,1347965561334.9062,20968,7373257670.1563,0.55
2004-08-25,1372698874386.9229,1372698874386.9229,1323232248282.8896,1347965561334.9062,113200,0.0,0.0
2004-08-26,1347965561334.9062,1451845476153.3762,1347965561334.9062,1351675558292.7087,85795,3774124015.9749,0.28
2004-08-27,1368988877429.1204,1397432187438.9397,1341782233071.902,1343018898724.503,25665,-8650685338.0,-0.64
2004-08-30,1391248859175.9353,1391248859175.9353,1349202226987.507,1356622220903.112,23952,13564879151.6895,1.01
2004-08-31,1544595400098.4385,1638581989696.1016,1415982172227.952,1449372144848.1746,2497437,92790204705.7424,6.84
2004-09-01,1435768822669.5652,1480288786163.1953,1397432187438.9397,1397432187438.9397,314453,-51885575928.5564,-3.58
2004-09-02,1434532157016.9644,1453082141805.977,1373935540039.5237,1404852181354.5444,164298,7406462310.9312,0.53
