日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-08-27,0.36,0.38,0.36,0.38,1339000,0.0,0.0
2018-08-29,0.38,0.38,0.38,0.38,200000,0.0,0.0
2018-08-30,0.38,0.38,0.38,0.38,200000,0.0,0.0
2018-08-31,0.37,0.4,0.37,0.39,175000,0.01,2.63
2018-09-05,0.41,0.41,0.41,0.41,1000,0.02,5.13
2018-09-06,0.41,0.41,0.38,0.38,400,-0.03,-7.32
2018-09-11,0.39,0.39,0.39,0.39,150000,0.01,2.63
2018-09-18,0.37,0.37,0.37,0.37,15000,-0.02,-5.13
2018-09-20,0.39,0.39,0.39,0.39,150000,0.02,5.41
2019-01-22,0.22,0.39,0.22,0.39,3100,-0.01,-2.5
2019-01-25,0.3,0.37,0.3,0.37,17000,-0.02,-5.13
2019-02-04,0.37,0.37,0.37,0.37,300,0.0,0.0
2019-03-15,0.31,0.36,0.31,0.36,15400,-0.01,-2.7
2019-03-22,0.36,0.36,0.36,0.36,150,0.0,0.0
2019-05-02,0.3,0.34,0.3,0.34,640,-0.02,-5.56
2019-06-18,0.2381,0.34,0.2381,0.34,10100,0.0,0.0
2019-06-26,0.3399,0.36,0.3399,0.36,30310,0.02,5.88
2019-06-27,0.38,0.38,0.38,0.38,20000,0.02,5.56
2019-06-28,0.37,0.37,0.37,0.37,20000,-0.01,-2.63
2019-07-01,0.38,0.38,0.3799,0.3799,11600,0.0099,2.68
2019-07-08,0.4,0.4,0.36,0.38,4800,0.0001,0.03
2019-07-26,0.266,0.36,0.25,0.36,6900,-0.02,-5.26
2019-08-06,0.28,0.3,0.28,0.3,11200,-0.06,-16.67
2019-08-07,0.2115,0.28,0.2114,0.28,11600,-0.02,-6.67
2019-08-29,0.25,0.28,0.25,0.28,2000,0.0,0.0
2019-09-06,0.27,0.29,0.26,0.29,5400,0.01,3.57
2019-10-02,0.2031,0.27,0.2,0.27,71300,-0.02,-6.9
2019-10-16,0.21,0.2615,0.1895,0.21,112908,-0.06,-22.22
2019-10-17,0.21,0.29,0.21,0.22,176000,0.01,4.76
2019-10-18,0.22,0.22,0.22,0.22,134300,0.0,0.0
2019-10-21,0.21,0.23,0.21,0.21,320100,-0.01,-4.55
