日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-06,5.5198,5.8547,5.4462,5.759,2569319,0.0,0.0
2014-03-07,5.7627,5.7958,5.6449,5.7222,352021,-0.0369,-0.64
2014-03-10,5.7038,5.7406,5.667,5.7148,220626,-0.0074,-0.13
2014-03-11,5.6817,5.7406,5.6743,5.7259,222050,0.0109,0.19
2014-03-12,5.6854,5.759,5.6596,5.759,139531,0.0332,0.58
2014-03-13,5.7774,5.8399,5.7148,5.7884,92291,0.0294,0.51
2014-03-14,5.8657,5.9687,5.7623,5.9614,204188,0.1731,2.99
2014-03-17,5.9614,5.9614,5.8399,5.8878,144647,-0.0733,-1.23
2014-03-18,5.8878,5.9503,5.8179,5.9503,91074,0.0624,1.06
2014-03-19,5.9393,6.0092,5.9246,5.9871,104080,0.0369,0.62
2014-03-20,6.0055,6.1527,5.943,6.0497,95611,0.0623,1.04
2014-03-21,6.0607,6.0714,5.943,6.035,117773,-0.0145,-0.24
2014-03-24,6.0423,6.0718,5.7111,5.9099,120106,-0.1249,-2.07
2014-03-25,5.8878,5.965,5.8381,5.9062,34033,-0.0035,-0.06
2014-03-26,5.9062,5.9283,5.8841,5.8951,70259,-0.0112,-0.19
2014-03-27,5.8436,5.9687,5.8326,5.8878,69846,-0.0071,-0.12
2014-03-28,5.8915,5.9393,5.8716,5.9209,162399,0.033,0.56
2014-03-31,5.9466,6.0677,5.9466,5.9761,111626,0.0551,0.93
2014-04-01,6.0074,6.0681,5.9614,6.0607,113463,0.0849,1.42
2014-04-02,6.0202,6.0681,5.9319,6.0534,89749,-0.0073,-0.12
2014-04-03,6.0718,6.0718,5.8951,5.9246,106610,-0.1289,-2.13
2014-04-04,5.9724,6.0313,5.8289,5.851,125329,-0.0735,-1.24
2014-04-07,5.851,5.8837,5.6891,5.8031,83926,-0.048,-0.82
2014-04-08,5.8215,5.9614,5.7976,5.9466,98165,0.1433,2.47
2014-04-09,5.954,5.9798,5.8731,5.9099,106700,-0.0369,-0.62
2014-04-10,5.9099,5.9393,5.8105,5.8399,132502,-0.0697,-1.18
