日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,3.4893,3.4893,3.4441,3.4441,13719,-0.0578,-1.65
1995-01-04,3.4276,3.4399,3.3906,3.4399,120648,-0.0041,-0.12
1995-01-05,3.4564,3.5099,3.4523,3.5099,24556,0.0698,2.03
1995-01-06,3.4976,3.5017,3.4934,3.5017,6502,-0.0081,-0.23
1995-01-09,3.5017,3.5017,3.4605,3.4688,5772,-0.0329,-0.94
1995-01-10,3.4688,3.4729,3.4153,3.4235,33225,-0.0451,-1.3
1995-01-11,3.4111,3.4399,3.4111,3.4399,30335,0.0164,0.48
1995-01-12,3.4276,3.4523,3.4235,3.4317,23833,-0.0083,-0.24
1995-01-13,3.4194,3.4688,3.4153,3.4688,14442,0.0371,1.08
1995-01-16,3.4811,3.5593,3.4729,3.5593,23118,0.0905,2.61
1995-01-17,3.5469,3.6087,3.5181,3.5881,41172,0.0288,0.81
1995-01-18,3.5881,3.5881,3.5099,3.5099,10829,-0.0782,-2.18
1995-01-19,3.5346,3.5881,3.5305,3.5469,34677,0.0372,1.06
1995-01-20,3.6045,3.6457,3.5469,3.5757,77302,0.0287,0.81
1995-01-23,3.5757,3.6333,3.5757,3.6251,30335,0.0493,1.38
1995-01-24,3.6416,3.6457,3.5881,3.6004,18784,-0.0247,-0.68
1995-01-25,3.5799,3.5799,3.5469,3.5469,44062,-0.0536,-1.49
1995-01-26,3.5757,3.6004,3.5305,3.6004,11559,0.0536,1.51
1995-01-27,3.6169,3.6745,3.5881,3.6745,44792,0.0742,2.06
1995-01-30,3.6909,3.7033,3.6745,3.7033,11559,0.0287,0.78
1995-01-31,3.7033,3.7115,3.6333,3.6333,28175,-0.07,-1.89
1995-02-01,3.6416,3.7033,3.6333,3.6457,41172,0.0124,0.34
1995-02-02,3.6745,3.6745,3.6457,3.6745,15887,0.0288,0.79
1995-02-03,3.6909,3.7033,3.6457,3.658,20951,-0.0165,-0.45
1995-02-06,3.6457,3.6663,3.6169,3.6539,15171,-0.004,-0.11
1995-02-07,3.6663,3.7033,3.6663,3.6868,36837,0.0329,0.9
1995-02-08,3.6909,3.7033,3.6868,3.7033,36837,0.0166,0.45
1995-02-09,3.7115,3.7239,3.7033,3.7239,13004,0.0207,0.56
1995-02-10,3.7239,3.7362,3.7156,3.7156,20951,-0.0082,-0.22
1995-02-13,3.7239,3.7239,3.6868,3.6868,24556,-0.029,-0.78
1995-02-14,3.7033,3.7609,3.7033,3.7321,27453,0.0453,1.23
1995-02-15,3.7033,3.7609,3.6951,3.7033,21666,-0.0287,-0.77
1995-02-16,3.7609,3.7609,3.7321,3.7321,14442,0.0289,0.78
1995-02-17,3.7239,3.8144,3.7156,3.7156,70070,-0.0164,-0.44
1995-02-21,3.7156,3.7444,3.5593,3.6827,91021,-0.0331,-0.89
1995-02-22,3.6416,3.7239,3.6375,3.7239,27453,0.0412,1.12
1995-02-23,3.7403,3.7732,3.7115,3.7609,21666,0.0369,0.99
1995-02-24,3.7486,3.7897,3.7156,3.7897,17331,0.029,0.77
1995-02-27,3.7732,3.7897,3.7444,3.765,15887,-0.0246,-0.65
1995-02-28,3.7691,3.8144,3.765,3.8144,67903,0.0493,1.31
1995-03-01,3.8309,3.8432,3.765,3.8144,15171,0.0,0.0
1995-03-02,3.8144,3.8967,3.7897,3.7897,57788,-0.0248,-0.65
1995-03-03,3.7732,3.802,3.7444,3.802,7224,0.0125,0.33
1995-03-07,3.8597,3.872,3.8267,3.872,7014,0.111,2.95
1995-03-08,3.8802,3.9173,3.8802,3.8926,19632,0.0205,0.53
1995-03-09,3.8802,3.8802,3.8638,3.872,2104,-0.0206,-0.53
1995-03-10,3.8597,3.8638,3.835,3.835,9820,-0.0372,-0.96
1995-03-13,3.8226,3.8432,3.8144,3.8226,4201,-0.0123,-0.32
1995-03-14,3.8144,3.8267,3.7527,3.8144,28750,-0.0084,-0.22
1995-03-15,3.8267,3.872,3.8267,3.8514,7014,0.037,0.97
1995-03-16,3.8432,3.8926,3.8432,3.8885,21736,0.037,0.96
1995-03-17,3.872,3.872,3.8144,3.8144,21736,-0.0739,-1.9
