日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-08-07,10.1,10.1,9.9,10.02,348978,-0.08,-0.79
2020-08-10,10.14,10.14,10.03,10.05,7824,0.03,0.3
2020-08-11,10.02,10.03,10.02,10.02,1407,-0.03,-0.3
2020-08-12,10.03,10.07,10.02,10.05,5100,0.03,0.3
2020-08-13,10.15,10.25,10.04,10.06,1154542,0.01,0.1
2020-08-14,10.22,10.6999,10.15,10.3,2589,0.24,2.39
2020-08-17,10.1699,10.71,10.068,10.68,122616,0.38,3.69
2020-08-18,10.75,10.75,10.0,10.21,40590,-0.47,-4.4
2020-08-19,10.21,10.26,10.01,10.05,199344,-0.16,-1.57
2020-08-20,10.04,10.04,10.0,10.0,151205,-0.05,-0.5
2020-08-21,9.86,10.15,9.86,10.0,306443,0.0,0.0
2020-08-24,10.0,10.1,10.0,10.0,17598,0.0,0.0
2020-08-25,9.92,10.065,9.92,10.065,17984,0.065,0.65
2020-08-26,9.94,10.1,9.94,10.05,26085,-0.015,-0.15
2020-08-27,9.98,9.98,9.92,9.975,230749,-0.075,-0.75
2020-08-28,9.95,10.0,9.9,9.98,143588,0.005,0.05
2020-08-31,10.01,10.01,9.9,9.95,5317,-0.03,-0.3
2020-09-01,9.9,10.0,9.9,9.9,10713,-0.05,-0.5
2020-09-02,9.94,10.06,9.94,9.97,864555,0.07,0.71
2020-09-03,9.96,10.04,9.96,10.02,755077,0.05,0.5
2020-09-04,10.17,10.25,10.03,10.065,14412,0.045,0.45
2020-09-08,10.11,10.2,10.0,10.2,18197,0.135,1.34
2020-09-09,10.34,10.44,10.17,10.4,102870,0.2,1.96
2020-09-10,10.28,10.45,10.06,10.43,451155,0.03,0.29
2020-09-11,10.21,10.47,10.18,10.37,1165023,-0.06,-0.58
2020-09-14,10.49,10.5,10.11,10.425,46963,0.055,0.53
2020-09-15,10.32,10.45,10.25,10.45,72586,0.025,0.24
2020-09-16,10.4,10.4774,10.21,10.3399,22761,-0.1101,-1.05
2020-09-17,10.3,10.31,10.25,10.3,19370,-0.0399,-0.39
2020-09-18,10.31,10.445,10.28,10.41,53379,0.11,1.07
2020-09-21,10.25,10.45,10.25,10.26,29482,-0.15,-1.44
2020-09-22,10.4,10.4,10.2,10.2,65689,-0.06,-0.58
2020-09-23,10.2,10.25,10.05,10.11,1417778,-0.09,-0.88
2020-09-24,10.06,10.17,9.97,10.16,87840,0.05,0.49
2020-09-25,10.14,10.14,10.12,10.12,1434,-0.04,-0.39
2020-09-28,10.27,10.27,10.06,10.14,8554,0.02,0.2
2020-09-29,10.2,10.2,10.15,10.17,74748,0.03,0.3
2020-09-30,10.19,10.19,10.16,10.18,10048,0.01,0.1
2020-10-01,10.17,10.3,10.17,10.195,642444,0.015,0.15
2020-10-02,10.18,10.18,10.18,10.18,1000,-0.015,-0.15
2020-10-05,10.08,10.2,10.01,10.09,66892,-0.09,-0.88
2020-10-06,10.02,10.15,10.01,10.03,159939,-0.06,-0.59
2020-10-07,10.05,10.13,9.975,10.0,419950,-0.03,-0.3
2020-10-08,10.1,10.1,9.98,10.09,6835,0.09,0.9
2020-10-09,10.17,10.18,9.99,10.075,6024,-0.015,-0.15
2020-10-12,10.15,10.15,10.15,10.15,152,0.075,0.74
2020-10-13,10.1,10.1,10.0,10.0,5293,-0.15,-1.48
2020-10-14,10.01,10.1,10.0,10.0,508762,0.0,0.0
2020-10-15,10.02,10.02,10.0,10.02,1931,0.02,0.2
2020-10-16,9.98,10.1,9.98,10.08,4174,0.06,0.6
2020-10-19,10.09,10.14,10.0,10.0,5559,-0.08,-0.79
2020-10-20,10.13,10.13,10.05,10.05,1174,0.05,0.5
2020-10-21,10.14,10.14,9.96,9.97,37154,-0.08,-0.8
2020-10-22,10.0,10.015,9.97,9.97,76753,0.0,0.0
2020-10-23,9.95,9.98,9.905,9.96,212734,-0.01,-0.1
2020-10-26,9.83,9.98,9.83,9.9384,40850,-0.0216,-0.22
2020-10-27,9.93,9.94,9.91,9.91,2495,-0.0284,-0.29
2020-10-28,9.9,9.99,9.85,9.9,146132,-0.01,-0.1
2020-10-29,9.92,9.94,9.9,9.94,6338,0.04,0.4
2020-10-30,9.9,9.93,9.89,9.89,2613,-0.05,-0.5
2020-11-02,9.92,9.92,9.88,9.9,20574,0.01,0.1
2020-11-03,9.9,9.9,9.89,9.89,4638,-0.01,-0.1
2020-11-04,9.875,9.875,9.875,9.875,245,-0.015,-0.15
2020-11-05,9.86,9.92,9.86,9.91,7866,0.035,0.35
2020-11-06,10.01,10.01,9.74,9.95,12993,0.04,0.4
2020-11-09,10.0,10.0,9.9,9.9,204634,-0.05,-0.5
2020-11-10,9.9,9.94,9.72,9.8,61962,-0.1,-1.01
2020-11-11,9.9,10.0,9.86,9.9,8059,0.1,1.02
2020-11-12,9.87,9.95,9.87,9.9,9828,0.0,0.0
2020-11-13,9.9,9.9,9.74,9.87,538910,-0.03,-0.303
2020-11-16,9.85,9.85,9.85,9.85,1003,-0.02,-0.2026
2020-11-17,9.95,9.95,9.925,9.925,8864,0.075,0.7614
2020-11-18,9.88,9.93,9.865,9.9,3075,-0.025,-0.2519
2020-11-19,9.89,9.95,9.89,9.9,55359,0.0,0.0
2020-11-20,10.0,10.07,9.92,10.02,11164,0.12,1.2121
2020-11-23,10.02,10.02,10.02,10.02,131,0.0,0.0
2020-11-24,10.15,10.15,9.995,10.03,16774,0.01,0.0998
2020-11-25,9.97,10.03,9.97,10.03,6068,0.0,0.0
2020-11-27,10.11,10.11,10.01,10.01,24848,-0.02,-0.2
2020-11-30,10.0917,10.0917,10.04,10.04,53327,0.03,0.2997
2020-12-01,10.02,10.37,9.81,10.37,85582,0.33,3.2869
2020-12-02,10.3,10.3,10.05,10.19,5926,-0.18,-1.7358
2020-12-03,10.16,10.16,10.12,10.12,3133,-0.07,-0.6869
2020-12-04,10.05,10.1,10.05,10.09,62884,-0.03,-0.2964
2020-12-07,10.06,10.2,10.025,10.05,529884,-0.04,-0.3964
2020-12-08,10.05,10.3215,10.05,10.16,144243,0.11,1.0945
2020-12-09,10.25,10.47,10.21,10.285,365508,0.125,1.2303
2020-12-10,10.25,10.34,10.22,10.28,1126520,-0.005,-0.0486
2020-12-11,10.39,10.73,10.39,10.55,510807,0.27,2.6265
2020-12-14,10.82,10.82,10.4,10.5,561207,-0.05,-0.47
2020-12-15,10.5,10.55,10.3,10.4,283785,-0.1,-0.9524
2020-12-16,10.48,10.545,10.26,10.41,63677,0.01,0.0962
2020-12-17,10.5,10.54,10.3,10.45,75663,0.04,0.3842
2020-12-18,10.48,10.62,10.31,10.48,234101,0.03,0.2871
