日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-07-18,11.25,11.55,10.41,11.4,4233470,1.4,14.0
2014-07-21,11.5,11.95,11.36,11.6,636699,0.2,1.75
2014-07-22,11.67,11.7,11.1,11.2,509594,-0.4,-3.45
2014-07-23,11.02,11.31,11.0,11.16,190278,-0.04,-0.36
2014-07-24,11.5,11.64,10.6,10.67,232060,-0.49,-4.39
2014-07-25,10.67,10.81,10.436,10.52,157757,-0.15,-1.41
2014-07-28,10.6,10.6,10.15,10.17,154754,-0.35,-3.33
2014-07-29,10.17,10.32,9.94,10.3,144939,0.13,1.28
2014-07-30,10.43,10.45,10.16,10.21,45555,-0.09,-0.87
2014-07-31,10.4,10.4,9.88,10.0,48414,-0.21,-2.06
2014-08-01,9.31,9.98,9.31,9.9,66499,-0.1,-1.0
2014-08-04,9.99,10.43,9.84,10.03,102504,0.13,1.31
2014-08-05,9.83,9.96,9.71,9.71,38181,,
2014-08-06,9.8,9.8,9.62,9.69,103689,-0.02,-0.21
2014-08-07,9.69,10.07,9.62,10.05,129256,0.36,3.72
2014-08-08,10.38,10.38,10.0,10.21,85899,0.16,1.59
2014-08-11,10.24,10.35,10.04,10.14,85679,-0.07,-0.69
2014-08-12,10.78,10.78,9.59,9.8,309023,-0.34,-3.35
2014-08-13,9.93,10.0,9.5,9.54,337126,-0.26,-2.65
2014-08-14,9.65,9.71,9.45,9.53,107210,-0.01,-0.1
2014-08-15,9.84,9.84,9.01,9.05,102344,-0.48,-5.04
2014-08-18,9.12,9.2,8.65,8.66,284134,-0.39,-4.31
2014-08-19,8.7,8.74,8.5,8.58,145479,-0.08,-0.92
2014-08-20,8.58,9.03,8.55,8.79,138557,0.21,2.45
2014-08-21,8.86,9.56,8.76,9.12,96424,0.33,3.75
2014-08-22,9.14,9.29,9.05,9.1,65502,-0.02,-0.22
2014-08-25,9.26,9.35,9.01,9.17,109171,0.07,0.77
2014-08-26,9.04,9.13,8.9,9.02,99601,-0.15,-1.64
2014-08-27,9.13,9.171,8.92,9.07,139427,0.05,0.55
2014-08-28,9.16,9.16,8.75,8.88,259314,-0.19,-2.09
2014-08-29,8.92,9.079,8.75,8.95,118622,0.07,0.79
2014-09-02,8.99,8.99,8.6,8.7,118384,-0.25,-2.79
2014-09-03,8.63,8.83,8.51,8.56,132051,-0.14,-1.61
2014-09-04,8.5,8.6,8.35,8.5,312185,-0.06,-0.7
2014-09-05,8.52,8.715,8.5,8.63,153585,0.13,1.53
2014-09-08,8.71,8.71,8.45,8.57,187490,-0.06,-0.7
2014-09-09,8.55,8.63,8.5,8.5,129885,-0.07,-0.82
2014-09-10,8.49,8.75,8.4,8.71,127645,0.21,2.47
2014-09-11,8.86,9.06,8.65,8.74,158316,0.03,0.34
2014-09-12,8.74,8.74,8.52,8.53,53702,-0.21,-2.4
2014-09-15,8.59,8.75,8.54,8.58,68201,0.05,0.59
2014-09-16,8.58,8.59,8.36,8.46,109150,-0.12,-1.4
2014-09-17,8.5,8.72,8.4,8.45,62599,-0.01,-0.12
2014-09-18,8.5,8.508,8.0,8.06,264621,-0.39,-4.62
2014-09-19,8.04,8.19,7.7,7.85,406474,-0.21,-2.61
2014-09-22,7.98,8.06,7.75,7.8,192351,-0.05,-0.64
2014-09-23,7.87,8.4,7.8,8.17,155403,0.37,4.74
2014-09-24,8.3,8.74,8.2,8.54,132925,0.37,4.53
2014-09-25,8.6,8.88,8.09,8.29,149444,-0.25,-2.93
2014-09-26,8.28,8.76,8.16,8.74,125792,0.45,5.43
2014-09-29,8.72,8.74,8.48,8.58,180172,-0.16,-1.83
2014-09-30,8.6,8.72,8.5,8.5,745196,-0.08,-0.93
2014-10-01,8.52,8.6,7.75,8.1,242454,-0.4,-4.71
2014-10-02,8.15,8.28,8.0,8.08,119579,-0.02,-0.25
2014-10-03,8.16,8.3,8.02,8.05,36709,-0.03,-0.37
2014-10-06,8.04,8.079,7.53,7.65,125962,-0.4,-4.97
2014-10-07,7.64,7.64,7.4,7.51,66073,-0.14,-1.83
2014-10-08,7.5,7.56,7.378,7.43,114430,-0.08,-1.07
2014-10-09,7.4,7.48,7.32,7.37,50068,-0.06,-0.81
2014-10-10,7.31,7.405,6.75,6.79,430676,-0.58,-7.87
2014-10-13,6.81,7.0,6.81,6.85,66280,0.06,0.88
2014-10-14,6.93,7.05,6.83,6.9,73910,0.05,0.73
2014-10-15,6.76,6.91,6.75,6.82,100283,-0.08,-1.16
2014-10-16,6.74,7.13,6.72,6.97,235843,0.15,2.2
2014-10-17,7.07,7.2,6.96,6.99,107436,0.02,0.29
2014-10-20,7.01,7.06,6.95,7.02,83863,0.03,0.43
2014-10-21,7.07,7.12,6.99,7.1,385579,0.08,1.14
2014-10-22,7.12,7.37,7.08,7.19,65037,0.09,1.27
2014-10-23,7.14,7.17,6.85,6.9,82003,-0.29,-4.03
2014-10-24,6.9,7.11,6.9,7.05,41218,0.15,2.17
2014-10-27,6.99,7.275,6.96,7.09,57763,0.04,0.57
2014-10-28,7.03,7.21,6.917,7.18,37244,0.09,1.27
2014-10-29,7.21,7.25,6.89,7.1,45813,-0.08,-1.11
2014-10-30,7.1,7.11,6.93,7.01,75619,-0.09,-1.27
2014-10-31,6.39,6.774,6.15,6.66,288981,-0.35,-4.99
2014-11-03,6.65,6.9,6.53,6.66,103774,0.0,0.0
2014-11-04,6.75,6.9,6.52,6.58,87368,-0.08,-1.2
