日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2016-09-21,2.875,3.04,2.78,3.01,6343768,1.21,67.22
2016-09-22,3.1,3.17,2.841,2.89,2272804,-0.1201,-3.99
2016-09-23,2.885,2.89,2.684,2.766,1058708,-0.124,-4.29
2016-09-26,2.71,2.842,2.7,2.777,306080,0.0111,0.4
2016-09-27,2.833,3.0848,2.734,2.998,1015766,0.221,7.96
2016-09-28,3.073,3.34,3.002,3.339,2056476,0.3409,11.37
2016-09-29,3.26,3.3195,2.88,2.899,1703342,-0.4401,-13.18
2016-09-30,2.935,3.095,2.919,2.921,949302,0.022,0.76
2016-10-03,2.912,2.9317,2.619,2.638,1080413,-0.283,-9.69
2016-10-04,2.639,2.725,2.363,2.383,1338126,-0.2551,-9.67
2016-10-05,2.442,2.52,2.35,2.478,963448,0.0951,3.99
2016-10-06,2.512,2.694,2.4613,2.608,855796,0.1301,5.25
2016-10-07,2.528,2.649,2.502,2.626,448552,0.018,0.69
2016-10-10,2.577,2.637,2.5101,2.528,364534,-0.0979,-3.73
2016-10-11,2.506,2.5925,2.35,2.552,539425,0.024,0.95
2016-10-12,2.532,2.696,2.532,2.69,332247,0.1381,5.41
2016-10-13,2.64,2.673,2.55,2.597,245656,-0.0931,-3.46
2016-10-14,2.611,2.724,2.605,2.636,222913,0.039,1.5
2016-10-17,2.702,2.725,2.614,2.627,337580,-0.009,-0.34
2016-10-18,2.627,2.6508,2.581,2.588,171606,-0.0389,-1.48
2016-10-19,2.575,2.622,2.5251,2.546,111748,-0.0419,-1.62
2016-10-20,2.51,2.666,2.505,2.649,104106,0.1031,4.05
2016-10-21,2.651,2.75,2.624,2.748,235937,0.0991,3.74
2016-10-24,2.738,2.87,2.705,2.852,273145,0.1039,3.78
2016-10-25,2.861,2.947,2.8568,2.88,280540,0.028,0.98
2016-10-26,2.895,2.909,2.789,2.818,182483,-0.0619,-2.15
2016-10-27,2.816,2.8597,2.544,2.552,367647,-0.266,-9.44
2016-10-28,2.575,2.6755,2.55,2.561,168531,0.0089,0.35
2016-10-31,2.601,2.601,2.417,2.518,176465,-0.043,-1.68
2016-11-01,2.544,2.57,2.5,2.524,88910,0.006,0.24
2016-11-02,2.502,2.6,2.42,2.443,182532,-0.081,-3.21
2016-11-03,2.426,2.4512,2.201,2.29,402233,-0.1529,-6.26
2016-11-04,2.293,2.4189,2.279,2.387,153741,0.0971,4.24
2016-11-07,2.416,2.434,2.2275,2.29,206824,-0.0969,-4.06
2016-11-08,2.426,2.43,2.255,2.28,577393,-0.0101,-0.44
2016-11-09,2.215,2.35,2.2,2.295,557268,0.015,0.66
2016-11-10,2.39,2.434,2.3185,2.343,562211,0.048,2.09
2016-11-11,2.501,2.649,2.402,2.545,1126418,0.202,8.62
2016-11-14,2.557,2.735,2.55,2.577,695161,0.0321,1.26
2016-11-15,2.584,2.612,2.503,2.525,544098,-0.0521,-2.02
2016-11-16,2.5,2.597,2.48,2.536,468557,0.0111,0.44
2016-11-17,2.557,2.646,2.541,2.593,608123,0.0571,2.25
2016-11-18,2.597,2.925,2.597,2.91,825895,0.3171,12.23
2016-11-21,2.886,3.048,2.8,2.933,748259,0.023,0.79
2016-11-22,2.94,2.96,2.832,2.873,383255,-0.0601,-2.05
2016-11-23,2.871,3.05,2.819,3.019,527469,0.146,5.08
2016-11-25,2.999,3.048,2.866,2.908,257555,-0.1111,-3.68
2016-11-28,2.928,2.928,2.571,2.67,905661,-0.2379,-8.18
2016-11-29,2.665,2.778,2.55,2.712,460269,0.0419,1.57
2016-11-30,2.694,2.7838,2.5815,2.647,313733,-0.0537,-1.99
2016-12-01,2.64,2.7,2.548,2.608,486177,-0.05,-1.88
2016-12-02,2.587,2.648,2.562,2.62,305498,0.012,0.46
2016-12-05,2.62,2.721,2.6091,2.662,279537,0.0419,1.6
2016-12-06,2.661,2.841,2.608,2.81,503285,0.148,5.56
2016-12-07,2.812,2.8525,2.746,2.758,208217,-0.052,-1.85
2016-12-08,2.753,2.8639,2.7,2.741,166374,-0.0171,-0.62
2016-12-09,2.756,2.843,2.706,2.747,362483,0.006,0.22
2016-12-12,2.864,2.955,2.81,2.936,497813,0.189,6.88
