日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-04-09,9.9,10.15,9.85,9.85,5802,0.0,0.0
2021-04-12,9.75,9.9,9.74,9.8,12400,-0.05,-0.5076
2021-04-14,9.8,9.94,9.8,9.93,21073,0.13,1.3265
2021-04-16,9.81,9.88,9.8,9.88,8740,-0.05,-0.5035
2021-04-19,9.81,9.81,9.81,9.81,2604,-0.07,-0.7085
2021-04-21,9.76,9.76,9.76,9.76,1949,-0.05,-0.5097
2021-04-22,9.75,9.76,9.75,9.76,1449,0.0,0.0
2021-04-23,9.76,9.76,9.76,9.76,827,0.0,0.0
2021-04-26,9.76,9.76,9.76,9.76,100,0.0,0.0
2021-04-27,9.76,9.76,9.74,9.76,151781,0.0,0.0
2021-04-28,9.67,9.77,9.67,9.72,158326,-0.04,-0.4098
2021-04-29,9.78,9.78,9.72,9.78,413639,0.06,0.6173
2021-04-30,9.78,9.78,9.77,9.78,1146,0.0,0.0
2021-05-04,9.76,9.76,9.76,9.76,100,-0.02,-0.2045
2021-05-05,9.77,9.77,9.73,9.73,351167,-0.03,-0.3074
2021-05-07,9.7302,9.7302,9.7302,9.7302,201,0.0002,0.0021
2021-05-10,9.77,9.77,9.77,9.77,111,0.0398,0.409
2021-05-12,9.74,9.74,9.73,9.73,2902,-0.04,-0.4094
2021-05-13,9.73,9.73,9.73,9.73,219,0.0,0.0
2021-05-17,9.73,9.73,9.73,9.73,2300,0.0,0.0
2021-05-18,9.74,9.74,9.74,9.74,210,0.01,0.1028
2021-05-19,9.61,9.77,9.6,9.6884,10910,-0.0516,-0.5298
2021-05-20,9.68,9.74,9.68,9.74,1788,0.0516,0.5326
2021-05-21,9.67,9.77,9.67,9.75,1988,0.01,0.1027
2021-05-24,9.635,9.77,9.635,9.77,481,0.02,0.2051
2021-05-25,9.67,9.76,9.66,9.76,11226,-0.01,-0.1024
2021-05-26,9.7325,9.7325,9.65,9.66,10126,-0.1,-1.0246
2021-05-27,9.67,9.74,9.64,9.74,10160,0.08,0.8282
2021-05-28,9.62,9.7,9.62,9.7,1011,-0.04,-0.4107
2021-06-01,9.75,9.75,9.65,9.65,19612,-0.05,-0.5155
2021-06-02,9.66,9.75,9.62,9.75,46663,0.1,1.0363
2021-06-04,9.74,9.74,9.74,9.74,200000,-0.01,-0.1
2021-06-08,9.71,9.74,9.71,9.74,1401,0.0,0.0
2021-06-09,9.75,9.75,9.64,9.71,21890,-0.03,-0.308
2021-06-10,9.73,9.73,9.7,9.73,4646,0.02,0.206
2021-06-11,9.74,9.75,9.72,9.75,15435,0.02,0.2055
2021-06-14,9.7,9.73,9.67,9.7,4042,-0.05,-0.5128
2021-06-15,9.7,9.705,9.7,9.705,794,0.005,0.0515
2021-06-16,9.72,9.75,9.7,9.74,3642,0.035,0.3606
2021-06-17,9.68,9.73,9.66,9.72,9545,-0.02,-0.2053
2021-06-18,9.72,9.72,9.67,9.72,3623,0.0,0.0
2021-06-21,9.715,9.72,9.695,9.72,5662,0.0,0.0
2021-06-22,9.67,9.76,9.67,9.76,502,0.04,0.4115
2021-06-23,9.76,9.76,9.71,9.72,5752,-0.04,-0.4098
2021-06-24,9.69,9.7,9.67,9.7,4073,-0.02,-0.2058
2021-06-25,9.7,9.7,9.66,9.66,3372,-0.04,-0.4124
2021-06-28,9.64,9.68,9.64,9.67,37949,0.01,0.1035
2021-06-29,9.68,9.68,9.64,9.65,22099,-0.02,-0.2068
2021-06-30,9.65,9.67,9.65,9.67,1380,0.02,0.2073
2021-07-01,9.63,9.68,9.63,9.67,2313,0.0,0.0
2021-07-02,9.63,9.68,9.63,9.68,4079,0.01,0.1034
2021-07-06,9.64,9.69,9.64,9.64,803,-0.04,-0.4132
2021-07-07,9.64,9.68,9.64,9.67,250945,0.03,0.3112
2021-07-08,9.67,9.71,9.67,9.71,8592,0.04,0.4137
2021-07-09,9.7,9.7,9.65,9.68,4001,-0.03,-0.309
2021-07-12,9.76,9.76,9.68,9.68,2959,0.0,0.0
2021-07-13,9.7,9.7,9.63,9.68,1243,0.0,0.0
2021-07-14,9.64,9.69,9.64,9.68,1337,0.0,0.0
2021-07-15,9.63,9.68,9.63,9.68,510722,0.0,0.0
2021-07-16,9.68,9.71,9.68,9.71,2900,0.03,0.3099
2021-07-19,9.69,9.71,9.63,9.66,34186,-0.05,-0.5149
2021-07-20,9.67,9.71,9.6484,9.65,110345,-0.01,-0.1035
2021-07-21,9.67,9.67,9.64,9.64,221,-0.01,-0.1036
2021-07-22,9.79,9.79,9.64,9.66,9438,0.02,0.2075
2021-07-23,9.67,9.67,9.64,9.65,455,-0.01,-0.1035
2021-07-26,9.64,9.64,9.64,9.64,100,-0.01,-0.1036
2021-07-27,9.65,9.75,9.64,9.75,11189,0.11,1.1411
2021-07-29,9.72,9.72,9.67,9.72,3898,-0.03,-0.3077
2021-08-02,9.71,9.71,9.71,9.71,633,-0.01,-0.1029
2021-08-03,9.71,9.71,9.71,9.71,1002,0.0,0.0
2021-08-04,9.71,9.71,9.71,9.71,935,0.0,0.0
2021-08-05,9.72,9.72,9.64,9.64,1858,-0.07,-0.7209
2021-08-06,9.64,9.67,9.64,9.64,1339,0.0,0.0
2021-08-09,9.65,9.65,9.63,9.63,2969,-0.01,-0.1037
2021-08-10,9.63,9.63,9.63,9.63,110,0.0,0.0
2021-08-11,9.63,9.65,9.63,9.63,402,0.0,0.0
2021-08-12,9.63,9.63,9.63,9.63,73,0.0,0.0
2021-08-13,9.67,9.67,9.67,9.67,191,0.04,0.4154
2021-08-16,9.63,9.63,9.63,9.63,100,-0.04,-0.4137
2021-08-19,9.68,9.72,9.67,9.72,1105,0.09,0.9346
2021-08-30,9.71,9.71,9.66,9.66,336,-0.06,-0.6173
2021-08-31,9.65,9.7,9.65,9.7,5009,0.04,0.4141
2021-09-01,9.67,9.69,9.645,9.68,51293,-0.02,-0.2062
2021-09-02,9.65,9.74,9.65,9.74,97210,0.06,0.6198
2021-09-03,9.75,9.75,9.705,9.72,25500,-0.02,-0.2053
2021-09-07,9.66,9.66,9.66,9.66,141,-0.06,-0.6173
2021-09-08,9.66,9.7,9.66,9.7,2656,0.04,0.4141
2021-09-09,9.66,9.66,9.66,9.66,100,-0.04,-0.4124
2021-09-13,9.68,9.68,9.68,9.68,531,0.02,0.207
2021-09-14,9.69,9.72,9.69,9.71,10918,0.03,0.3099
2021-09-15,9.72,9.72,9.71,9.72,66552,0.01,0.103
2021-09-16,9.69,9.75,9.69,9.75,7181,0.03,0.3086
2021-09-17,9.67,9.75,9.67,9.75,11529,0.0,0.0
2021-09-22,9.75,9.76,9.73,9.74,1548,-0.01,-0.1026
2021-09-23,9.73,9.73,9.72,9.73,108800,-0.01,-0.1027
2021-09-24,9.705,9.74,9.705,9.74,311,0.01,0.1028
2021-09-27,9.71,9.74,9.71,9.73,78706,-0.01,-0.1027
2021-09-28,9.73,9.73,9.73,9.73,156825,0.0,0.0
2021-09-29,9.72,9.75,9.7,9.7,25227,-0.03,-0.3083
2021-09-30,9.7,9.8,9.7,9.7,33423,0.0,0.0
2021-10-01,9.7,9.8,9.7,9.8,11306,0.1,1.0309
2021-10-04,9.8,9.8,9.75,9.78,12603,-0.02,-0.2041
2021-10-05,9.73,9.78,9.73,9.77,2101,-0.01,-0.1022
2021-10-07,9.75,9.76,9.72,9.76,16567,-0.01,-0.1
2021-10-12,9.74,9.77,9.73,9.77,154582,0.01,0.1025
2021-10-13,9.75,9.78,9.75,9.78,121663,0.01,0.1024
2021-10-14,9.78,9.78,9.76,9.78,229674,0.0,0.0
2021-10-15,9.78,9.78,9.78,9.78,230,0.0,0.0
2021-10-19,9.73,9.77,9.72,9.77,442676,-0.01,-0.1022
2021-10-20,9.73,9.77,9.73,9.75,12340,-0.02,-0.2047
2021-10-21,9.74,9.77,9.74,9.755,44600,0.005,0.0513
2021-10-22,9.74,9.75,9.73,9.74,2607,-0.015,-0.1538
2021-10-25,9.78,9.78,9.73,9.73,18487,-0.01,-0.1027
2021-10-26,9.74,9.77,9.74,9.74,17406,0.01,0.1028
2021-10-27,9.73,9.76,9.73,9.76,17900,0.02,0.2053
2021-10-28,9.73,9.74,9.73,9.74,1270,-0.02,-0.2049
2021-10-29,9.74,9.75,9.74,9.75,3989,0.01,0.1027
2021-11-01,9.75,9.76,9.75,9.76,55969,0.01,0.1026
2021-11-02,9.755,9.77,9.755,9.77,4201,0.01,0.1025
2021-11-03,9.73,9.77,9.73,9.76,1664,-0.01,-0.1024
2021-11-04,9.74,9.75,9.73,9.74,17407,-0.02,-0.2049
2021-11-08,9.78,9.78,9.745,9.76,2632,0.02,0.2053
2021-11-09,9.75,9.75,9.75,9.75,583,-0.01,-0.1025
2021-11-10,9.73,9.76,9.73,9.76,1332,0.01,0.1026
2021-11-11,9.76,9.76,9.76,9.76,63,0.0,0.0
2021-11-12,9.75,9.76,9.745,9.76,1993,0.0,0.0
2021-11-15,9.7581,9.76,9.75,9.75,4785,-0.01,-0.1025
2021-11-16,9.75,9.76,9.75,9.76,3579,0.01,0.1
2021-11-17,9.74,9.75,9.74,9.75,511980,-0.01,-0.1025
2021-11-18,9.73,9.76,9.73,9.76,108615,0.01,0.1026
