日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-05-18,13.49,18.15,13.49,15.2041,5497,0.0,0.0
2022-05-19,13.8,13.8,13.75,13.75,2327,-1.454,-9.56
2022-05-20,13.75,13.75,13.75,13.75,298,0.0,0.0
2022-05-23,13.75,13.75,13.75,13.75,312,0.0,0.0
2022-05-24,13.75,13.75,13.75,13.75,207,0.0,0.0
2022-05-25,13.75,13.75,13.75,13.75,237,0.0,0.0
2022-05-26,13.75,13.75,13.75,13.75,473,0.0,0.0
2022-05-27,13.75,13.75,13.75,13.75,273,0.0,0.0
2022-05-31,8.84,8.84,8.6,8.6,655,-5.15,-37.4545
2022-06-01,8.46,8.46,8.46,8.46,539,-0.14,-1.63
2022-06-02,7.7,7.89,7.7,7.89,672,-0.57,-6.7376
2022-06-03,8.19,8.19,8.08,8.08,486,0.19,2.4081
2022-06-06,8.11,8.11,8.11,8.11,361,0.03,0.3713
2022-06-07,8.11,8.11,8.11,8.11,10,0.0,0.0
2022-06-08,8.11,8.11,8.11,8.11,17,0.0,0.0
2022-06-09,8.3,8.7,8.3,8.7,724,0.59,7.27
2022-06-10,8.7,8.7,8.7,8.7,22,0.0,0.0
2022-06-13,7.7,7.7,7.7,7.7,177,-1.0,-11.49
2022-06-14,7.7,7.7,7.7,7.7,90,0.0,0.0
2022-06-15,7.7,7.7,7.7,7.7,71,0.0,0.0
2022-06-16,7.7,7.7,7.7,7.7,20,0.0,0.0
2022-06-17,6.0,6.84,6.0,6.83,893,-0.87,-11.3
2022-06-21,6.83,6.83,6.83,6.83,147,0.0,0.0
2022-06-22,6.83,6.83,6.83,6.83,76,0.0,0.0
2022-06-23,6.83,6.83,6.83,6.83,460,0.0,0.0
2022-06-24,6.83,6.83,6.83,6.83,368,0.0,0.0
2022-06-27,6.29,6.3,6.195,6.195,1269,-0.635,-9.3
2022-06-28,6.1499,6.2999,6.138,6.15,1837,-0.045,-0.73
2022-06-29,6.3,6.3,6.2999,6.2999,1519,0.15,2.44
