日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2016-09-28,76.7777,313.9514,66.2466,259.946,24473,219.4421,541.78
2016-09-29,303.0603,303.0603,144.5545,147.4707,19392,-112.4812,-43.27
2016-09-30,137.3537,140.5401,90.009,100.7201,116039,-46.7471,-31.7
2016-10-03,99.0099,99.0099,81.0081,82.1782,29657,-18.5427,-18.41
2016-10-04,82.1782,82.1782,63.1863,63.7264,114230,-18.4482,-22.45
2016-10-05,63.0063,67.5068,55.3555,55.8056,64961,-7.9212,-12.43
2016-10-06,58.1458,66.4896,53.9154,59.586,93890,3.7782,6.77
2016-10-07,62.1962,67.4167,56.2556,57.1557,84851,-2.4311,-4.08
2016-10-10,54.2754,57.8758,47.6328,51.7552,50271,-5.4013,-9.45
2016-10-11,51.8452,54.9055,48.5149,48.6049,60683,-3.152,-6.09
2016-10-12,46.8947,53.4203,46.3546,47.0747,37946,-1.5311,-3.15
2016-10-13,49.0549,49.865,45.0045,45.4545,28647,-1.6193,-3.44
2016-10-14,48.9829,48.9829,45.2745,47.0747,40412,1.6182,3.56
2016-10-17,51.1251,51.3051,46.4986,48.5149,43962,1.4405,3.06
2016-10-18,51.3051,51.7552,45.9946,49.4149,42543,0.9023,1.86
2016-10-19,47.1647,50.405,47.1647,50.405,28081,0.9883,2.0
2016-10-20,50.153,50.468,47.7048,49.685,30912,-0.7208,-1.43
2016-10-21,50.405,50.405,47.7048,48.6049,36272,-1.0781,-2.17
2016-10-24,49.0549,49.955,47.3447,48.6049,41010,0.0,0.0
2016-10-25,47.7048,48.6049,46.2646,47.7048,65772,-0.8992,-1.85
2016-10-26,47.5248,51.3051,45.0045,46.6247,75600,-1.0781,-2.26
2016-10-27,47.0747,47.9838,45.0045,45.0045,29526,-1.6178,-3.47
2016-10-28,45.0045,46.3546,43.2043,44.1044,10864,-0.9001,-2.0
2016-10-31,43.0243,45.2565,40.5941,41.4041,42526,-2.6991,-6.12
2016-11-01,42.4842,43.6544,38.4338,38.7039,50082,-2.6995,-6.52
2016-11-02,38.3438,39.694,30.5131,32.1332,26607,-6.5722,-16.98
