日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-04,2.2936,2.2936,2.2936,2.2936,2487,0.0,0.0
1995-01-05,2.2936,2.2936,2.2936,2.2936,450,0.0,0.0
1995-01-09,2.2908,2.2936,2.1927,2.1927,5424,-0.1009,-4.4
1995-01-10,2.417,2.417,2.417,2.417,902,0.2243,10.23
1995-01-13,2.2319,2.2319,2.2319,2.2319,224,-0.1851,-7.66
1995-01-17,2.4815,2.4815,2.4815,2.4815,450,0.2495,11.18
1995-01-18,2.4815,2.4815,2.4815,2.4815,450,0.0,0.0
1995-01-25,2.2908,2.2936,2.2319,2.2319,1809,-0.2496,-10.06
1995-01-26,2.2319,2.2936,2.2319,2.2319,0,0.0,0.0
1995-01-27,2.2319,2.2936,2.2319,2.2319,0,0.0,0.0
1995-01-30,2.2319,2.2936,2.2319,2.2319,0,0.0,0.0
1995-01-31,2.2319,2.2936,2.2319,2.2319,0,0.0,0.0
1995-02-01,2.2319,2.2936,2.2319,2.2319,0,0.0,0.0
1995-02-02,2.4787,2.4815,2.3553,2.3553,676,0.1234,5.53
1995-02-03,2.3553,2.4815,2.3553,2.3553,0,0.0,0.0
1995-02-06,2.3553,2.4815,2.3553,2.3553,0,0.0,0.0
1995-02-07,2.3553,2.4815,2.3553,2.3553,0,0.0,0.0
1995-02-08,2.4815,2.4815,2.4815,2.4815,450,0.1262,5.36
1995-02-14,2.1085,2.1085,2.1085,2.1085,2711,-0.373,-15.03
1995-02-15,2.1085,2.1085,2.1085,2.1085,224,0.0,0.0
1995-02-17,2.3553,2.3553,2.3553,2.3553,224,0.2467,11.7
1995-02-24,2.3553,2.5431,2.3553,2.5431,3618,0.1879,7.98
1995-02-27,2.3553,2.3553,2.3553,2.3553,450,-0.1879,-7.39
1995-02-28,2.3525,2.3553,2.1085,2.1085,2711,-0.2468,-10.48
1995-03-01,2.1085,2.1085,2.1085,2.1085,450,0.0,0.0
1995-03-13,2.1085,2.1085,2.1085,2.1085,450,0.0,0.0
1995-03-14,2.1085,2.1085,2.1085,2.1085,450,0.0,0.0
1995-03-15,2.3553,2.3553,2.3553,2.3553,1128,0.2467,11.7
1995-03-16,2.3553,2.3553,2.3553,2.3553,1128,0.0,0.0
1995-03-20,2.1085,2.1085,2.1085,2.1085,450,-0.2468,-10.48
1995-03-21,2.1085,2.1085,2.1085,2.1085,450,0.0,0.0
1995-03-26,2.1085,2.1085,2.1085,2.1085,2711,0.0,0.0
1995-03-27,2.3553,2.3553,2.3553,2.3553,676,0.2467,11.7
1995-03-28,2.417,2.417,2.2319,2.2319,450,-0.1234,-5.24
1995-03-29,2.2319,2.417,2.2319,2.2319,0,0.0,0.0
1995-03-30,2.2319,2.417,2.2319,2.2319,0,0.0,0.0
1995-03-31,2.2319,2.417,2.2319,2.2319,0,0.0,0.0
1995-04-03,2.2319,2.417,2.2319,2.2319,0,0.0,0.0
1995-04-04,2.2319,2.417,2.2319,2.2319,0,0.0,0.0
1995-04-05,2.2319,2.417,2.2319,2.2319,0,0.0,0.0
1995-04-06,2.417,2.417,2.417,2.417,450,0.185,8.29
1995-04-10,2.0469,2.2459,2.0469,2.2459,1128,-0.1711,-7.08
1995-04-11,2.2459,2.2459,2.0469,2.2459,0,0.0,0.0
1995-04-12,2.3525,2.3553,1.9852,1.9852,3389,-0.2608,-11.61
1995-04-13,1.9852,2.3553,1.9852,1.9852,0,0.0,0.0
1995-04-17,2.0132,2.016,1.9852,1.9852,2261,0.0,0.0
1995-04-18,2.0132,2.1562,1.9852,1.9852,8587,0.0,0.0
1995-04-19,2.016,2.016,2.016,2.016,902,0.0308,1.55
1995-04-21,2.0132,2.016,1.9235,1.9235,2487,-0.0925,-4.59
1995-04-24,2.016,2.1085,2.016,2.1085,676,0.185,9.62
