日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-12-16,26.0,30.01,22.61,29.47,13459751,9.47,47.35
2020-12-17,28.6431,39.85,28.25,35.77,7042150,6.3,21.38
2020-12-18,38.02,48.66,37.06,44.09,7266463,8.32,23.26
2020-12-21,44.0,47.99,40.0,41.1,2833826,-2.99,-6.78
2020-12-22,43.1,48.08,40.65,47.84,3731347,6.74,16.4
2020-12-23,47.5,51.3984,43.02,46.32,3142408,-1.52,-3.18
2020-12-24,46.59,47.47,42.5051,43.96,873425,-2.36,-5.09
2020-12-28,44.31,45.0,38.05,42.63,1882237,-1.33,-3.03
2020-12-29,42.04,42.49,39.51,40.75,646398,-1.88,-4.41
2020-12-30,41.2,41.5,38.1101,38.87,1049533,-1.88,-4.61
2020-12-31,38.2,40.95,36.26,40.75,969034,1.88,4.84
2021-01-04,40.34,45.0,38.05,43.99,1347052,3.24,7.95
2021-01-05,45.1,53.63,44.2001,48.37,3590669,4.38,9.96
2021-01-06,47.05,57.0,45.14,52.14,2903194,3.77,7.79
2021-01-07,55.99,61.26,55.04,55.39,1518920,3.25,6.23
2021-01-08,58.0,58.0,50.28,52.73,1407739,-2.66,-4.8
2021-01-11,51.0,56.0,50.53,54.71,1338175,1.98,3.75
2021-01-12,56.11,63.5,55.53,62.48,1830985,7.77,14.2
2021-01-13,60.61,69.48,57.7,57.88,1785613,-4.6,-7.36
2021-01-14,60.92,67.4297,59.49,60.64,1288652,2.76,4.77
2021-01-15,60.64,62.6,55.6,56.0,1409538,-4.64,-7.65
2021-01-19,58.13,61.63,53.0,54.28,1872415,-1.72,-3.07
2021-01-20,54.51,56.22,53.25,55.22,935527,0.94,1.7318
2021-01-21,55.05,65.29,55.05,63.77,1702374,8.55,15.48
2021-01-22,62.4,64.88,58.53,64.47,1241616,0.7,1.0977
2021-01-25,65.0,72.67,64.01,67.36,1781029,2.89,4.48
2021-01-26,67.71,68.69,63.3,64.45,1506598,-2.91,-4.32
2021-01-27,60.07,70.8,58.0,64.7,1398431,0.25,0.39
2021-01-28,64.54,67.4125,63.52,65.15,617802,0.45,0.7
