日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-04-28,3.35,3.35,2.95,3.2425,281762,0.23,7.63
2021-04-29,3.451,3.451,3.25,3.29,239167,0.047,1.45
2021-04-30,3.38,3.578,3.3,3.52,413203,0.23,6.99
2021-05-03,3.75,3.81,3.4572,3.76,671922,0.24,6.82
2021-05-04,3.73,3.77,3.54,3.69,319420,-0.07,-1.86
2021-05-05,3.36,3.59,3.33,3.48,558917,-0.21,-5.69
2021-05-06,3.48,3.53,3.4,3.51,390179,0.03,0.86
2021-05-07,3.59,3.7,3.37,3.52,382738,0.01,0.28
2021-05-10,3.55,3.6,3.4,3.46,382358,-0.06,-1.7
2021-05-11,3.36,3.413,3.328,3.35,211938,-0.11,-3.18
2021-05-12,3.33,3.35,3.01,3.18,288616,-0.17,-5.07
2021-05-13,3.13,3.17,3.07,3.13,118241,-0.05,-1.57
2021-05-14,3.37,3.37,3.1751,3.35,206531,0.22,7.03
2021-05-17,3.32,3.41,3.24,3.29,244074,-0.06,-1.79
2021-05-18,3.41,3.41,3.23,3.27,184490,-0.02,-0.61
2021-05-19,3.26,3.26,3.06,3.2101,191737,-0.06,-1.83
2021-05-20,3.22,3.2483,3.16,3.21,122737,0.0,0.0
2021-05-21,3.27,3.28,3.16,3.19,79071,-0.02,-0.62
2021-05-24,3.17,3.19,2.89,3.12,541864,-0.07,-2.19
2021-05-25,3.13,3.18,2.9,2.92,304641,-0.2,-6.41
2021-05-26,2.92,2.94,2.78,2.81,382974,-0.11,-3.77
2021-05-27,2.86,2.9599,2.85,2.9,296829,0.09,3.2
2021-05-28,3.04,3.15,2.87,2.93,238130,0.03,1.0345
2021-06-01,3.0,3.0999,2.96,3.03,338965,0.1,3.41
2021-06-02,3.08,3.1411,3.01,3.1,224600,0.07,2.31
2021-06-03,3.08,3.09,2.96,3.06,159415,-0.04,-1.29
2021-06-04,3.08,3.08,2.91,2.99,222124,-0.07,-2.29
2021-06-07,2.96,2.98,2.9,2.92,278699,-0.07,-2.34
2021-06-08,2.9,2.93,2.57,2.78,677382,-0.14,-4.79
2021-06-09,2.8,2.9,2.8,2.81,253577,0.03,1.08
2021-06-10,2.84,2.8925,2.7501,2.77,160883,-0.04,-1.42
2021-06-11,2.74,2.79,2.71,2.71,211712,-0.06,-2.17
2021-06-14,2.7,2.761,2.58,2.59,295357,-0.12,-4.43
2021-06-15,2.61,2.6799,2.4613,2.52,232896,-0.07,-2.7
2021-06-16,2.52,2.55,2.45,2.51,306406,-0.01,-0.4
2021-06-17,2.5,2.54,2.4,2.4038,286667,-0.106,-4.22
2021-06-18,2.42,2.4267,2.25,2.41,308646,0.006,0.25
2021-06-21,2.44,2.6244,2.43,2.56,406026,0.15,6.22
2021-06-22,2.56,2.75,2.56,2.64,316224,0.08,3.13
2021-06-23,2.71,2.71,2.4451,2.46,360993,-0.18,-6.82
2021-06-24,2.46,2.5,2.4,2.43,135350,-0.03,-1.22
2021-06-25,2.47,2.48,2.4,2.43,225792,0.0,0.0
2021-06-28,2.44,2.45,2.3202,2.3357,265926,-0.094,-3.87
2021-06-29,2.35,2.555,2.31,2.5,299364,0.164,7.02
2021-06-30,2.54,3.03,2.45,3.0,489612,0.5,20.0
2021-07-01,3.06,3.1,2.91,3.0,226726,0.0,0.0
2021-07-02,2.95,3.0,2.74,2.84,283628,-0.16,-5.33
2021-07-06,2.74,2.85,2.57,2.61,224835,-0.23,-8.1
2021-07-07,2.61,2.61,2.42,2.48,177089,-0.13,-4.98
2021-07-08,2.51,2.5257,2.4,2.44,246835,-0.04,-1.61
2021-07-09,2.47,2.77,2.47,2.68,205735,0.24,9.8361
2021-07-12,2.69,2.73,2.6223,2.71,179701,0.03,1.12
2021-07-13,2.72,2.72,2.57,2.63,128928,-0.08,-2.95
2021-07-14,2.65,2.6864,2.53,2.53,116416,-0.1,-3.8
2021-07-15,2.54,2.6176,2.45,2.56,132300,0.03,1.19
2021-07-16,2.6,2.62,2.38,2.43,241285,-0.13,-5.08
2021-07-19,2.35,2.37,2.3,2.32,222427,-0.11,-4.53
2021-07-20,2.34,2.44,2.32,2.44,151230,0.12,5.17
2021-07-21,2.45,2.72,2.45,2.72,126505,0.28,11.4754
2021-07-22,2.72,2.86,2.59,2.85,127158,0.13,4.78
2021-07-23,2.85,2.9,2.76,2.87,106902,0.02,0.7
2021-07-26,2.85,2.9299,2.74,2.9,119085,0.03,1.05
2021-07-27,2.91,2.9299,2.7635,2.88,63825,-0.02,-0.69
2021-07-28,2.85,2.92,2.795,2.9,86187,0.02,0.69
2021-07-29,2.91,2.92,2.79,2.79,79319,-0.11,-3.79
2021-07-30,2.78,2.98,2.74,2.93,128224,0.14,5.02
2021-08-02,2.92,2.95,2.8402,2.93,45808,0.0,0.0
2021-08-03,2.99,3.0,2.76,2.8,137687,-0.13,-4.44
2021-08-04,2.8,2.87,2.6534,2.6701,75017,-0.1299,-4.6393
2021-08-05,2.68,2.792,2.65,2.65,55909,-0.02,-0.75
2021-08-06,2.7,2.7,2.6,2.61,74786,-0.04,-1.51
2021-08-09,2.62,2.65,2.5,2.51,113374,-0.1,-3.83
2021-08-10,2.55,2.61,2.51,2.57,68827,0.06,2.39
2021-08-11,2.61,2.68,2.61,2.67,120432,0.1,3.89
2021-08-12,2.7,2.7,2.54,2.59,86864,-0.08,-2.9963
2021-08-13,2.6,2.6,2.5,2.5128,83528,-0.0772,-2.9807
2021-08-16,2.52,2.55,2.41,2.45,104518,-0.063,-2.51
2021-08-17,2.46,2.53,2.42,2.5,113491,0.05,2.04
2021-08-18,2.49,2.609,2.47,2.59,65088,0.09,3.6
2021-08-19,2.55,2.6092,2.35,2.39,172872,-0.2,-7.72
2021-08-20,2.42,2.44,2.31,2.35,214876,-0.04,-1.67
2021-08-23,2.41,2.49,2.41,2.41,153686,0.06,2.5532
2021-08-24,2.45,2.5,2.41,2.5,110039,0.09,3.73
2021-08-25,2.51,2.56,2.43,2.56,102891,0.06,2.4
2021-08-26,2.56,2.56,2.4,2.43,116948,-0.13,-5.08
2021-08-27,2.43,2.57,2.41,2.49,112542,0.06,2.4691
2021-08-30,2.55,2.8399,2.52,2.77,310624,0.28,11.24
2021-08-31,2.79,2.88,2.7576,2.88,160804,0.11,3.97
2021-09-01,2.87,2.97,2.82,2.92,144053,0.04,1.39
2021-09-02,2.98,3.29,2.92,3.25,768100,0.33,11.3
2021-09-03,3.3,3.3,3.12,3.2,438005,-0.05,-1.54
2021-09-07,3.2,3.25,3.06,3.13,496985,-0.07,-2.19
2021-09-08,3.15,3.27,3.0281,3.25,395736,0.12,3.83
2021-09-09,3.25,3.26,3.1,3.17,289196,-0.08,-2.46
2021-09-10,3.2472,3.5599,3.2,3.5,836187,0.33,10.41
2021-09-13,3.9,4.6599,3.85,4.35,5271963,0.85,24.2857
2021-09-14,4.33,4.58,3.87,4.3,1962117,-0.05,-1.1494
2021-09-15,4.5465,5.39,4.45,5.39,5932951,1.09,25.35
2021-09-16,5.48,5.6,5.0,5.32,3805486,-0.07,-1.3
2021-09-17,5.25,5.32,4.51,4.6,2422540,-0.72,-13.53
2021-09-20,4.15,4.26,3.89,4.11,2081279,-0.49,-10.65
2021-09-21,4.4743,4.82,4.29,4.36,1528197,0.25,6.0827
2021-09-22,4.78,4.78,4.23,4.25,930004,-0.11,-2.52
2021-09-23,4.3,4.3299,4.0,4.15,1447522,-0.1,-2.35
2021-09-24,3.94,4.08,3.73,3.88,1075415,-0.27,-6.51
2021-09-27,3.92,4.4,3.79,4.33,1017029,0.45,11.5979
2021-09-28,4.45,4.46,3.91,4.29,1087245,-0.04,-0.92
2021-09-29,4.33,4.33,3.8,3.85,964464,-0.44,-10.26
2021-09-30,3.9,4.16,3.56,3.61,1190154,-0.24,-6.23
2021-10-01,3.71,3.95,3.61,3.94,882473,0.33,9.14
2021-10-04,4.0,4.43,3.94,4.07,1079295,0.13,3.3
