日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-10-22,9.66,9.91,7.6,9.0,3596531,-3.0,-25.0
2021-10-25,8.2,9.66,8.02,9.35,509839,0.35,3.89
2021-10-26,9.17,10.37,8.825,9.14,348495,-0.21,-2.246
2021-10-27,8.84,9.42,8.84,9.0,92365,-0.14,-1.53
2021-10-28,9.11,9.45,8.89,8.93,333881,-0.07,-0.7778
2021-10-29,9.0,9.698,9.0,9.36,125134,0.43,4.8152
2021-11-01,9.21,9.54,8.96,9.27,155525,-0.09,-0.96
2021-11-02,9.37,9.4368,9.021,9.24,157668,-0.03,-0.3236
2021-11-03,9.24,9.54,9.06,9.1,204738,-0.14,-1.5152
2021-11-04,9.1,9.73,8.94,9.13,304827,0.03,0.3297
2021-11-05,9.08,9.3,8.92,9.08,157285,-0.05,-0.5476
2021-11-08,9.03,9.2,8.545,9.09,153631,0.01,0.1101
2021-11-09,9.03,9.93,8.95,9.68,143687,0.59,6.49
2021-11-10,9.59,10.14,9.41,9.78,150773,0.1,1.0331
2021-11-11,9.58,10.02,9.47,9.67,109946,-0.11,-1.1247
2021-11-12,9.56,9.92,8.9875,9.68,79218,0.01,0.1034
2021-11-15,9.83,9.83,9.2612,9.62,146671,-0.06,-0.6198
2021-11-16,9.62,9.99,9.3507,9.5,135754,-0.12,-1.2474
2021-11-17,9.49,9.99,9.27,9.49,96049,-0.01,-0.1053
2021-11-18,9.31,9.6,8.515,8.71,164590,-0.78,-8.2192
2021-11-19,8.45,8.9,8.1,8.25,216175,-0.46,-5.28
2021-11-22,8.39,8.5,7.26,7.55,133363,-0.7,-8.4848
2021-11-23,7.5,7.5892,6.13,7.03,238342,-0.52,-6.8874
2021-11-24,7.11,7.2,6.37,6.89,118762,-0.14,-1.9915
2021-11-26,6.89,6.98,6.4,6.61,83402,-0.28,-4.0639
2021-11-29,6.69,6.97,6.1,6.4,122273,-0.21,-3.177
2021-11-30,6.34,6.65,6.17,6.39,60747,-0.01,-0.1563
2021-12-01,6.52,6.67,5.91,6.0,180425,-0.39,-6.1033
2021-12-02,6.0,6.0,5.271,5.8,108818,-0.2,-3.33
2021-12-03,5.9,6.3197,4.682,5.86,178031,0.06,1.0345
