日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2002-03-21,0.7066,0.7423,0.7011,0.7423,8915900,-0.0238,-3.11
2002-03-22,0.7355,0.7355,0.7129,0.719,3687300,0.0,0.0
2002-03-25,0.7162,0.7217,0.7148,0.719,619100,0.0192,2.75
2002-03-26,0.719,0.7382,0.719,0.7379,383700,0.0098,1.34
2002-03-27,0.741,0.7629,0.7368,0.7492,1160700,0.0033,0.44
2002-03-28,0.7423,0.7533,0.7355,0.753,508200,0.0,0.0
2002-04-01,0.7533,0.7555,0.7355,0.7492,227300,-0.0067,-0.88
2002-04-02,0.7492,0.7558,0.7423,0.7423,345400,-0.01,-1.33
2002-04-03,0.7423,0.7437,0.7165,0.7313,702500,0.0161,2.25
2002-04-04,0.7286,0.7478,0.7286,0.7478,190400,0.0129,1.76
2002-04-05,0.7451,0.7684,0.7437,0.7618,461100,0.0,0.0
2002-04-08,0.7478,0.7602,0.7473,0.7588,368200,-0.0033,-0.43
2002-04-09,0.7698,0.7698,0.7588,0.7671,242100,0.0066,0.87
2002-04-10,0.7671,0.7786,0.7616,0.7783,252300,0.0132,1.72
2002-04-11,0.7808,0.7808,0.7698,0.7761,485100,-0.0033,-0.42
2002-04-12,0.7698,0.7808,0.7657,0.7781,442400,0.0033,0.43
2002-04-15,0.7808,0.7822,0.7698,0.7726,183200,-0.0066,-0.85
2002-04-16,0.7698,0.7836,0.7698,0.7825,333200,0.0099,1.28
2002-04-17,0.7825,0.7825,0.7781,0.7789,308700,-0.0033,-0.42
2002-04-18,0.7808,0.7808,0.761,0.7657,312600,-0.0132,-1.69
2002-04-19,0.7684,0.7684,0.7561,0.7588,294300,-0.0066,-0.86
2002-04-22,0.7629,0.7822,0.7588,0.7781,743500,0.0198,2.61
2002-04-23,0.7781,0.7781,0.7726,0.7742,1032200,-0.0033,-0.42
2002-04-24,0.7726,0.78,0.7698,0.7698,583200,-0.0066,-0.85
2002-04-25,0.7671,0.7671,0.7478,0.7519,269900,-0.0165,-2.15
2002-04-26,0.7517,0.7517,0.7437,0.7492,666200,-0.0033,-0.44
2002-04-29,0.7451,0.7533,0.7451,0.7492,316900,0.0,0.0
2002-04-30,0.7478,0.753,0.7451,0.7503,384700,0.0,0.0
2002-05-01,0.7478,0.7629,0.7464,0.7629,458800,0.0132,1.76
2002-05-02,0.7629,0.7629,0.7423,0.7423,593500,-0.0198,-2.6
2002-05-03,0.7423,0.7506,0.7423,0.7423,474200,0.0,0.0
2002-05-06,0.7423,0.7616,0.7423,0.7561,407100,0.0132,1.78
2002-05-07,0.7588,0.7588,0.7459,0.747,908800,-0.0099,-1.31
2002-05-08,0.7492,0.7616,0.7492,0.7588,312300,0.0132,1.77
2002-05-09,0.7616,0.7665,0.7519,0.7519,248200,-0.0066,-0.87
