日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2010-01-04,12.2468,12.3903,12.0745,12.3903,2119,0.383,3.19
2010-01-05,12.175,12.8447,12.175,12.7634,3185,0.373,3.01
2010-01-06,12.6677,13.1079,12.5194,12.8974,4326,0.134,1.05
2010-01-07,12.6343,13.3471,12.5936,13.2897,5558,0.3921,3.04
2010-01-08,13.1079,13.5241,13.1079,13.4427,2740,0.1528,1.15
2010-01-11,13.1748,13.3471,13.127,13.3231,2831,-0.1196,-0.89
2010-01-12,13.0887,13.4906,13.0887,13.2753,10652,-0.048,-0.36
2010-01-13,13.4667,13.6245,13.3566,13.4188,8646,0.1434,1.08
2010-01-14,13.3423,13.3853,13.2035,13.2705,6788,-0.149,-1.11
2010-01-15,13.3375,13.3949,13.1557,13.1557,6326,-0.1155,-0.87
2010-01-19,13.3303,13.3303,12.5147,12.6677,9816,-0.4881,-3.71
2010-01-20,12.486,13.0074,12.2994,12.4142,8315,-0.2534,-2.0
2010-01-21,12.3568,12.6223,12.0267,12.1415,6813,-0.2731,-2.2
2010-01-22,12.1128,12.3664,11.6392,12.1989,12124,0.0571,0.47
2010-01-25,12.0124,12.5816,12.0124,12.1607,16694,-0.0378,-0.31
2010-01-26,12.2324,12.3616,11.9645,12.1894,22921,0.0292,0.24
2010-01-27,12.2803,12.4046,12.1224,12.1989,8577,0.0098,0.08
2010-01-28,12.1989,12.2857,12.1748,12.1989,4210,-0.0959,-0.78
2010-01-29,12.2037,12.4424,12.2037,12.2327,5718,0.0342,0.28
2010-02-01,12.2471,12.358,12.1748,12.2954,10551,0.0624,0.51
2010-02-02,12.4472,12.4472,12.0591,12.1411,12975,-0.1537,-1.25
2010-02-03,12.17,12.4255,12.1266,12.2809,8406,0.1396,1.15
2010-02-04,12.4882,12.6256,12.2568,12.2905,3652,0.0098,0.08
2010-02-05,12.2857,12.5871,12.1073,12.2134,6259,-0.0774,-0.63
2010-02-08,12.1845,12.3821,12.0736,12.1362,2576,-0.0769,-0.63
2010-02-09,12.2327,12.5919,12.1266,12.2616,4891,0.125,1.03
2010-02-10,12.252,12.6232,12.1555,12.2857,7921,0.0245,0.2
2010-02-11,12.2086,12.5509,12.1507,12.5509,8209,0.2654,2.16
2010-02-12,12.4593,13.062,12.3291,12.6425,12454,0.0916,0.73
2010-02-16,12.7148,12.7245,12.493,12.657,9171,0.0139,0.11
2010-02-17,12.6136,13.1464,12.4882,12.9077,7562,0.2506,1.98
