日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1998-03-23,6.0,6.0,5.5,5.5,6300,0.0,0.0
1998-03-24,5.0,5.5,5.0,5.5,5400,0.0,0.0
1998-03-25,5.0,5.796,4.0,4.0,5100,-1.5,-27.27
1998-03-26,5.0,5.0,5.0,5.0,500,1.0,25.0
1998-03-27,4.75,4.75,4.75,4.75,400,-0.25,-5.0
1998-03-31,5.0,5.5,5.0,5.0,6500,0.0,0.0
1998-04-01,3.0,5.0,3.0,4.25,8300,-0.75,-15.0
1998-04-02,4.25,5.125,4.25,4.5,7200,0.75,17.65
1998-04-03,6.25,6.25,5.0,6.0,43800,1.0,20.0
1998-04-06,6.25,7.0,5.125,6.125,96100,0.13,2.17
1998-04-07,6.25,6.5,5.625,5.75,53400,-0.38,-6.2
1998-04-08,6.125,6.125,5.75,5.75,71500,0.25,4.35
1998-04-09,6.0,6.0,5.75,5.812,4800,-0.19,-3.17
1998-04-13,6.125,6.25,5.75,5.75,18300,-0.06,-1.03
1998-04-14,5.75,6.125,5.375,5.75,18700,0.0,0.0
1998-04-15,5.75,6.0,5.75,6.0,1400,0.25,4.35
1998-04-16,6.0,6.0,5.437,5.75,7400,-0.25,-4.17
1998-04-17,5.75,5.75,5.75,5.75,1400,0.0,0.0
1998-04-20,5.75,5.75,5.5,5.6,16300,-0.15,-2.61
1998-04-21,5.562,5.625,5.5,5.562,31000,-0.04,-0.71
1998-04-22,5.562,5.875,5.56,5.812,92600,0.25,4.5
1998-04-23,5.812,6.0,5.562,5.562,34800,-0.25,-4.3
1998-04-24,5.687,6.062,5.687,5.75,63900,0.19,3.42
1998-04-27,5.875,6.125,5.812,5.875,54600,0.13,2.26
1998-04-28,6.0,6.375,6.0,6.125,77200,0.25,4.25
1998-04-29,6.125,6.125,5.937,5.937,56400,-0.19,-3.1
1998-04-30,6.125,6.25,5.937,6.125,62600,0.19,3.2
1998-05-01,6.125,6.125,6.0,6.0,20200,-0.13,-2.12
1998-05-04,6.062,6.125,5.937,6.0,42600,0.0,0.0
1998-05-05,6.062,6.062,5.875,5.875,32800,-0.12,-2.0
1998-05-06,6.0,6.875,5.937,6.5,161500,0.62,10.54
1998-05-07,6.75,7.437,6.625,7.062,208400,0.56,8.62
1998-05-08,7.875,8.0,7.25,7.5,232200,0.44,6.23
1998-05-11,8.062,8.125,7.687,7.687,189300,0.19,2.53
