日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-11-08,6.91,6.91,5.0,5.2,51347,-0.56,-9.72
2019-11-11,4.5,6.3,4.5,6.3,29936,1.1,21.15
2019-11-12,6.07,6.07,5.3973,5.75,13698,-0.55,-8.73
2019-11-13,6.0,6.19,4.6968,4.73,73566,-1.02,-17.74
2019-11-14,4.9,4.9,3.88,4.35,57386,-0.38,-8.03
2019-11-15,4.48,4.48,3.9,4.0,18018,-0.35,-8.05
2019-11-18,3.9,3.9216,3.04,3.35,24673,-0.65,-16.25
2019-11-19,3.52,3.69,3.25,3.26,27455,-0.09,-2.69
2019-11-20,3.28,3.48,3.18,3.25,41422,-0.01,-0.31
2019-11-21,3.3,3.3,3.07,3.2,19561,-0.05,-1.54
2019-11-22,3.18,3.18,3.04,3.04,8828,-0.16,-5.0
2019-11-25,3.01,3.2094,3.01,3.085,14181,0.045,1.48
2019-11-26,3.26,3.26,3.06,3.205,10577,0.12,3.89
2019-11-27,3.17,3.52,3.17,3.2715,13295,0.0665,2.07
2019-11-29,3.25,3.25,3.2,3.2,1459,-0.0715,-2.19
2019-12-02,3.11,3.42,3.0931,3.19,22581,-0.01,-0.31
2019-12-03,3.3,3.4,3.12,3.22,21355,0.03,0.94
2019-12-04,3.11,3.15,2.9069,2.95,28737,-0.27,-8.39
2019-12-05,3.08,3.08,2.76,2.8299,17891,-0.1201,-4.07
2019-12-06,2.9186,2.9186,2.63,2.76,13532,-0.0699,-2.47
2019-12-09,2.8082,3.2,2.76,3.0,19857,0.24,8.7
2019-12-10,3.11,7.5,2.8,5.21,865892,2.21,73.67
2019-12-11,5.09,5.53,4.36,4.48,104663,-0.73,-14.01
2019-12-12,4.71,4.9,4.07,4.9,35030,0.42,9.38
2019-12-13,4.88,4.88,4.2144,4.5,36947,-0.4,-8.16
2019-12-16,4.5,5.48,4.49,4.7,148465,0.2,4.44
2019-12-17,4.82,6.42,4.82,5.94,319729,1.24,26.38
2019-12-18,6.25,6.7,5.7,5.75,186391,-0.19,-3.2
2019-12-19,5.51,5.6,4.5531,4.66,192500,-1.09,-18.96
2019-12-20,4.54,5.1,4.364,4.67,474843,0.01,0.21
2019-12-23,4.4,4.8317,4.315,4.75,279156,0.08,1.71
2019-12-24,4.7,4.73,4.28,4.67,31920,-0.08,-1.68
2019-12-26,4.6,4.62,4.3812,4.44,344939,-0.23,-4.93
2019-12-27,4.47,4.75,4.3,4.39,64184,-0.05,-1.13
2019-12-30,4.27,4.5,3.84,4.5,63193,0.11,2.51
2019-12-31,4.22,4.7,4.22,4.7,58068,0.2,4.44
2020-01-02,4.72,4.9,4.3844,4.55,12749,-0.15,-3.19
2020-01-03,4.4,4.71,4.4,4.48,10208,-0.07,-1.54
2020-01-06,4.38,4.62,4.38,4.6,14798,0.12,2.68
2020-01-07,4.51,5.4,4.48,5.39,43840,0.79,17.17
2020-01-08,5.29,5.29,4.72,4.97,22566,-0.42,-7.79
2020-01-09,5.99,6.25,5.34,5.55,104232,0.58,11.67
2020-01-10,6.66,7.13,5.91,6.66,169827,1.11,20.0
2020-01-13,6.88,7.645,6.67,7.19,112834,0.53,7.96
2020-01-14,7.28,7.65,6.6,7.15,70288,-0.04,-0.56
2020-01-15,7.08,7.0935,5.96,6.11,107612,-1.04,-14.55
2020-01-16,6.07,6.3,6.0,6.01,29121,-0.1,-1.64
2020-01-17,6.06,6.06,5.5,5.77,39105,-0.24,-3.99
2020-01-21,5.7,5.75,5.5,5.71,31616,-0.06,-1.04
2020-01-22,5.68,6.18,5.25,6.04,35952,0.33,5.78
2020-01-23,6.04,6.2187,5.57,5.63,13454,-0.41,-6.79
2020-01-24,5.64,5.9038,5.4,5.65,10346,0.02,0.36
2020-01-27,5.56,6.02,5.03,5.84,12847,0.19,3.36
2020-01-28,5.99,6.5,5.62,6.4,23920,0.56,9.59
2020-01-29,6.5,7.24,6.3,7.24,83517,0.84,13.13
2020-01-30,7.2,7.45,6.775,7.31,27598,0.07,0.97
2020-01-31,7.31,7.31,6.36,7.0,25655,-0.31,-4.24
2020-02-03,6.94,7.0,6.5,6.71,25421,-0.29,-4.14
2020-02-04,6.48,7.21,6.48,6.72,42098,0.01,0.15
2020-02-05,7.12,7.42,6.7838,7.1,36724,0.38,5.65
2020-02-06,7.15,7.42,7.01,7.04,31197,-0.06,-0.85
2020-02-07,7.06,7.3725,6.83,7.13,14703,0.09,1.28
2020-02-10,6.8,7.7,6.8,7.7,44286,0.57,7.99
2020-02-11,7.7,7.7,7.17,7.515,17128,-0.185,-2.4
2020-02-12,7.57,8.1857,7.3,7.63,33988,0.115,1.53
2020-02-13,7.65,8.07,7.2826,7.6,26878,-0.03,-0.39
2020-02-14,7.99,8.0,7.54,7.6,35345,0.0,0.0
2020-02-18,7.6,8.0,7.2458,7.9,28705,0.3,3.95
2020-02-19,7.78,8.0,7.41,7.89,48634,-0.01,-0.13
2020-02-20,7.61,9.0,7.5425,8.16,70318,0.27,3.42
2020-02-21,8.25,8.65,7.89,8.18,46922,0.02,0.25
2020-02-24,8.25,8.37,7.6,7.98,31946,-0.2,-2.44
2020-02-25,8.0,8.15,7.47,8.01,28753,0.03,0.38
2020-02-26,8.27,8.875,7.93,8.2,37115,0.19,2.37
2020-02-27,8.1,8.1,6.63,6.8,61362,-1.4,-17.07
2020-02-28,6.5,6.95,6.0,6.37,35142,-0.43,-6.32
2020-03-02,6.52,7.1099,6.52,6.76,23763,0.39,6.12
2020-03-03,6.5561,7.21,6.5561,6.79,24466,0.03,0.44
2020-03-04,6.67,6.99,6.1,6.49,32350,-0.3,-4.42
2020-03-05,6.48,6.48,5.8,6.0,26743,-0.49,-7.55
2020-03-06,5.55,6.09,5.55,5.85,16919,-0.15,-2.5
2020-03-09,5.2119,5.87,4.65,5.85,20874,0.0,0.0
2020-03-10,6.11,6.29,5.98,6.16,17992,0.31,5.3
2020-03-11,5.85,5.85,5.25,5.45,8841,-0.71,-11.53
2020-03-12,4.81,5.555,4.0,4.0,45146,-1.45,-26.61
2020-03-13,4.3142,4.3716,3.8,3.9,17585,-0.1,-2.5
2020-03-16,3.81,3.81,3.15,3.21,21955,-0.69,-17.69
2020-03-17,3.25,3.35,2.545,2.87,38850,-0.34,-10.59
2020-03-18,2.4,2.49,2.06,2.35,27073,-0.52,-18.12
2020-03-19,2.3239,2.47,2.27,2.47,50252,0.12,5.11
2020-03-20,2.62,2.8565,2.2691,2.5,18263,0.03,1.21
2020-03-23,2.915,2.915,2.45,2.52,20339,0.02,0.8
2020-03-24,2.61,2.99,2.5446,2.86,7571,0.34,13.49
2020-03-25,2.93,4.31,2.9246,4.0,31861,1.14,39.86
2020-03-26,4.16,4.41,3.85,3.9,25550,-0.1,-2.5
2020-03-27,3.71,3.75,3.31,3.62,24537,-0.28,-7.18
2020-03-30,3.52,3.69,3.05,3.64,16191,0.02,0.55
2020-03-31,3.46,3.68,3.1,3.55,20258,-0.09,-2.47
2020-04-01,3.36,3.44,3.315,3.41,8870,-0.14,-3.94
2020-04-02,3.1601,3.99,3.1601,3.8,10290,0.39,11.44
2020-04-03,3.88,3.9,3.6425,3.9,14576,0.1,2.63
2020-04-06,3.86,5.9,3.86,4.06,159686,0.16,4.1
2020-04-07,4.28,4.39,3.8905,4.08,24196,0.02,0.49
2020-04-08,4.14,4.75,4.14,4.26,27507,0.18,4.41
2020-04-09,4.6,4.6,4.01,4.01,17441,-0.25,-5.87
2020-04-13,4.22,4.435,4.05,4.32,13630,0.31,7.73
2020-04-14,4.48,4.865,4.15,4.48,30070,0.16,3.7
2020-04-15,4.48,4.85,4.19,4.49,14456,0.01,0.22
2020-04-16,4.5,4.5,4.25,4.25,7336,-0.24,-5.35
2020-04-17,4.4,4.46,3.9604,4.1,23577,-0.15,-3.53
2020-04-20,4.2455,4.45,4.2,4.2,9815,0.1,2.44
2020-04-21,4.43,4.43,4.105,4.28,13170,0.08,1.9
2020-04-22,4.24,4.5,4.24,4.39,8542,0.11,2.57
2020-04-23,4.43,4.5,4.33,4.45,2255,0.06,1.37
2020-04-24,4.5,4.5,4.26,4.26,15524,-0.19,-4.27
2020-04-27,4.3466,4.5,4.3466,4.49,21192,0.23,5.4
2020-04-28,4.48,4.49,4.31,4.49,16471,0.0,0.0
2020-04-29,4.47,4.9,4.4125,4.7602,28314,0.2702,6.02
2020-04-30,4.79,4.79,4.4973,4.62,12531,-0.1402,-2.95
2020-05-01,4.46,4.85,4.36,4.45,25602,-0.17,-3.68
2020-05-04,4.45,4.68,4.15,4.3,34056,-0.15,-3.37
