日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-06-17,30.0,33.96,29.5,31.92,4168693,12.92,68.0
2021-06-18,33.39,39.84,32.0001,38.05,1323209,6.13,19.2043
2021-06-21,37.63,38.95,35.06,37.0,452185,-1.05,-2.76
2021-06-22,37.0,40.53,33.4,39.04,712827,2.04,5.51
2021-06-23,38.86,39.8787,37.19,37.19,339833,-1.85,-4.74
2021-06-24,37.52,38.765,35.9,36.39,432643,-0.8,-2.15
2021-06-25,36.56,37.2907,35.3,35.99,214908,-0.4,-1.1
2021-06-28,41.96,48.86,41.88,45.0,1479206,9.01,25.03
2021-06-29,44.82,55.38,43.1,54.25,929669,9.25,20.56
2021-06-30,58.52,73.8,57.925,60.25,1582626,6.0,11.06
2021-07-01,62.0,66.6,52.0,53.14,748260,-7.11,-11.8
2021-07-02,53.16,55.9999,49.98,50.14,336606,-3.0,-5.65
2021-07-06,49.84,49.99,45.9,47.72,337695,-2.42,-4.83
2021-07-07,48.2,49.5058,46.87,47.84,144621,0.12,0.25
2021-07-08,46.29,47.99,45.51,46.25,279541,-1.59,-3.32
2021-07-09,46.7,47.3992,45.01,46.0,201380,-0.25,-0.54
2021-07-12,47.03,49.03,46.89,48.2,378666,2.2,4.78
2021-07-13,48.4,57.57,48.2,53.15,963483,4.95,10.27
2021-07-14,53.76,53.95,49.36,49.73,468025,-3.42,-6.43
2021-07-15,51.1672,51.1672,46.15,46.67,321630,-3.06,-6.15
2021-07-16,46.8,51.44,46.57,48.57,796723,1.9,4.07
2021-07-19,49.01,51.23,48.09,51.08,480479,2.51,5.17
2021-07-20,51.45,53.4677,49.41,50.86,486066,-0.22,-0.43
2021-07-21,50.72,56.2173,49.1,54.19,400617,3.33,6.5474
2021-07-22,53.54,54.31,49.12,52.13,635677,-2.06,-3.8
2021-07-23,51.5,52.4477,50.38,52.29,319667,0.16,0.31
2021-07-26,53.0,54.935,51.58,52.52,219834,0.23,0.44
2021-07-27,52.44,53.49,49.1,49.92,291301,-2.6,-4.95
2021-07-28,49.78,57.07,49.78,55.56,250529,5.64,11.3
2021-07-29,56.29,59.94,54.08,58.47,325978,2.91,5.24
2021-07-30,59.11,60.5,58.0,59.43,179809,0.96,1.64
2021-08-02,59.45,67.6,57.6511,65.15,616491,5.72,9.62
2021-08-03,65.97,68.4927,60.35,61.74,299759,-3.41,-5.23
2021-08-04,61.97,67.605,61.29,63.85,284129,2.11,3.42
2021-08-05,63.85,71.34,63.85,69.2,347053,5.35,8.38
2021-08-06,69.92,70.2,63.79,68.08,292700,-1.12,-1.62
2021-08-09,68.03,69.99,66.3508,69.25,273232,1.17,1.72
2021-08-10,69.77,69.77,66.64,68.99,226907,-0.26,-0.38
2021-08-11,69.05,70.0,65.53,67.18,133290,-1.81,-2.62
2021-08-12,67.5,67.5,59.2,60.09,342302,-7.09,-10.55
2021-08-13,60.17,62.46,56.53,60.0,237293,-0.09,-0.1498
2021-08-16,59.31,60.7,55.82,60.0,206390,0.0,0.0
2021-08-17,59.57,60.465,56.25,59.18,233865,-0.82,-1.37
2021-08-18,59.63,63.32,58.3,61.99,253624,2.81,4.7482
2021-08-19,61.73,66.88,60.68,64.01,196076,2.02,3.26
2021-08-20,63.83,65.345,62.32,63.31,260789,-0.7,-1.09
2021-08-23,64.15,66.2699,62.85,65.05,548551,1.74,2.7484
2021-08-24,65.18,65.45,63.0601,63.44,255215,-1.61,-2.48
2021-08-25,62.8,65.92,61.59,64.94,213212,1.5,2.36
2021-08-26,64.58,71.0,64.47,65.81,293637,0.87,1.34
2021-08-27,66.62,70.96,63.97,70.33,256945,4.52,6.8683
2021-08-30,70.78,74.4416,66.58,68.25,232351,-2.08,-2.96
2021-08-31,68.4,70.35,67.09,69.96,194471,1.71,2.51
