日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-07-31,35.0,37.5,34.04,35.26,5899422,13.26,60.27
2020-08-03,35.5,42.45,35.0,37.61,1078143,2.35,6.66
2020-08-04,37.99,40.25,37.08,38.52,322870,0.91,2.42
2020-08-05,38.5,43.2999,38.39,40.24,505536,1.72,4.47
2020-08-06,40.64,42.445,38.7006,41.5,1077237,1.26,3.13
2020-08-07,41.01,41.7917,38.86,38.86,483421,-2.64,-6.36
2020-08-10,39.0,40.85,36.42,36.44,293918,-2.42,-6.23
2020-08-11,36.89,37.2211,34.5124,35.45,398198,-0.99,-2.72
2020-08-12,35.53,36.71,34.5689,36.45,452429,1.0,2.82
2020-08-13,36.56,37.065,36.01,36.42,224843,-0.03,-0.08
2020-08-14,36.0,36.6,35.41,36.33,202027,-0.09,-0.25
2020-08-17,36.18,36.68,35.6419,36.4,180903,0.07,0.19
2020-08-18,36.63,37.25,36.485,36.68,187258,0.28,0.77
2020-08-19,36.89,37.13,35.8234,36.51,170976,-0.17,-0.46
2020-08-20,36.41,36.48,35.53,35.91,194745,-0.6,-1.64
2020-08-21,36.05,37.23,35.64,36.97,143336,1.06,2.95
2020-08-24,36.9309,39.86,36.68,39.38,279649,2.41,6.52
2020-08-25,37.12,38.47,36.35,37.77,307642,-1.61,-4.09
2020-08-26,37.87,40.4,37.26,40.03,283458,2.26,5.98
2020-08-27,40.0,42.5,38.07,38.98,295883,-1.05,-2.62
2020-08-28,39.2,40.0,37.97,38.13,114085,-0.85,-2.18
2020-08-31,37.8335,39.88,37.8335,39.4,254693,1.27,3.33
2020-09-01,39.65,40.58,38.928,40.41,179440,1.01,2.56
2020-09-02,40.58,41.95,40.27,40.49,148953,0.08,0.2
2020-09-03,40.3,40.6056,37.89,37.89,294279,-2.6,-6.42
2020-09-04,37.96,39.31,36.85,36.97,201286,-0.92,-2.43
2020-09-08,36.89,38.0555,35.22,35.36,200168,-1.61,-4.35
2020-09-09,35.81,38.97,35.78,36.2,208160,0.84,2.38
2020-09-10,36.26,37.37,34.745,35.87,345077,-0.33,-0.91
2020-09-11,36.2,39.0,34.37,34.48,426839,-1.39,-3.88
2020-09-14,35.27,37.17,34.84,36.63,294605,2.15,6.24
2020-09-15,36.82,37.305,35.5408,36.65,174252,0.02,0.05
2020-09-16,36.7,39.71,36.7,37.7,248586,1.05,2.86
2020-09-17,37.0,39.81,36.6,39.24,257193,1.54,4.08
2020-09-18,39.9965,41.52,38.05,38.51,1677913,-0.73,-1.86
2020-09-21,37.54,38.43,36.21,36.3,298039,-2.21,-5.74
2020-09-22,36.33,38.67,36.3,37.9,226136,1.6,4.41
2020-09-23,37.89,38.23,36.6201,37.06,143115,-0.84,-2.22
2020-09-24,36.95,37.5,35.55,37.16,165592,0.1,0.27
2020-09-25,37.06,39.53,36.15,39.37,164068,2.21,5.95
2020-09-28,39.85,39.9999,37.52,39.73,160697,0.36,0.91
2020-09-29,39.84,40.7525,39.145,40.34,217660,0.61,1.54
2020-09-30,40.44,41.0,38.5266,40.53,106242,0.19,0.47
2020-10-01,40.92,41.24,39.84,40.0,91885,-0.53,-1.31
2020-10-02,39.39,40.0,38.85,39.36,75489,-0.64,-1.6
2020-10-05,39.63,40.0,38.75,39.61,86336,0.25,0.64
2020-10-06,39.76,39.96,37.97,37.97,239724,-1.64,-4.14
2020-10-07,38.31,38.96,36.8,37.68,343490,-0.29,-0.76
2020-10-08,38.02,39.39,36.89,38.88,172740,1.2,3.18
2020-10-09,40.21,40.5589,39.04,39.56,214490,0.68,1.75
2020-10-12,40.16,40.88,39.4796,39.73,174347,0.17,0.43
2020-10-13,39.91,39.92,38.26,38.4,134426,-1.33,-3.35
2020-10-14,38.67,38.97,37.52,37.65,67019,-0.75,-1.95
2020-10-15,37.51,37.6281,36.51,36.995,124361,-0.655,-1.74
2020-10-16,37.13,37.58,36.62,36.73,139347,-0.265,-0.72
2020-10-19,36.87,37.21,35.15,35.58,124650,-1.15,-3.13
2020-10-20,35.8,35.9,34.41,34.62,119415,-0.96,-2.7
2020-10-21,34.74,35.38,33.01,33.17,155171,-1.45,-4.19
2020-10-22,33.6,34.62,32.82,34.3,276774,1.13,3.41
2020-10-23,34.58,35.29,33.9419,35.19,108783,0.89,2.59
2020-10-26,34.89,35.2165,33.68,34.09,73475,-1.1,-3.13
2020-10-27,34.13,35.23,33.99,34.74,101561,0.65,1.91
2020-10-28,34.24,34.84,33.86,34.47,119596,-0.27,-0.78
2020-10-29,34.3,34.87,33.88,34.57,193417,0.1,0.29
2020-10-30,34.37,34.97,34.25,34.56,158900,-0.01,-0.03
2020-11-02,35.0,35.2899,34.07,34.3,76018,-0.26,-0.75
2020-11-03,34.72,35.47,34.3835,35.13,72962,0.83,2.42
2020-11-04,35.66,35.66,34.23,35.32,75428,0.19,0.54
2020-11-05,35.92,36.25,34.74,35.5,101922,0.18,0.51
2020-11-06,35.5,36.76,35.36,36.57,85246,1.07,3.01
2020-11-09,37.46,38.755,35.45,35.45,176896,-1.12,-3.06
2020-11-10,33.62,34.04,29.7,31.25,785172,-4.2,-11.85
2020-11-11,33.49,33.49,28.1255,30.25,987691,-1.0,-3.2
2020-11-12,31.33,32.84,29.22,30.11,3430771,-0.14,-0.4628
2020-11-13,30.55,31.24,29.6,29.87,975452,-0.24,-0.7971
2020-11-16,31.89,31.94,27.23,27.76,1019133,-2.11,-7.06
2020-11-17,28.04,28.845,26.27,27.56,672050,-0.2,-0.72
2020-11-18,28.0,28.83,27.6,28.5,410340,0.94,3.41
2020-11-19,28.71,30.1,28.29,30.0,710164,1.5,5.26
2020-11-20,29.99,30.3,29.0,29.76,384134,-0.24,-0.8
2020-11-23,29.9,30.1699,29.395,29.88,273002,0.12,0.4
2020-11-24,29.99,30.1,29.4,29.72,774450,-0.16,-0.54
2020-11-25,29.81,30.24,29.4,29.8,382656,0.08,0.27
2020-11-27,29.95,30.0,29.04,29.43,79043,-0.37,-1.24
2020-11-30,29.66,30.013,28.6,29.64,437906,0.21,0.71
2020-12-01,29.9,30.13,29.0,29.95,379531,0.31,1.05
