日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-10-06,9.01,15.5,7.12,10.86,7113355,5.36,97.45
2021-10-07,10.9529,12.7799,8.03,8.7,1844575,-2.16,-19.89
2021-10-08,9.1618,11.9,8.91,9.13,2151494,0.43,4.94
2021-10-11,10.0444,10.67,9.14,9.28,2200701,0.15,1.64
2021-10-12,9.0,9.25,8.48,8.7,335372,-0.58,-6.25
2021-10-13,8.49,8.63,6.91,7.82,704558,-0.88,-10.11
2021-10-14,7.7,7.98,7.02,7.65,277404,-0.17,-2.17
2021-10-15,7.6,8.68,7.53,8.28,599709,0.63,8.24
2021-10-18,8.63,9.97,7.9,9.25,1391217,0.97,11.71
2021-10-19,9.32,9.6899,8.5,9.16,930284,-0.09,-0.97
2021-10-20,9.27,9.48,8.55,8.69,302057,-0.47,-5.131
2021-10-21,8.83,8.98,8.25,8.83,158556,0.14,1.61
2021-10-22,8.79,9.4,8.37,9.3,403717,0.47,5.32
2021-10-25,9.54,11.76,9.32,11.11,1282085,1.81,19.46
2021-10-26,11.05,11.83,10.23,11.43,537679,0.32,2.88
2021-10-27,11.4,16.6,11.09,13.11,1927853,1.68,14.7
2021-10-28,13.5,14.8786,11.8,12.55,835594,-0.56,-4.27
2021-10-29,12.15,13.28,11.11,12.44,336532,-0.11,-0.88
2021-11-01,12.85,12.93,12.3,12.75,167016,0.31,2.49
2021-11-02,12.571,12.715,11.88,12.12,119081,-0.63,-4.9412
2021-11-03,12.3,12.3788,11.51,11.95,144420,-0.17,-1.4
2021-11-04,12.18,14.88,12.18,14.88,474333,2.93,24.52
2021-11-05,14.9,16.5,14.2,16.4,516255,1.52,10.2151
2021-11-08,16.4,17.2394,14.56,15.09,482080,-1.31,-7.99
2021-11-09,15.59,16.2,14.3001,14.93,344223,-0.16,-1.06
2021-11-10,15.13,15.14,13.51,14.01,178925,-0.92,-6.16
2021-11-11,14.11,14.5999,13.2,13.82,155253,-0.19,-1.3562
2021-11-12,13.7,13.97,11.08,11.75,302773,-2.07,-14.98
