日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2010-07-06,11.5,11.5,10.36,10.39,346789,-1.06,-9.26
2010-07-07,10.0,12.15,9.7,11.7,1260005,0.0,0.0
2010-07-08,11.98,12.3,11.72,12.0,495690,0.0,0.0
2010-07-09,11.97,12.24,11.61,12.13,273934,0.0,0.0
2010-07-12,12.09,12.39,11.995,12.28,191326,0.0,0.0
2010-07-13,12.28,12.28,11.67,11.78,699837,0.0,0.0
2010-07-14,11.85,11.85,11.06,11.29,346978,0.0,0.0
2010-07-15,11.25,11.26,10.77,11.19,160084,0.0,0.0
2010-07-16,11.16,11.17,10.87,11.02,176638,0.0,0.0
2010-07-19,11.04,11.2,10.75,11.17,429023,0.0,0.0
2010-07-20,11.06,11.37,11.0,11.37,359203,0.0,0.0
2010-07-21,11.39,11.78,11.29,11.58,208598,0.0,0.0
2010-07-22,11.66,12.03,11.61,12.03,166878,0.0,0.0
2010-07-23,11.95,12.82,11.75,12.37,237357,0.0,0.0
2010-07-26,12.46,12.639,12.37,12.45,206156,0.0,0.0
2010-07-27,12.5,12.53,12.12,12.45,242124,2.06,19.83
2010-07-28,12.35,12.9,12.13,12.79,113596,0.34,2.73
2010-07-29,12.8,13.2,12.58,12.66,167957,-0.13,-1.02
2010-07-30,12.59,12.79,12.195,12.65,184525,-0.01,-0.08
2010-08-02,12.81,12.81,12.6,12.77,116545,0.12,0.95
2010-08-03,12.99,15.565,12.77,14.9,490577,2.13,16.68
2010-08-04,14.9,15.52,14.14,14.64,165632,-0.26,-1.74
2010-08-05,14.47,14.7,14.25,14.62,129692,-0.02,-0.14
2010-08-06,14.5,14.85,14.29,14.84,88120,0.22,1.5
2010-08-09,14.77,14.98,14.55,14.72,85041,-0.12,-0.81
2010-08-10,14.5,14.86,14.41,14.69,134723,-0.03,-0.2
2010-08-11,14.51,14.7,14.3,14.55,126365,-0.14,-0.95
2010-08-12,14.4,14.59,14.31,14.59,41537,0.04,0.27
2010-08-13,14.51,14.51,14.33,14.4,28214,-0.19,-1.3
2010-08-16,14.38,14.7,14.38,14.63,55943,0.23,1.6
2010-08-17,14.7,14.7,14.45,14.5,31207,-0.13,-0.89
2010-08-18,14.52,16.08,14.36,15.77,134745,1.27,8.76
2010-08-19,15.76,15.95,14.79,15.31,59860,-0.46,-2.92
2010-08-20,15.23,15.85,15.04,15.79,69699,0.48,3.14
2010-08-23,15.92,15.92,14.82,15.07,47588,-0.72,-4.56
2010-08-24,14.84,14.84,14.46,14.58,74929,-0.49,-3.25
2010-08-25,14.76,14.76,14.25,14.56,89768,-0.02,-0.14
2010-08-26,14.6,14.92,14.5,14.68,22466,0.12,0.82
2010-08-27,14.54,14.83,14.3,14.78,39691,0.1,0.68
2010-08-30,14.87,14.93,14.49,14.5,39897,-0.28,-1.89
2010-08-31,14.36,14.66,14.24,14.49,58499,-0.01,-0.07
2010-09-01,14.64,15.63,14.64,15.21,32262,0.72,4.97
2010-09-02,15.31,15.37,15.03,15.09,11180,-0.12,-0.79
2010-09-03,15.23,15.77,15.17,15.75,26211,0.66,4.37
2010-09-06,15.75,15.75,15.75,15.75,0,0.0,0.0
2010-09-07,15.74,15.91,15.63,15.85,55429,0.1,0.63
2010-09-08,15.85,15.85,15.16,15.21,22336,-0.64,-4.04
2010-09-09,15.35,15.45,14.15,15.24,81703,0.03,0.2
2010-09-10,15.24,15.366,14.98,15.02,59652,-0.22,-1.44
2010-09-13,15.13,15.85,15.13,15.85,23897,0.83,5.53
2010-09-14,15.82,15.82,15.3,15.71,50073,-0.14,-0.88
2010-09-15,15.69,15.97,15.63,15.67,35460,-0.04,-0.25
2010-09-16,15.65,15.65,15.08,15.21,31227,-0.46,-2.94
2010-09-17,15.22,15.29,14.65,15.16,88249,-0.05,-0.33
