日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2009-10-28,19.5,20.29,17.95,17.95,10208434,0.0,0.0
2009-10-29,18.33,19.4,17.71,18.67,1310894,0.72,4.01
2009-10-30,18.97,19.05,17.35,17.57,520135,-1.1,-5.89
2009-11-02,18.1,19.18,17.51,18.4,467551,0.83,4.72
2009-11-03,18.02,18.87,17.8,18.6,343450,0.2,1.09
2009-11-04,19.1,19.47,18.65,18.95,554447,0.35,1.88
2009-11-05,19.29,19.65,18.53,19.3,191669,0.35,1.85
2009-11-06,18.9,19.71,18.76,19.41,161703,0.11,0.57
2009-11-09,19.74,20.09,19.61,20.01,164136,0.6,3.09
2009-11-10,20.12,21.39,19.9,20.24,350999,0.23,1.15
2009-11-11,19.75,20.82,19.75,20.319,52765,0.08,0.4
2009-11-12,20.35,20.53,20.11,20.15,97367,-0.17,-0.84
2009-11-13,19.99,20.17,19.71,19.94,257038,-0.21,-1.04
2009-11-16,20.39,20.39,18.84,18.97,208634,-0.97,-4.86
2009-11-17,18.99,19.5,18.99,19.41,88496,0.44,2.32
2009-11-18,19.81,19.81,18.56,18.85,100243,-0.56,-2.89
2009-11-19,18.75,18.75,17.68,17.9,189988,-0.95,-5.04
2009-11-20,17.72,18.02,17.605,17.95,116547,0.05,0.28
2009-11-23,18.63,19.07,18.43,18.73,162385,0.78,4.35
2009-11-24,18.7,19.16,18.28,18.86,141989,0.13,0.69
2009-11-25,18.95,19.41,18.86,19.3,144267,0.44,2.33
2009-11-27,18.58,19.12,18.499,18.97,19788,-0.33,-1.71
2009-11-30,19.25,19.41,18.0,18.5,402857,-0.47,-2.48
2009-12-01,18.5,18.79,18.23,18.77,165910,0.27,1.46
2009-12-02,18.88,19.7,18.84,19.5,161916,0.73,3.89
2009-12-03,19.48,19.9,19.05,19.51,143706,0.01,0.05
2009-12-04,19.88,20.17,19.57,20.15,105393,0.64,3.28
2009-12-07,20.57,21.4,19.83,20.42,197045,0.27,1.34
2009-12-08,20.5,21.0,20.14,20.63,134635,0.21,1.03
2009-12-09,20.65,20.7,20.4,20.5,93376,-0.13,-0.63
2009-12-10,20.4,20.94,19.71,20.42,152251,-0.08,-0.39
2009-12-11,20.58,20.85,20.31,20.47,61309,0.05,0.24
2009-12-14,20.55,20.75,20.226,20.25,126690,-0.22,-1.07
2009-12-15,20.38,20.8,20.01,20.08,131632,-0.17,-0.84
2009-12-16,20.0,21.14,20.0,20.92,288620,0.84,4.18
2009-12-17,20.75,22.11,20.65,21.77,251816,0.85,4.06
2009-12-18,21.88,22.18,21.13,21.31,856747,-0.46,-2.11
2009-12-21,21.72,22.21,21.39,21.97,122925,0.66,3.1
2009-12-22,22.01,22.32,21.67,21.88,83567,-0.09,-0.41
2009-12-23,21.9,23.09,21.9,22.36,74819,0.48,2.19
2009-12-24,22.52,23.07,22.52,22.63,63734,0.27,1.21
2009-12-28,22.78,23.31,22.46,23.22,76084,0.59,2.61
2009-12-29,23.3,24.0,22.925,23.65,116306,0.43,1.85
2009-12-30,23.4,23.65,21.87,22.5,149317,-1.15,-4.86
2009-12-31,22.56,22.56,21.73,22.24,74448,-0.26,-1.16
2010-01-04,22.45,22.45,21.56,22.16,144838,-0.08,-0.36
2010-01-05,22.16,22.27,22.04,22.13,62455,-0.03,-0.14
2010-01-06,22.04,22.15,21.0,21.24,200410,-0.89,-4.02
2010-01-07,21.25,21.739,21.12,21.48,78889,0.24,1.13
2010-01-08,21.57,22.59,21.57,22.4,95356,0.92,4.28
2010-01-11,22.61,22.93,22.3,22.69,71256,0.29,1.29
2010-01-12,22.54,22.98,21.95,22.24,61002,-0.45,-1.98
2010-01-13,22.39,22.518,22.29,22.31,43105,0.07,0.31
2010-01-14,22.2,22.58,21.91,22.22,49950,-0.09,-0.4
2010-01-15,22.34,22.34,21.63,22.09,80113,-0.13,-0.59
2010-01-19,22.01,22.07,21.59,22.05,48881,-0.04,-0.18
2010-01-20,21.65,22.2,21.65,22.12,53465,0.07,0.32
2010-01-21,22.09,22.15,21.5,21.51,68629,-0.61,-2.76
