日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-02-05,10.29,10.29,10.08,10.1425,237925,0.0,0.0
2021-02-08,10.2001,10.25,10.08,10.1899,975093,0.0474,0.4673
2021-02-09,10.21,10.22,10.1,10.2,175917,0.01,0.1
2021-02-10,10.15,10.24,10.11,10.24,349677,0.04,0.39
2021-02-11,10.22,10.36,10.17,10.21,182580,-0.03,-0.29
2021-02-12,10.28,10.28,10.15,10.16,76566,-0.05,-0.49
2021-02-16,10.24,10.305,10.19,10.28,44601,0.12,1.18
2021-02-17,10.24,10.3319,10.2,10.2,210365,-0.08,-0.7782
2021-02-18,10.2001,10.225,10.15,10.16,23313,-0.04,-0.39
2021-02-19,10.17,10.205,10.1399,10.16,90388,0.0,0.0
2021-02-22,10.16,10.2,10.06,10.09,368957,-0.07,-0.69
2021-02-23,10.08,10.23,10.04,10.22,241970,0.13,1.2884
2021-02-24,10.26,10.26,10.07,10.18,76758,-0.04,-0.3914
2021-02-25,10.15,10.15,10.06,10.15,1034404,-0.03,-0.29
2021-02-26,10.12,10.14,10.04,10.09,192252,-0.06,-0.59
2021-03-01,10.1,10.15,10.02,10.06,145482,-0.03,-0.3
2021-03-02,10.06,10.07,9.86,9.93,193242,-0.13,-1.29
2021-03-03,9.97,10.0,9.9,9.9,309954,-0.03,-0.3021
2021-03-04,9.91,9.9903,9.7401,9.99,198572,0.09,0.9091
2021-03-05,9.98,9.99,9.8,9.95,25095,-0.04,-0.4
2021-03-08,9.91,9.925,9.88,9.895,21958,-0.055,-0.5528
2021-03-09,9.92,9.95,9.92,9.9301,10312,0.0351,0.3547
2021-03-10,9.95,9.99,9.845,9.88,721995,-0.05,-0.5
2021-03-11,9.9,10.0,9.9,9.99,89035,0.11,1.1134
2021-03-12,9.91,9.96,9.91,9.95,8547,-0.04,-0.4004
2021-03-15,9.98,10.0022,9.86,9.87,120756,-0.08,-0.804
2021-03-16,9.9,9.96,9.81,9.81,233506,-0.06,-0.6079
2021-03-17,9.87,9.9,9.82,9.89,36247,0.08,0.8155
2021-03-18,9.86,9.86,9.83,9.83,3723,-0.06,-0.6067
2021-03-19,9.83,9.89,9.83,9.83,198248,0.0,0.0
2021-03-22,9.83,9.85,9.82,9.85,9013,0.02,0.2035
2021-03-23,9.87,9.87,9.81,9.81,11536,-0.04,-0.4061
2021-03-24,9.9,9.9,9.76,9.8,188634,-0.01,-0.1019
2021-03-25,9.8,9.84,9.73,9.83,119042,0.03,0.3061
2021-03-26,9.83,9.95,9.82,9.82,9957,-0.01,-0.1017
2021-03-29,9.9,9.91,9.858,9.89,324670,0.07,0.71
2021-03-30,9.91,9.915,9.87,9.87,40757,-0.02,-0.2
2021-03-31,9.9,9.91,9.79,9.79,26998,-0.08,-0.81
2021-04-01,9.9,9.94,9.9,9.91,20432,0.12,1.23
2021-04-05,9.94,9.94,9.9,9.9,72085,-0.01,-0.1009
2021-04-06,9.94,9.99,9.89,9.9,114384,0.0,0.0
2021-04-07,9.935,9.97,9.9166,9.92,1597,0.02,0.202
2021-04-08,9.955,9.99,9.94,9.99,15475,0.07,0.7056
2021-04-09,9.94,10.05,9.94,9.99,97921,0.0,0.0
2021-04-12,9.98,10.0,9.98,10.0,8117,0.01,0.1001
2021-04-13,10.04,10.09,9.9804,10.0,60648,0.0,0.0
2021-04-14,9.97,10.05,9.97,9.98,3428,-0.02,-0.2
2021-04-15,10.0398,10.05,9.95,9.97,31296,-0.01,-0.1002
2021-04-16,10.03,10.03,9.9496,10.0,31702,0.03,0.3009
2021-04-19,10.0,10.03,9.93,10.0,12562,0.0,0.0
2021-04-20,10.0,10.02,9.98,10.0,14156,0.0,0.0
2021-04-21,10.0,10.0,9.91,10.0,6058,0.0,0.0
2021-04-22,9.93,9.99,9.93,9.99,6575,-0.01,-0.1
2021-04-23,9.916,10.01,9.91,10.0,15011,0.01,0.1001
2021-04-26,9.9756,9.9819,9.9703,9.9819,321,-0.0181,-0.181
2021-04-27,10.0,10.0,9.95,9.95,6659,-0.0319,-0.3196
