日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1998-11-23,0.5767,0.6835,0.5725,0.6622,24200,0.0427,6.9
1998-11-24,0.6237,0.6494,0.6237,0.6323,96800,-0.0299,-4.52
1998-11-25,0.6195,0.6408,0.5938,0.6408,30976,0.0085,1.35
1998-11-27,0.6408,0.6408,0.6408,0.6408,2904,0.0,0.0
1998-11-30,0.6195,0.6323,0.6109,0.6195,184888,-0.0213,-3.33
1998-12-01,0.6109,0.6109,0.6109,0.6109,19360,-0.0085,-1.38
1998-12-02,0.6109,0.6109,0.6109,0.6109,6776,0.0,0.0
1998-12-04,0.5725,0.5725,0.5725,0.5725,7744,-0.0384,-6.29
1998-12-07,0.5725,0.5725,0.5725,0.5725,29040,0.0,0.0
1998-12-08,0.5725,0.5725,0.5725,0.5725,11616,0.0,0.0
1998-12-09,0.5725,0.5725,0.5298,0.5725,19360,0.0,0.0
1998-12-10,0.5725,0.5725,0.5725,0.5725,968,0.0,0.0
1998-12-11,0.581,0.581,0.581,0.581,106480,0.0085,1.49
1998-12-14,0.5298,0.5938,0.5298,0.534,151976,-0.047,-8.09
1998-12-15,0.5639,0.5639,0.534,0.534,43560,0.0,0.0
1998-12-16,0.4828,0.4956,0.4742,0.4956,93896,-0.0385,-7.2
1998-12-17,0.534,0.534,0.534,0.534,56144,0.0385,7.76
1998-12-18,0.5298,0.5298,0.5298,0.5298,29040,-0.0043,-0.8
1998-12-21,0.487,0.487,0.487,0.487,5808,-0.0427,-8.06
1998-12-22,0.4828,0.487,0.4614,0.487,151976,0.0,0.0
1998-12-28,0.5298,0.5298,0.5298,0.5298,9680,0.0427,8.77
1998-12-29,0.487,0.487,0.487,0.487,36784,-0.0427,-8.06
1998-12-30,0.487,0.487,0.487,0.487,5808,0.0,0.0
1998-12-31,0.5767,0.6152,0.5298,0.6109,106480,0.1239,25.44
1999-01-04,0.5298,0.6152,0.5298,0.6152,12584,0.0043,0.7
1999-01-05,0.5597,0.6152,0.5554,0.6152,22264,0.0,0.0
1999-01-06,0.6152,0.6152,0.6152,0.6152,9680,0.0,0.0
1999-01-08,0.5725,0.5725,0.5725,0.5725,1936,-0.0427,-6.94
1999-01-11,0.6066,0.6066,0.6066,0.6066,29040,0.0342,5.97
1999-01-12,0.5554,0.5554,0.5511,0.5511,79376,-0.0555,-9.15
1999-01-14,0.5938,0.5938,0.5938,0.5938,7744,0.0427,7.75
1999-01-15,0.5725,0.5725,0.5725,0.5725,18392,-0.0214,-3.6
1999-01-20,0.6024,0.6066,0.6024,0.6066,47432,0.0342,5.97
1999-01-21,0.5682,0.5682,0.5682,0.5682,45496,-0.0385,-6.34
1999-01-22,0.5767,0.5896,0.5639,0.5896,112288,0.0214,3.76
1999-01-25,0.5725,0.5725,0.5725,0.5725,10648,-0.0171,-2.9
1999-01-26,0.5767,0.5938,0.5426,0.5426,17424,-0.0299,-5.22
1999-01-28,0.5511,0.5511,0.5511,0.5511,1936,0.0085,1.57
1999-02-01,0.5639,0.5639,0.5639,0.5639,3872,0.0128,2.33
1999-02-04,0.5511,0.6024,0.5511,0.6024,28072,0.0385,6.82
1999-02-05,0.6024,0.6024,0.6024,0.6024,2904,0.0,0.0
1999-02-10,0.5511,0.5639,0.5426,0.5639,8712,-0.0384,-6.38
1999-02-11,0.5426,0.6024,0.5426,0.6024,128744,0.0385,6.82
1999-02-12,0.5639,0.5639,0.5597,0.5597,24200,-0.0427,-7.09
1999-02-17,0.5682,0.5725,0.5426,0.5426,27104,-0.0171,-3.05
1999-02-19,0.6024,0.6024,0.6024,0.6024,1936,0.0598,11.02
1999-02-22,0.5511,0.5511,0.5468,0.5468,52272,-0.0555,-9.22
1999-02-23,0.5468,0.5468,0.5468,0.5468,11616,0.0,0.0
1999-02-24,0.5511,0.5639,0.5511,0.5639,246840,0.0171,3.13
1999-02-25,0.5639,0.5639,0.5511,0.5554,26136,-0.0086,-1.52
1999-02-26,0.5511,0.5511,0.5511,0.5511,1936,-0.0043,-0.77
1999-03-08,0.5298,0.5298,0.5298,0.5298,40656,-0.0214,-3.88
1999-03-10,0.5298,0.5298,0.5298,0.5298,21296,0.0,0.0
1999-03-14,0.5169,0.5169,0.5169,0.5169,19360,-0.0128,-2.42
1999-03-15,0.5255,0.5255,0.5255,0.5255,4840,0.0085,1.65
1999-03-16,0.5127,0.5127,0.5127,0.5127,1936,-0.0128,-2.44
1999-03-18,0.5127,0.5127,0.5127,0.5127,1936,0.0,0.0
1999-03-21,0.5127,0.5169,0.5084,0.5169,76472,0.0043,0.83
1999-03-22,0.5127,0.5127,0.5127,0.5127,9680,-0.0043,-0.83
1999-03-25,0.5084,0.5084,0.5084,0.5084,9680,-0.0043,-0.83
1999-03-28,0.487,0.5298,0.487,0.5298,20328,0.0214,4.2
1999-03-29,0.4956,0.4956,0.4956,0.4956,14520,-0.0342,-6.45
1999-03-30,0.487,0.487,0.4614,0.487,16456,-0.0085,-1.72
1999-04-06,0.4742,0.4742,0.44,0.44,38720,-0.047,-9.65
1999-04-07,0.4956,0.4956,0.44,0.44,7744,0.0,0.0
1999-04-12,0.487,0.4956,0.44,0.4956,23232,0.0555,12.62
1999-04-14,0.487,0.5298,0.487,0.5298,11616,0.0342,6.9
1999-04-15,0.5298,0.5298,0.5084,0.5169,18392,-0.0128,-2.42
1999-04-16,0.5298,0.5298,0.5298,0.5298,7744,0.0128,2.48
1999-04-19,0.4699,0.5725,0.4699,0.5725,5808,0.0427,8.06
1999-04-20,0.487,0.487,0.487,0.487,19360,-0.0855,-14.93
1999-04-21,0.5084,0.5084,0.5084,0.5084,1936,0.0214,4.39
1999-04-22,0.4998,0.5041,0.4913,0.4913,96800,-0.0171,-3.36
1999-04-23,0.5298,0.5298,0.5298,0.5298,1936,0.0385,7.83
1999-04-29,0.487,0.487,0.4486,0.4486,117128,-0.0812,-15.32
1999-04-30,0.4828,0.487,0.4785,0.487,123904,0.0384,8.57
1999-05-03,0.4571,0.4571,0.4571,0.4571,1936,-0.0299,-6.14
1999-05-04,0.4571,0.487,0.4571,0.487,22264,0.0299,6.54
1999-05-05,0.487,0.487,0.4614,0.4742,48400,-0.0128,-2.63
1999-05-06,0.4614,0.4614,0.4571,0.4571,25168,-0.0171,-3.6
1999-05-12,0.4486,0.4486,0.4486,0.4486,4840,-0.0085,-1.87
1999-05-14,0.487,0.487,0.4699,0.4699,35816,0.0214,4.76
1999-05-17,0.487,0.487,0.4529,0.4529,30008,-0.0171,-3.64
1999-05-18,0.4529,0.4529,0.4529,0.4529,11616,0.0,0.0
1999-05-20,0.4571,0.4571,0.4486,0.4486,193600,-0.0043,-0.94
1999-05-24,0.4486,0.4486,0.44,0.44,19360,-0.0085,-1.9
1999-05-25,0.3973,0.44,0.3973,0.44,211024,0.0,0.0
1999-05-26,0.487,0.487,0.44,0.4614,73568,0.0213,4.85
1999-05-27,0.4571,0.487,0.4571,0.487,23232,0.0257,5.56
1999-05-28,0.5298,0.5298,0.487,0.487,12584,0.0,0.0
1999-06-01,0.4828,0.534,0.4785,0.4785,27104,-0.0085,-1.75
1999-06-02,0.4699,0.4699,0.4699,0.4699,11616,-0.0086,-1.79
1999-06-08,0.5426,0.5426,0.5426,0.5426,4840,0.0726,15.45
1999-06-09,0.4956,0.4956,0.4742,0.487,76472,-0.0556,-10.24
1999-06-10,0.5084,0.5084,0.5084,0.5084,18392,0.0214,4.39
1999-06-11,0.4913,0.4913,0.4913,0.4913,38720,-0.0171,-3.36
1999-06-14,0.4913,0.4913,0.4742,0.4742,68728,-0.0171,-3.48
1999-06-15,0.4614,0.4614,0.4614,0.4614,39688,-0.0128,-2.7
1999-06-17,0.4486,0.4785,0.44,0.4785,48400,0.0171,3.7
1999-06-18,0.4614,0.4956,0.4614,0.487,222640,0.0086,1.79
1999-06-29,0.4998,0.5041,0.487,0.4956,25168,0.0085,1.75
1999-06-30,0.487,0.4956,0.4785,0.4956,56144,0.0,0.0
1999-07-01,0.4956,0.4956,0.4956,0.4956,6776,0.0,0.0
1999-07-02,0.487,0.5127,0.487,0.4956,66792,0.0,0.0
1999-07-07,0.5084,0.5298,0.4956,0.5255,69696,0.0299,6.03
1999-07-08,0.4956,0.4956,0.4956,0.4956,6776,-0.0299,-5.69
1999-07-09,0.4956,0.4998,0.4956,0.4998,58080,0.0043,0.86
1999-07-12,0.4956,0.4956,0.4956,0.4956,3872,-0.0042,-0.85
1999-07-14,0.487,0.487,0.4614,0.4614,83248,-0.0342,-6.9
1999-07-15,0.4614,0.4614,0.4571,0.4571,39688,-0.0043,-0.93
1999-07-26,0.4529,0.4529,0.4529,0.4529,4840,-0.0043,-0.93
1999-07-27,0.4614,0.4614,0.4614,0.4614,29040,0.0086,1.89
1999-07-28,0.4486,0.4529,0.4486,0.4486,65824,-0.0128,-2.78
1999-07-29,0.4315,0.4315,0.3973,0.4229,777304,-0.0256,-5.71
