日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-04-21,14.7254,14.9626,13.8359,13.8557,3662578,0.0194,0.14
2017-04-24,13.9545,15.2689,13.8458,15.1009,584747,1.2456,8.99
2017-04-25,15.0219,16.188,14.755,15.6346,565858,0.5331,3.53
2017-04-26,15.9212,16.356,15.7137,15.8125,394776,0.1782,1.14
2017-04-27,15.852,16.0497,15.1405,15.5358,320612,-0.2767,-1.75
2017-04-28,15.5259,15.6049,14.923,15.1899,601274,-0.3465,-2.23
2017-05-01,15.0021,15.096,13.999,14.923,237397,-0.2674,-1.76
2017-05-02,14.9329,15.4864,14.6661,14.7649,236424,-0.1582,-1.06
2017-05-03,14.7748,15.3776,14.2807,14.508,221008,-0.2569,-1.74
2017-05-04,14.3894,14.5169,14.083,14.4091,202423,-0.0987,-0.68
2017-05-05,14.3498,14.9527,14.2609,14.5574,133254,0.1484,1.03
2017-05-08,14.4091,15.0416,14.0949,14.8736,129067,0.3159,2.17
2017-05-09,14.7748,15.0219,14.3399,14.676,235025,-0.1978,-1.33
2017-05-10,14.587,15.1207,14.4931,14.6266,165497,-0.0499,-0.34
2017-05-11,14.5771,15.2393,14.4882,14.7946,243941,0.1682,1.15
2017-05-12,14.7649,14.9132,14.5277,14.7056,167205,-0.0888,-0.6
2017-05-15,14.8835,15.3875,14.844,15.1108,250094,0.4059,2.76
2017-05-16,15.2393,15.8125,15.1998,15.3183,338395,0.207,1.37
2017-05-17,15.2887,15.6247,15.1444,15.2986,97694,-0.0199,-0.13
2017-05-18,15.2887,15.5654,14.8341,15.0713,261804,-0.228,-1.49
2017-05-19,15.3085,16.0398,15.1998,15.8125,200837,0.7415,4.92
2017-05-22,15.8718,16.4055,15.4567,15.941,365543,0.1281,0.81
2017-05-23,15.9607,16.109,14.9724,15.6148,237996,-0.3268,-2.05
2017-05-24,15.684,16.1485,15.3678,15.6741,207226,0.0593,0.38
2017-05-25,15.6346,15.8718,15.4567,15.6544,276505,-0.0204,-0.13
2017-05-26,15.7631,15.9113,15.4962,15.7137,104186,0.0595,0.38
2017-05-30,15.852,15.852,14.8143,14.9132,382122,-0.7998,-5.09
2017-05-31,14.8934,15.3875,14.6463,15.0021,217015,0.0895,0.6
2017-06-01,15.1503,15.684,14.6167,15.0416,147911,0.039,0.26
2017-06-02,14.9922,15.1998,14.7748,14.9033,182472,-0.1384,-0.92
2017-06-05,15.0021,15.3974,14.5673,14.8044,157384,-0.0984,-0.66
2017-06-06,14.7254,14.7748,14.3301,14.3894,217578,-0.4145,-2.8
2017-06-07,14.4388,14.508,13.5098,13.5493,206290,-0.8404,-5.84
2017-06-08,13.5493,13.7865,12.9959,13.4505,188202,-0.0989,-0.73
2017-06-09,13.4505,13.4604,12.8674,13.2232,394599,-0.2273,-1.69
2017-06-12,13.3813,13.5889,12.9662,13.1046,174533,-0.119,-0.9
2017-06-13,13.0453,13.1935,12.8476,13.0947,187011,-0.0105,-0.08
2017-06-14,12.9168,13.0947,12.1361,12.4128,212824,-0.6823,-5.21
