日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-11-05,10.02,11.55,9.21,10.5,805078,1.5,16.67
2014-11-06,10.35,12.626,10.35,11.97,258256,1.47,14.0
2014-11-07,13.0,13.29,12.5,13.29,126217,1.32,11.03
2014-11-10,13.48,16.71,13.25,16.0,172806,2.71,20.39
2014-11-11,17.5,18.476,16.0,16.47,187146,0.47,2.94
2014-11-12,16.5,16.99,13.1,13.41,136184,-3.06,-18.58
2014-11-13,13.27,13.42,12.0,13.42,140386,0.01,0.07
2014-11-14,13.0,13.409,12.51,12.7,43764,-0.72,-5.37
2014-11-17,13.2,13.99,13.08,13.45,33187,0.75,5.91
2014-11-18,13.51,14.0,13.45,14.0,59060,0.55,4.09
2014-11-19,14.0,14.0,13.6,13.66,34284,-0.34,-2.43
2014-11-20,13.61,13.655,12.84,13.17,65956,-0.49,-3.59
2014-11-21,13.3,13.7,12.55,12.65,45473,-0.52,-3.95
2014-11-24,12.75,12.75,12.5,12.52,28472,-0.13,-1.03
2014-11-25,12.6,12.909,12.51,12.68,22160,0.16,1.28
2014-11-26,12.62,12.67,12.5,12.54,25342,-0.14,-1.1
2014-11-28,12.51,13.4,12.51,13.2,28897,0.66,5.26
2014-12-01,13.05,13.179,12.06,12.21,43398,-0.99,-7.5
2014-12-02,12.5,13.849,12.3,13.15,46621,0.94,7.7
2014-12-03,13.5,15.05,13.5,14.47,90179,1.32,10.04
2014-12-04,14.7,14.82,13.62,13.74,37736,-0.73,-5.04
2014-12-05,13.6,14.55,13.01,13.96,39425,0.22,1.6
2014-12-08,13.6,14.419,13.6,14.24,18443,0.28,2.01
2014-12-09,13.61,14.61,13.6,14.6,23510,0.36,2.53
2014-12-10,14.26,16.62,14.06,16.07,128157,1.47,10.07
2014-12-11,16.21,18.0,15.75,17.14,99408,1.07,6.66
2014-12-12,16.71,17.6,16.06,17.05,36987,-0.09,-0.53
2014-12-15,17.69,18.0,15.03,15.48,79288,-1.57,-9.21
2014-12-16,15.67,15.98,14.69,15.39,43750,-0.09,-0.58
2014-12-17,15.23,15.49,14.72,15.262,31555,-0.13,-0.83
2014-12-18,15.91,16.64,15.3,16.01,49331,0.75,4.9
2014-12-19,16.0,17.15,15.58,15.6,31228,-0.41,-2.56
2014-12-22,15.5,15.85,14.6,15.24,79381,-0.36,-2.31
2014-12-23,15.62,15.98,14.99,15.31,16551,0.07,0.46
2014-12-24,15.12,15.494,15.12,15.494,5010,0.19,1.21
2014-12-26,15.88,17.5,15.83,17.045,64394,1.55,10.01
2014-12-29,17.49,20.55,17.25,19.91,212985,2.87,16.81
2014-12-30,20.4,21.95,19.75,19.79,161325,-0.12,-0.6
2014-12-31,19.86,21.23,19.5,19.75,42211,-0.04,-0.2
2015-01-02,19.79,20.6,18.501,18.7,38618,-1.05,-5.32
2015-01-05,19.18,20.489,18.5,19.15,50408,0.45,2.41
2015-01-06,19.1,19.835,18.58,18.84,36940,-0.31,-1.62
2015-01-07,19.42,21.88,19.05,20.9,95700,2.06,10.93
2015-01-08,21.38,23.1,21.0,23.0,126603,2.1,10.05
2015-01-09,23.23,23.5,21.54,21.87,71089,-1.13,-4.91
2015-01-12,22.18,22.631,21.5,21.92,93231,0.05,0.23
2015-01-13,22.0,22.547,21.7,21.82,84481,-0.1,-0.46
2015-01-14,21.7,22.279,21.03,21.63,94816,-0.19,-0.87
2015-01-15,21.67,22.21,21.124,21.98,54889,0.35,1.62
2015-01-16,22.12,22.249,21.27,21.65,39828,-0.33,-1.5
2015-01-20,21.56,21.774,17.81,17.97,135185,-3.68,-17.0
2015-01-21,18.13,18.91,17.01,18.31,97755,0.34,1.89
2015-01-22,18.26,20.68,18.01,20.6,66052,2.29,12.51
2015-01-23,19.4,20.24,19.02,20.24,38314,-0.36,-1.75
2015-01-26,19.66,20.4,19.15,19.44,42058,-0.8,-3.95
2015-01-27,19.21,19.74,18.25,18.95,60502,-0.49,-2.52
2015-01-28,19.1,19.14,18.12,18.25,46307,-0.7,-3.69
2015-01-29,18.14,18.33,16.6,17.24,54087,-1.01,-5.53
2015-01-30,17.24,17.89,16.26,17.79,31025,0.55,3.19
2015-02-02,17.72,17.869,16.704,17.25,28596,-0.54,-3.04
2015-02-03,17.0,17.0,15.25,15.81,76082,-1.44,-8.35
2015-02-04,15.78,15.78,14.03,14.86,128742,-0.95,-6.01
2015-02-05,14.78,15.75,14.75,15.24,29208,0.38,2.56
2015-02-06,15.3,15.97,15.3,15.57,31905,0.33,2.17
2015-02-09,15.84,16.33,15.52,15.66,19257,0.09,0.58
2015-02-10,15.72,16.25,15.499,16.1,43847,0.44,2.81
2015-02-11,16.09,16.09,15.1,16.05,16196,-0.05,-0.31
2015-02-12,16.0,16.2,15.6,16.2,23635,0.15,0.93
