日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-09-09,5.2,6.5,4.11,4.17,21019356,0.17,4.25
2022-09-12,3.7,3.8,3.05,3.05,4554658,-1.12,-26.86
2022-09-13,2.94,3.66,2.8396,3.22,7478502,0.17,5.57
2022-09-14,3.01,3.0352,2.45,2.46,3045993,-0.76,-23.6
2022-09-15,2.22,2.46,2.02,2.12,1720125,-0.34,-13.82
2022-09-16,2.01,2.03,1.77,1.78,1189705,-0.34,-16.04
2022-09-19,1.72,1.9,1.55,1.64,604718,-0.14,-7.8652
2022-09-20,1.56,2.09,1.46,1.53,3019605,-0.11,-6.71
2022-09-21,1.49,1.83,1.398,1.63,3338442,0.1,6.54
2022-09-22,1.6,1.64,1.45,1.61,672734,-0.02,-1.23
2022-09-23,1.49,1.59,1.46,1.46,420930,-0.15,-9.32
2022-09-26,1.43,1.51,1.3901,1.47,254439,0.01,0.68
2022-09-27,1.51,1.5199,1.31,1.38,327613,-0.09,-6.1224
2022-09-28,1.35,1.55,1.35,1.41,336434,0.03,2.17
2022-09-29,1.4,1.4005,1.26,1.3,168167,-0.11,-7.8
2022-09-30,1.29,1.37,1.25,1.27,140688,-0.03,-2.31
2022-10-03,1.25,1.35,1.22,1.26,201093,-0.01,-0.79
2022-10-04,1.31,1.35,1.25,1.28,209798,0.02,1.59
2022-10-05,1.29,1.29,1.22,1.2432,78734,-0.037,-2.89
2022-10-06,1.23,1.3294,1.2166,1.27,303025,0.027,2.17
2022-10-07,1.22,1.49,1.22,1.25,1003502,-0.02,-1.57
2022-10-10,1.2,1.2732,1.14,1.1782,186783,-0.072,-5.76
2022-10-11,1.16,1.1889,1.02,1.07,249156,-0.108,-9.17
2022-10-12,1.06,1.1,1.01,1.04,135640,-0.03,-2.8
2022-10-13,1.01,1.0899,1.01,1.05,94441,0.01,0.96
2022-10-14,1.07,1.1199,1.02,1.0331,225573,-0.017,-1.62
2022-10-17,1.04,1.09,1.039,1.0675,166199,0.034,3.29
2022-10-18,1.0652,1.16,1.05,1.07,181966,0.003,0.28
2022-10-19,1.05,1.13,1.05,1.08,80565,0.01,0.9346
2022-10-20,1.11,1.16,1.07,1.14,166511,0.06,5.56
2022-10-21,1.08,1.17,1.07,1.12,191783,-0.02,-1.75
2022-10-24,1.19,1.195,1.09,1.13,185699,0.01,0.89
2022-10-25,1.11,1.14,1.065,1.085,115958,-0.045,-3.98
2022-10-26,1.0791,1.14,1.07,1.14,74808,0.055,5.07
2022-10-27,1.14,1.2,1.14,1.19,108777,0.05,4.39
2022-10-28,1.16,1.28,1.16,1.26,132878,0.07,5.88
2022-10-31,1.27,1.34,1.21,1.33,65049,0.07,5.56
2022-11-01,1.34,1.34,1.28,1.32,72000,-0.01,-0.75
2022-11-02,1.32,1.34,1.22,1.24,102340,-0.08,-6.0606
2022-11-03,1.2208,1.32,1.22,1.3,107299,0.06,4.84
2022-11-04,1.26,1.38,1.26,1.36,127281,0.06,4.6154
2022-11-07,1.2908,1.38,1.2908,1.32,111092,-0.04,-2.94
2022-11-08,1.3208,1.42,1.26,1.39,184438,0.07,5.3
2022-11-09,1.345,1.47,1.3301,1.44,111454,0.05,3.6
2022-11-10,1.45,1.51,1.37,1.45,115496,0.01,0.69
2022-11-11,1.44,1.62,1.39,1.48,244299,0.03,2.07
2022-11-14,1.53,1.586,1.5001,1.5001,71966,0.02,1.35
2022-11-15,1.5,1.51,1.4,1.43,64262,-0.0701,-4.673
2022-11-16,1.41,1.445,1.37,1.415,50871,-0.015,-1.05
2022-11-17,1.385,1.41,1.32,1.4,48394,-0.015,-1.06
2022-11-18,1.44,1.48,1.35,1.42,75527,0.02,1.43
2022-11-21,1.46,1.5,1.3401,1.48,74683,0.06,4.23
2022-11-22,1.45,1.64,1.435,1.63,152884,0.15,10.14
2022-11-23,1.57,1.8449,1.57,1.64,145575,0.01,0.61
2022-11-25,1.62,1.68,1.58,1.6714,171150,0.031,1.89
2022-11-28,1.62,1.65,1.52,1.58,46233,-0.091,-5.44
2022-11-29,1.5,1.72,1.49,1.61,51108,0.03,1.9
2022-11-30,1.5,1.65,1.5,1.6,28344,-0.01,-0.62
2022-12-01,1.53,1.565,1.4827,1.55,54344,-0.05,-3.125
