日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2011-07-20,60.0,60.0,32.5,35.77,5849939,0.0,0.0
2011-07-21,38.36,39.0,33.0,33.2,978538,-2.57,-7.18
2011-07-22,33.24,35.25,33.0,34.27,376794,1.07,3.22
2011-07-25,34.0,35.8,34.0,35.6,266619,1.33,3.88
2011-07-26,36.44,36.6,34.75,36.43,296982,0.83,2.33
2011-07-27,36.42,36.42,33.26,33.56,253780,-2.87,-7.88
2011-07-28,33.82,34.94,33.75,33.9,160050,0.34,1.01
2011-07-29,32.5,33.0,31.9,32.22,166257,-1.68,-4.96
2011-08-01,32.96,32.96,30.17,30.22,129743,-2.0,-6.21
2011-08-02,30.3,30.3,27.11,27.35,330016,-2.87,-9.5
2011-08-03,27.82,28.62,27.39,28.48,198216,1.13,4.13
2011-08-04,28.75,29.66,28.25,28.41,231213,-0.07,-0.25
2011-08-05,28.88,29.24,25.12,28.16,208150,-0.25,-0.88
2011-08-08,25.66,27.0,25.25,26.09,240633,-2.07,-7.35
2011-08-09,26.01,28.23,26.01,27.96,156355,1.87,7.17
2011-08-10,27.6,28.0,26.83,27.37,60880,-0.59,-2.11
2011-08-11,27.97,28.32,26.76,27.0,85842,-0.37,-1.35
2011-08-12,27.38,27.54,26.43,26.65,110184,-0.35,-1.3
2011-08-15,26.97,26.97,25.25,25.52,124090,-1.13,-4.24
2011-08-16,25.18,25.49,23.6,24.1,164506,-1.42,-5.56
2011-08-17,24.03,24.25,23.81,24.14,59478,0.04,0.17
2011-08-18,23.89,24.6,23.43,23.99,68098,-0.15,-0.62
2011-08-19,23.5,24.54,23.5,24.2,133283,0.21,0.88
2011-08-22,24.77,24.77,23.9,23.96,88438,-0.24,-0.99
2011-08-23,24.12,24.55,23.58,24.48,66593,0.52,2.17
2011-08-24,24.49,26.95,24.49,26.26,171506,1.78,7.27
2011-08-25,27.1,34.13,27.1,30.25,593796,3.99,15.19
2011-08-26,31.06,32.0,28.06,31.38,322435,1.13,3.74
2011-08-29,32.25,33.8,31.28,33.04,287374,1.66,5.29
2011-08-30,33.48,36.45,32.84,35.13,616050,2.09,6.33
2011-08-31,36.23,37.69,35.27,37.18,413612,2.05,5.84
2011-09-01,37.55,37.99,36.2,36.9,209588,-0.28,-0.75
2011-09-02,35.56,36.0,34.66,34.94,171563,-1.96,-5.31
2011-09-06,32.82,34.65,32.04,34.25,140599,-0.69,-1.97
2011-09-07,35.15,36.49,34.36,36.09,126791,1.84,5.37
2011-09-08,36.0,36.12,34.66,35.72,59706,-0.37,-1.03
2011-09-09,34.79,37.13,34.44,36.93,169671,1.21,3.39
2011-09-12,36.48,37.49,35.52,37.28,178748,0.35,0.95
2011-09-13,37.5,37.5,36.01,37.48,87926,0.2,0.54
2011-09-14,37.45,37.45,34.5,34.51,259857,-2.97,-7.92
2011-09-15,34.75,34.75,30.4,30.85,264970,-3.66,-10.61
2011-09-16,30.95,30.95,28.5,29.19,241486,-1.66,-5.38
2011-09-19,28.5,29.93,28.5,28.76,90914,-0.43,-1.47
2011-09-20,28.75,29.82,26.7,26.77,123290,-1.99,-6.92
2011-09-21,26.71,28.29,26.29,27.77,104211,1.0,3.74
2011-09-22,28.44,28.44,26.87,28.0,118357,0.23,0.83
2011-09-23,28.45,28.45,26.79,26.87,87015,-1.13,-4.04
2011-09-26,27.0,28.0,25.1,26.44,103735,-0.43,-1.6
2011-09-27,26.89,28.18,26.51,27.99,86625,1.55,5.86
2011-09-28,29.3,29.3,27.62,28.32,147100,0.33,1.18
2011-09-29,29.02,29.3,26.37,28.15,115866,-0.17,-0.6
2011-09-30,28.0,28.24,26.01,27.35,569756,-0.8,-2.84
2011-10-03,26.93,27.93,25.53,25.85,138255,-1.5,-5.48
2011-10-04,25.51,25.83,24.8,25.5,150134,-0.35,-1.35
2011-10-05,25.36,25.5,24.81,25.48,63970,-0.02,-0.08
2011-10-06,25.4,26.15,24.83,25.85,68297,0.37,1.45
2011-10-07,25.78,26.45,25.02,25.25,50235,-0.6,-2.32
2011-10-10,25.89,26.2,25.4,26.2,86421,0.95,3.76
2011-10-11,25.98,26.51,25.1,26.24,32285,0.04,0.15
2011-10-12,26.19,26.51,25.25,25.5,95025,-0.74,-2.82
2011-10-13,25.1,25.75,25.02,25.23,48299,-0.27,-1.06
2011-10-14,25.74,27.81,25.2,27.72,98541,2.49,9.87
2011-10-17,27.61,27.71,25.15,26.38,71678,-1.34,-4.83
2011-10-18,26.68,28.95,26.29,28.85,129763,2.47,9.36
2011-10-19,28.61,29.83,26.5,26.67,95561,-2.18,-7.56
2011-10-20,26.58,26.8,26.33,26.6,42691,-0.07,-0.26
2011-10-21,27.15,28.5,26.37,27.03,68121,0.43,1.62
2011-10-24,27.11,28.3,26.0,27.49,162335,0.46,1.7
2011-10-25,27.5,27.63,26.47,27.03,64824,-0.46,-1.67
2011-10-26,27.45,29.25,26.24,29.03,103827,2.0,7.4
2011-10-27,30.0,31.83,29.23,30.77,126183,1.74,5.99
2011-10-28,30.8,31.49,30.0,30.51,57779,-0.26,-0.84
2011-10-31,30.0,30.56,28.98,29.69,19486,-0.82,-2.69
2011-11-01,28.56,28.94,26.25,26.63,119034,-3.06,-10.31
2011-11-02,27.6,27.9,26.51,27.46,96424,0.83,3.12
2011-11-03,30.85,33.41,28.78,30.25,564578,2.79,10.16
2011-11-04,30.06,33.48,29.8,32.63,135644,2.38,7.87
2011-11-07,32.83,33.0,32.05,32.52,83909,-0.11,-0.34
2011-11-08,32.9,32.95,32.0,32.35,40772,-0.17,-0.52
2011-11-09,31.38,31.46,29.27,29.34,86778,-3.01,-9.3
2011-11-10,30.01,30.89,29.56,29.98,33098,0.64,2.18
2011-11-11,30.14,31.09,29.79,30.07,49789,0.09,0.3
2011-11-14,29.85,30.66,28.41,28.57,106138,-1.5,-4.99
2011-11-15,28.19,29.66,28.16,29.45,32253,0.88,3.08
2011-11-16,29.0,29.45,28.57,29.17,40092,-0.28,-0.95
2011-11-17,29.29,29.47,28.03,28.06,67177,-1.11,-3.81
2011-11-18,28.09,28.49,26.02,27.05,157027,-1.01,-3.6
2011-11-21,25.5,25.62,22.55,23.52,778083,-3.53,-13.05
2011-11-22,23.59,24.12,22.65,23.04,293035,-0.48,-2.04
2011-11-23,22.95,23.04,22.68,22.81,126814,-0.23,-1.0
2011-11-24,22.81,22.81,22.81,22.81,0,0.0,0.0
2011-11-25,22.69,23.14,22.59,22.59,19584,-0.22,-0.96
2011-11-28,23.39,23.86,22.6,22.72,116334,0.13,0.58
2011-11-29,22.57,23.0,22.07,22.25,136721,-0.47,-2.07
2011-11-30,23.0,23.0,22.11,22.39,147361,0.14,0.63
2011-12-01,22.35,22.35,21.56,21.63,181665,-0.76,-3.39
2011-12-02,21.88,22.73,21.22,22.06,319092,0.43,1.99
2011-12-05,22.38,23.26,22.02,23.08,122405,1.02,4.62
2011-12-06,22.94,23.39,22.55,23.13,127561,0.05,0.22
2011-12-07,23.01,24.7,23.01,24.6,202250,1.47,6.36
2011-12-08,24.6,25.25,23.55,24.8,147140,0.2,0.81
2011-12-09,24.0,24.88,24.0,24.77,68352,-0.03,-0.12
2011-12-12,24.2,24.49,23.06,23.84,78660,-0.93,-3.75
2011-12-13,24.22,24.49,22.55,22.59,47699,-1.25,-5.24
2011-12-14,22.5,22.55,21.41,22.13,114263,-0.46,-2.04
2011-12-15,22.37,23.84,22.31,23.68,72634,1.55,7.0
2011-12-16,23.94,24.47,22.77,23.02,131713,-0.66,-2.79
2011-12-19,23.02,23.02,22.0,22.76,95931,-0.26,-1.13
2011-12-20,22.94,23.3,22.33,23.22,102853,0.46,2.02
2011-12-21,22.96,23.4,22.96,23.13,27087,-0.09,-0.39
2011-12-22,23.11,23.45,22.28,23.3,49875,0.17,0.73
2011-12-23,23.39,23.5,22.67,22.82,19497,-0.48,-2.06
2011-12-26,22.82,22.82,22.82,22.82,0,0.0,0.0
2011-12-27,22.9,23.44,22.63,23.44,96347,0.62,2.72
2011-12-28,23.68,23.68,22.65,23.04,30282,-0.4,-1.71
2011-12-29,23.0,23.44,22.9,23.0,79264,-0.04,-0.17
2011-12-30,22.83,22.97,22.4,22.48,66523,-0.52,-2.26
2012-01-02,22.48,22.48,22.48,22.48,0,0.0,0.0
2012-01-03,22.5,23.1,22.17,23.07,134019,0.59,2.62
2012-01-04,22.84,23.26,22.54,23.01,48096,-0.06,-0.26
2012-01-05,22.86,23.06,22.55,23.0,86769,-0.01,-0.04
2012-01-06,22.85,23.42,22.8,23.04,107698,0.04,0.17
2012-01-09,23.04,23.1,22.76,23.03,56611,-0.01,-0.04
2012-01-10,23.22,24.87,23.08,24.85,173135,1.82,7.9
2012-01-11,24.69,26.25,24.13,26.25,233496,1.4,5.63
2012-01-12,25.5,27.95,25.16,27.19,297910,0.94,3.58
2012-01-13,26.36,27.99,26.3,27.34,184859,0.15,0.55
2012-01-16,27.34,27.34,27.34,27.34,0,0.0,0.0
2012-01-17,26.0,28.24,25.99,27.1,389464,-0.24,-0.88
