日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-02-08,20.5,20.6,19.81,19.95,4990067,0.0,0.0
2013-02-11,19.99,20.0,19.5,19.7,260257,-0.25,-1.25
2013-02-12,19.45,19.85,19.45,19.65,343320,-0.05,-0.25
2013-02-13,19.66,20.09,19.66,20.04,189111,0.39,1.98
2013-02-14,19.96,20.0,19.76,19.93,263987,-0.11,-0.55
2013-02-15,19.94,20.0,19.86,19.9,155043,-0.03,-0.15
2013-02-18,19.9,19.9,19.9,19.9,0,0.0,0.0
2013-02-19,20.0,20.17,19.85,20.12,309633,0.22,1.11
2013-02-20,20.1,20.22,20.0,20.17,105349,0.05,0.25
2013-02-21,20.08,20.15,19.89,20.03,108359,-0.14,-0.69
2013-02-22,20.0,20.25,20.0,20.25,70219,0.22,1.1
2013-02-25,20.2,20.35,20.1,20.1,101299,-0.15,-0.74
2013-02-26,20.1,20.14,19.86,20.0,81024,-0.1,-0.5
2013-02-27,19.94,20.02,19.9,20.01,50230,0.01,0.05
2013-02-28,20.03,20.11,20.01,20.07,77042,0.06,0.3
2013-03-01,20.02,20.1,20.0,20.05,43077,-0.02,-0.1
2013-03-04,20.01,20.01,19.95,19.95,34825,-0.1,-0.5
2013-03-05,20.05,20.22,19.92,20.17,175663,0.22,1.1
2013-03-06,20.15,20.15,20.02,20.04,85405,-0.13,-0.64
2013-03-07,20.0,20.15,19.97,20.02,37856,-0.02,-0.1
2013-03-08,20.09,20.24,20.03,20.19,68256,0.17,0.85
2013-03-11,20.19,20.34,20.19,20.31,56545,0.12,0.59
2013-03-12,20.16,20.6,20.16,20.58,46737,0.27,1.33
2013-03-13,20.7,20.7,20.42,20.45,112170,-0.13,-0.63
2013-03-14,20.44,20.5,20.38,20.5,39273,0.05,0.24
2013-03-15,20.41,20.65,20.26,20.64,63401,0.14,0.68
2013-03-18,20.29,20.66,20.26,20.66,48144,0.02,0.1
2013-03-19,20.63,20.66,20.46,20.63,71018,-0.03,-0.15
2013-03-20,20.63,20.74,20.53,20.74,109077,0.11,0.53
2013-03-21,20.69,20.9,20.56,20.77,128053,0.03,0.14
2013-03-22,20.72,20.77,20.62,20.75,173704,-0.02,-0.1
2013-03-25,20.72,20.84,20.55,20.65,122163,-0.1,-0.48
2013-03-26,20.6,20.75,20.51,20.75,107529,0.1,0.48
2013-03-27,20.6,20.73,20.46,20.66,86615,-0.09,-0.43
2013-03-28,20.68,20.82,20.37,20.63,493541,-0.03,-0.15
2013-03-29,20.63,20.63,20.63,20.63,0,0.0,0.0
2013-04-01,20.56,20.62,20.29,20.54,55973,-0.09,-0.44
2013-04-02,20.57,20.68,20.42,20.66,43309,0.12,0.58
2013-04-03,20.66,20.83,20.51,20.59,100346,-0.07,-0.34
2013-04-04,20.64,20.69,20.53,20.67,73977,0.08,0.39
2013-04-05,20.48,20.71,20.46,20.7,24484,0.03,0.15
2013-04-08,20.74,20.99,20.49,20.96,110045,0.26,1.26
2013-04-09,20.99,21.0,20.66,20.95,68518,-0.01,-0.05
2013-04-10,20.8,20.95,20.48,20.51,74443,-0.44,-2.1
2013-04-11,20.5,20.75,20.5,20.62,40622,0.11,0.54
2013-04-12,20.52,20.89,20.52,20.83,37798,0.21,1.02
2013-04-15,20.72,20.91,20.57,20.72,111573,-0.11,-0.53
2013-04-16,20.89,20.98,20.69,20.95,95091,0.23,1.11
2013-04-17,20.83,20.83,19.98,20.61,79935,-0.34,-1.62
2013-04-18,20.64,20.75,20.14,20.64,25001,0.03,0.15
2013-04-19,20.63,20.98,20.5,20.95,19274,0.31,1.5
2013-04-22,20.95,20.95,20.7,20.88,12666,-0.07,-0.33
2013-04-23,20.94,20.94,20.52,20.69,29059,-0.19,-0.91
2013-04-24,20.75,20.79,20.44,20.5,43330,-0.19,-0.92
2013-04-25,20.5,20.64,20.16,20.36,30290,-0.14,-0.68
2013-04-26,20.38,20.68,20.11,20.55,77477,0.19,0.93
2013-04-29,20.58,20.58,20.32,20.48,28605,-0.07,-0.34
2013-04-30,20.51,20.72,20.32,20.66,24095,0.18,0.88
2013-05-01,20.6,20.61,20.3,20.5,41732,-0.16,-0.77
2013-05-02,20.54,20.57,20.35,20.56,39080,0.06,0.29
2013-05-03,20.65,20.65,20.27,20.37,20837,-0.19,-0.92
2013-05-06,20.32,20.51,20.21,20.51,11742,0.14,0.69
2013-05-07,20.44,20.51,20.11,20.5,67528,-0.01,-0.05
2013-05-08,20.47,20.56,20.32,20.52,44084,0.02,0.1
2013-05-09,20.42,20.42,20.15,20.27,27223,-0.25,-1.22
2013-05-10,20.33,20.36,20.25,20.34,14024,0.07,0.35
2013-05-13,20.35,20.4,20.08,20.25,20570,-0.09,-0.44
2013-05-14,20.21,20.21,20.07,20.17,43610,-0.08,-0.4
2013-05-15,20.06,20.2,19.57,19.99,51127,-0.18,-0.89
2013-05-16,19.88,19.92,19.84,19.92,20868,-0.07,-0.35
2013-05-17,19.95,20.02,19.65,19.91,68141,-0.01,-0.05
2013-05-20,19.82,20.16,19.67,19.93,45966,0.02,0.1
2013-05-21,19.88,19.96,19.68,19.72,16096,-0.21,-1.05
2013-05-22,19.59,19.79,19.59,19.75,30405,0.03,0.15
2013-05-23,19.66,19.74,19.48,19.58,41361,-0.17,-0.86
2013-05-24,19.53,19.64,19.47,19.58,13785,0.0,0.0
2013-05-27,19.58,19.58,19.58,19.58,0,0.0,0.0
2013-05-28,19.72,19.72,18.98,19.05,90191,-0.53,-2.71
2013-05-29,19.0,19.06,18.1,18.31,359154,-0.74,-3.88
2013-05-30,18.36,18.45,17.95,18.0,213525,-0.31,-1.69
2013-05-31,18.0,18.18,17.85,17.88,102406,-0.12,-0.67
2013-06-03,17.87,17.99,17.33,17.71,99497,-0.17,-0.95
2013-06-04,17.67,17.86,17.31,17.42,171716,-0.29,-1.64
2013-06-05,17.57,17.57,17.25,17.28,44840,-0.14,-0.8
2013-06-06,17.24,17.48,17.06,17.45,133984,0.17,0.98
2013-06-07,17.51,17.86,17.4,17.82,28603,0.37,2.12
2013-06-10,17.79,18.57,17.71,18.56,25348,0.74,4.15
2013-06-11,18.43,18.52,18.14,18.21,38754,-0.35,-1.89
2013-06-12,18.28,18.28,17.19,17.7,37023,-0.51,-2.8
2013-06-13,17.5,18.01,17.49,18.0,22569,0.3,1.69
2013-06-14,18.1,18.22,17.71,17.92,24705,-0.08,-0.44
2013-06-17,17.96,18.65,17.81,18.24,43601,0.32,1.79
2013-06-18,18.26,18.38,17.8,18.3,32027,0.06,0.33
2013-06-19,18.34,18.69,18.2,18.52,25761,0.22,1.2
2013-06-20,18.37,18.38,17.33,17.84,52196,-0.68,-3.67
2013-06-21,17.89,18.63,16.5,18.2,316846,0.36,2.02
2013-06-24,18.02,18.09,17.51,17.69,73600,-0.51,-2.8
2013-06-25,17.8,18.16,17.65,18.04,63831,0.35,1.98
2013-06-26,18.17,18.37,17.74,17.77,29533,-0.27,-1.5
2013-06-27,17.91,17.97,17.78,17.93,26982,0.16,0.9
2013-06-28,17.88,18.23,17.76,18.17,176107,0.24,1.34
2013-07-01,18.39,18.55,18.28,18.44,51609,0.27,1.49
2013-07-02,18.5,18.6,18.25,18.46,28689,0.02,0.11
2013-07-03,18.45,18.49,18.33,18.34,13679,-0.12,-0.65
2013-07-04,18.34,18.34,18.34,18.34,0,0.0,0.0
2013-07-05,18.16,18.16,16.57,17.34,75062,-1.0,-5.45
2013-07-08,17.2,17.25,16.99,17.04,26549,-0.3,-1.73
2013-07-09,17.04,17.14,16.71,17.09,73520,0.05,0.29
2013-07-10,17.14,17.14,16.9,17.06,12465,-0.03,-0.18
2013-07-11,17.2,17.36,16.72,17.2,138204,0.14,0.82
2013-07-12,17.14,17.27,17.05,17.21,19398,0.01,0.06
2013-07-15,17.15,17.36,17.02,17.31,16567,0.1,0.58
2013-07-16,17.29,17.49,17.04,17.46,38820,0.15,0.87
2013-07-17,17.5,17.54,17.23,17.34,17205,-0.12,-0.69
2013-07-18,17.44,17.84,17.43,17.57,18031,0.23,1.33
2013-07-19,17.48,17.6,17.33,17.54,18205,-0.03,-0.17
2013-07-22,17.48,17.69,17.4,17.54,16060,0.0,0.0
2013-07-23,17.63,17.63,17.42,17.52,14657,-0.02,-0.11
2013-07-24,17.52,17.52,17.28,17.4,19785,-0.12,-0.68
2013-07-25,17.28,17.68,16.91,17.62,50256,0.22,1.26
2013-07-26,17.51,17.56,17.08,17.52,13543,-0.1,-0.57
2013-07-29,17.61,17.65,17.43,17.49,17451,-0.03,-0.17
2013-07-30,17.55,17.64,17.32,17.44,11731,-0.05,-0.29
2013-07-31,17.49,17.57,17.16,17.16,18489,-0.28,-1.61
2013-08-01,17.25,17.25,16.71,16.86,36604,-0.3,-1.75
2013-08-02,16.85,17.1,16.76,16.89,17015,0.03,0.18
2013-08-05,16.94,16.94,16.73,16.73,18599,-0.16,-0.95
2013-08-06,16.72,16.86,16.62,16.81,21196,0.08,0.48
2013-08-07,16.9,16.9,16.52,16.62,25899,-0.19,-1.13
2013-08-08,16.62,16.68,16.04,16.54,122260,-0.08,-0.48
2013-08-09,16.54,16.67,16.19,16.39,27566,-0.15,-0.91
2013-08-12,16.38,16.53,16.11,16.47,17579,0.08,0.49
2013-08-13,16.68,16.69,16.5,16.65,53887,0.18,1.09
2013-08-14,16.65,16.65,16.3,16.33,39338,-0.32,-1.92
2013-08-15,16.18,16.34,16.03,16.17,65784,-0.16,-0.98
2013-08-16,16.17,16.47,16.08,16.19,35333,0.02,0.12
2013-08-19,16.24,16.43,15.51,15.9,71088,-0.29,-1.79
2013-08-20,15.98,16.33,15.98,16.25,27843,0.35,2.2
2013-08-21,16.28,16.28,16.0,16.0,6313,-0.25,-1.54
2013-08-22,15.91,16.0,15.83,15.88,29879,-0.12,-0.75
2013-08-23,15.86,15.95,15.64,15.93,15420,0.05,0.31
2013-08-26,15.83,16.11,15.8,15.86,12022,-0.07,-0.44
2013-08-27,15.8,15.93,15.63,15.66,42457,-0.2,-1.26
